Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,600,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Oct-26-2023 14_48_41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,ARUDUINOID
0.3420, ovf, 0.10, ovf, 0.05, ovf, 0.00, ovf, 0.05, -0.15, ovf, ovf, ovf, -1439550.87, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0000, 0.0000, ovf, 1
0.6910, ovf, 0.05, ovf, 0.03, ovf, 0.00, ovf, 0.12, -0.08, ovf, ovf, ovf, -719775.43, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0000, 0.0016, ovf, 1
1.0390, ovf, 0.03, ovf, 0.01, ovf, 0.00, ovf, 0.16, -0.04, ovf, ovf, ovf, -359887.71, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0156, 0.0008, ovf, 1
1.3890, ovf, 0.06, ovf, 0.01, ovf, 0.00, ovf, 0.08, -0.02, ovf, ovf, ovf, -179943.84, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0078, 0.0004, ovf, 1
1.7380, ovf, 0.08, ovf, 0.00, ovf, 0.05, ovf, 0.09, -0.01, ovf, ovf, ovf, -89971.89, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0039, 0.0002, ovf, 1
2.0860, ovf, 0.04, ovf, 0.00, ovf, -0.03, ovf, 0.15, -0.00, ovf, ovf, ovf, -44985.91, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0020, 0.0001, ovf, 1
2.4350, ovf, 0.07, ovf, 0.00, ovf, -0.01, ovf, 0.17, -0.00, ovf, ovf, ovf, -22492.91, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0135, 0.0000, ovf, 1
2.7840, ovf, 0.04, ovf, 0.00, ovf, -0.01, ovf, 0.09, -0.00, ovf, ovf, ovf, -11246.41, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0333, 0.0000, ovf, 1
3.1320, ovf, 0.02, ovf, 0.05, ovf, -0.00, ovf, 0.09, -0.00, ovf, ovf, ovf, -5623.16, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0323, 0.0188, ovf, 1
3.4820, ovf, 0.06, ovf, 0.03, ovf, -0.00, ovf, 0.05, 0.00, ovf, ovf, ovf, -2811.53, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0458, 0.0094, ovf, 1
3.8300, ovf, 0.03, ovf, 0.01, ovf, -0.00, ovf, 0.12, 0.00, ovf, ovf, ovf, -1405.72, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0385, 0.0203, ovf, 1
4.1780, ovf, 0.01, ovf, 0.01, ovf, -0.00, ovf, 0.06, 0.00, ovf, ovf, ovf, -702.82, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0505, 0.0102, ovf, 1
4.5270, ovf, 0.06, ovf, 0.05, ovf, -0.00, ovf, 0.08, 0.00, ovf, ovf, ovf, -351.38, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0409, 0.0051, ovf, 1
4.8750, ovf, 0.08, ovf, 0.03, ovf, -0.00, ovf, 0.09, 0.00, ovf, ovf, ovf, -175.68, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0517, 0.0025, ovf, 1
5.2230, ovf, 0.04, ovf, 0.01, ovf, -0.00, ovf, 0.05, 0.00, ovf, ovf, ovf, -87.82, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0258, 0.0013, ovf, 1
5.5730, ovf, 0.07, ovf, 0.01, ovf, -0.00, ovf, 0.07, 0.00, ovf, ovf, ovf, -43.90, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0114, 0.0038, ovf, 1
5.9210, ovf, 0.03, ovf, 0.05, ovf, -0.00, ovf, 0.04, 0.00, ovf, ovf, ovf, -21.93, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0260, 0.0019, ovf, 1
6.2690, ovf, 0.07, ovf, 0.08, ovf, -0.00, ovf, 0.07, 0.00, ovf, ovf, ovf, -10.94, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0130, 0.0009, ovf, 1
6.6180, ovf, 0.03, ovf, 0.09, ovf, -0.00, ovf, 0.03, 0.00, ovf, ovf, ovf, -5.45, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0065, 0.0067, ovf, 1
6.9660, ovf, 0.02, ovf, 0.04, ovf, -0.00, ovf, 0.02, 0.00, ovf, ovf, ovf, -2.70, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0267, 0.0034, ovf, 1
7.3140, ovf, 0.01, ovf, 0.02, ovf, -0.00, ovf, 0.01, 0.00, ovf, ovf, ovf, -1.32, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, 0.0368, 0.0017, ovf, 1
7.6640, ovf, 0.10, ovf, 0.01, ovf, -0.00, ovf, 0.00, 0.00, ovf, ovf, ovf, -0.62, ovf, -4227858176.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0184, 0.0165, ovf, 1
8.0130, ovf, 0.05, ovf, 0.01, ovf, -0.05, ovf, 0.00, 0.00, ovf, ovf, ovf, -0.27, ovf, -2113929088.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0326, 0.0082, ovf, 1
8.3620, 4294287104.00, 0.13, ovf, 0.05, ovf, -0.03, ovf, 0.05, 0.00, ovf, ovf, ovf, -0.10, ovf, -1056964544.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0163, 0.0041, ovf, 1
8.7120, 2147143552.00, 0.06, ovf, 0.03, ovf, -0.01, ovf, 0.03, 0.00, ovf, ovf, ovf, -0.01, ovf, -528482272.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0082, -0.0136, ovf, 1
9.0620, 1073571776.00, 0.03, ovf, 0.01, ovf, 0.04, ovf, 0.06, 0.00, ovf, ovf, ovf, 0.02, ovf, -264241136.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0041, -0.0068, ovf, 1
9.4130, 536785888.00, 0.07, ovf, 0.01, ovf, 0.02, ovf, 0.03, 0.00, ovf, ovf, ovf, 0.05, ovf, -132120568.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0255, -0.0034, ovf, 1
9.7630, 268392944.00, 0.08, ovf, 0.00, ovf, 0.01, ovf, 0.02, 0.00, ovf, ovf, ovf, 0.08, ovf, -66060284.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0127, -0.0017, ovf, 1
10.1130, 134196472.00, 0.09, ovf, 0.05, ovf, 0.01, ovf, 0.06, 0.00, ovf, ovf, ovf, 0.09, ovf, -33030142.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0064, -0.0008, ovf, 1
10.4630, 67098236.00, 0.10, ovf, 0.08, ovf, 0.00, ovf, 0.03, 0.00, ovf, ovf, ovf, 0.11, ovf, -16515071.00, ovf, ovf, ovf, ovf, nan, ovf, 0.0313, 0.0261, ovf, 1
10.8130, 33549118.00, 0.10, ovf, 0.04, ovf, 0.00, ovf, 0.01, 0.00, ovf, ovf, ovf, 0.13, ovf, -8257535.50, ovf, ovf, ovf, ovf, nan, ovf, 0.0407, 0.0131, ovf, 1
11.1640, 16774559.00, 0.05, ovf, 0.02, ovf, 0.00, ovf, 0.01, 0.00, ovf, ovf, ovf, 0.12, ovf, -4128767.75, ovf, ovf, ovf, ovf, nan, ovf, 0.0203, 0.0065, ovf, 1
11.5130, 8387279.50, 0.12, ovf, 0.01, ovf, 0.00, -4286168832.00, 0.00, 0.00, ovf, 2583673600.00, ovf, 0.12, ovf, -2064383.87, ovf, ovf, ovf, ovf, nan, ovf, 0.0102, 0.0033, ovf, 1
11.8650, 4193639.75, 0.16, ovf, 0.00, ovf, 0.00, -2143084416.00, 0.10, 0.00, ovf, 1291836800.00, ovf, 0.13, ovf, -1032191.93, ovf, ovf, ovf, ovf, nan, ovf, 0.0051, 0.0282, ovf, 1
12.2160, 2096819.87, 0.08, ovf, 0.00, ovf, 0.00, -1071542208.00, 0.10, 0.00, ovf, 645918400.00, ovf, 0.13, ovf, -516095.96, ovf, ovf, ovf, ovf, nan, ovf, -0.0209, 0.0141, ovf, 1
