Voltage Range: ,0.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Time
0.10,0.1320,0.1000,0.1270,0.0750,0.1360,0.1000,0.1320,0.1000,0.1310,0.0500,0.1360,0.1000,0.1390,0.1000,0.1440,0.0500,0.6590
0.07,0.1030,0.0750,0.0970,0.0750,0.1060,0.1000,0.1040,0.1000,0.1000,0.0500,0.1080,0.0500,0.1080,0.1000,0.1140,0.0500,1.3190
0.04,0.0720,0.1000,0.0680,0.1000,0.0760,0.1250,0.0720,0.1000,0.0700,0.1000,0.0760,0.1000,0.0800,0.1000,0.0840,0.0500,1.9790
0.01,0.0430,0.1250,0.0360,0.1000,0.0480,0.1000,0.0410,0.1000,0.0420,0.0750,0.0480,0.1000,0.0480,0.1000,0.0560,0.0500,2.6390
-0.02,0.0120,0.1000,0.0080,0.1250,0.0170,0.1000,0.0120,0.1000,0.0120,0.0750,0.0160,0.1000,0.0160,0.1250,0.0220,0.0750,3.2990
0.03,0.0050,0.0750,-0.0000,0.1000,0.0080,0.1250,0.0020,0.0750,0.0040,0.1000,0.0050,0.0750,0.0040,0.1000,0.0120,0.0500,0.6590
0.06,0.0320,0.1000,0.0280,0.1000,0.0370,0.0750,0.0320,0.1000,0.0320,0.1000,0.0360,0.1000,0.0370,0.1000,0.0440,0.1000,1.3190
0.09,0.0640,0.0750,0.0560,0.1000,0.0670,0.1000,0.0620,0.1000,0.0600,0.0500,0.0680,0.1000,0.0680,0.1000,0.0770,0.0250,1.9790
