Voltage Range: 1.2, , ,
Voltage Step Size: 0.01, , ,
Voltage Read Count: 10, , ,
Volts_output,Volts Pixel 1,Current Pixel 1,
0.89,0.8839,1.3,
0.9,0.8951,1.2182,
0.91,0.9042,1.1636,
0.92,0.9159,1.0455,
0.93,0.9239,0.9818,
0.94,0.9359,0.8545,
0.95,0.9439,0.7364,
0.96,0.9556,0.6364,
0.97,0.964,0.5,
0.98,0.9752,0.4,
0.99,0.984,0.2091,
1,0.9956,0.1,
1.01,1.004,-0.0545,
1.02,1.0149,-0.2273,
1.03,1.024,-0.4,
1.04,1.035,-0.6,
1.05,1.0441,-0.7818,
1.06,1.0543,-0.9545,
1.07,1.0641,-1.1545,
1.08,1.0732,-1.3818,w
1.09,1.0842,-1.6182,
1.1,1.094,-1.8182,
1.11,1.1035,-2.0636,
1.12,1.1148,-2.3182,
1.13,1.1239,-2.5636,
1.14,1.133,-2.8273,
1.15,1.1443,-3.1,
1.16,1.1534,-3.3727,
1.17,1.164,-3.6636,
1.18,1.1724,-3.9364,
1.19,1.1844,-4.2636,
1.2,1.1925,-4.5364,
