Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,Pixel 1_0 PCE,Pixel 1_1 PCE,Pixel 1_2 PCE,Pixel 1_3 PCE,Pixel 1_4 PCE,Pixel 1_5 PCE,Pixel 1_6 PCE,Pixel 1_7 PCE,Pixel 2_0 PCE,Pixel 2_1 PCE,Pixel 2_2 PCE,Pixel 2_3 PCE,Pixel 2_4 PCE,Pixel 2_5 PCE,Pixel 2_6 PCE,Pixel 2_7 PCE,Pixel 3_0 PCE,Pixel 3_1 PCE,Pixel 3_2 PCE,Pixel 3_3 PCE,Pixel 3_4 PCE,Pixel 3_5 PCE,Pixel 3_6 PCE,Pixel 3_7 PCE,ARDUINOID
83.8870, 0.02, 0.70, 0.78, ovf, ovf, ovf, -337.03, 3.82, ovf, ovf, ovf, 2.92, 0.90, ovf, 0.81, 2.64, ovf, 2.64, ovf, ovf, ovf, ovf, ovf, 3.26, ovf, ovf, ovf, ovf, ovf, 2.36, ovf, ovf, ovf, ovf, ovf, ovf, 0.60, -414249.62, ovf, 2.33, ovf, ovf, 0.54, ovf, -197269.06, 3.14, ovf, ovf, -386008.53, ovf, 0.89, 2.64, 3303474.00, 2.37, 0.80, 2.91, 741882816.00, ovf, nan, ovf, 0.79, ovf, 3512922.00, 3.66, ovf, ovf, 0.0293, 20.3101, ovf, nan, ovf, ovf, ovf, ovf, 1.0684, ovf, 15.7167, ovf, ovf, ovf, 708.6461, 12.0472, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.1440, ovf, ovf, 1.6964, 0
88.4850, 0.01, 0.72, 0.78, ovf, ovf, ovf, -55.50, 3.84, ovf, ovf, ovf, 2.90, 0.92, ovf, 0.81, 2.56, ovf, 2.61, ovf, ovf, ovf, ovf, ovf, 3.31, ovf, ovf, ovf, ovf, ovf, 2.41, ovf, ovf, ovf, ovf, ovf, ovf, 0.61, -69039.68, ovf, 2.24, ovf, ovf, 0.55, ovf, -32877.46, 3.22, ovf, ovf, -64334.03, ovf, 0.89, 2.61, 550580.00, 0.46, 0.79, 2.99, 123647136.00, ovf, nan, ovf, 0.79, ovf, 585487.00, 3.64, ovf, ovf, 0.0256, 20.1103, ovf, nan, ovf, ovf, ovf, ovf, 0.9494, ovf, 15.3844, ovf, ovf, ovf, 127.9892, 11.7771, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.4849, ovf, ovf, 1.6662, 0
93.0820, 0.01, 0.72, 0.78, ovf, ovf, ovf, -8.59, 3.87, ovf, ovf, ovf, 2.93, 0.93, ovf, 0.81, 2.59, ovf, 2.60, ovf, ovf, ovf, ovf, ovf, 3.32, -2256477696.00, ovf, ovf, ovf, ovf, 2.50, ovf, ovf, ovf, ovf, ovf, ovf, 0.60, -11504.71, -1212803072.00, 2.11, ovf, ovf, 0.55, ovf, -5478.86, 3.24, ovf, ovf, -10721.63, ovf, 0.89, 2.58, 91764.21, 0.11, 0.78, 3.00, 20607856.00, ovf, nan, ovf, 0.79, ovf, 97581.23, 3.62, ovf, ovf, 0.0208, 20.0154, ovf, nan, ovf, ovf, ovf, ovf, 1.1379, ovf, 15.2982, ovf, ovf, ovf, 31.1062, 11.8834, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.2678, ovf, ovf, 1.6060, 0
97.6790, 0.01, 0.70, 0.78, ovf, ovf, ovf, -0.78, 3.88, ovf, ovf, ovf, 2.92, 0.94, ovf, 0.81, 2.58, ovf, 2.58, ovf, ovf, ovf, ovf, ovf, 3.35, -376079616.00, ovf, ovf, ovf, ovf, 2.55, ovf, ovf, ovf, ovf, ovf, ovf, 0.60, -1915.52, -202133840.00, 2.05, ovf, ovf, 0.55, ovf, -912.44, 3.24, ovf, ovf, -1786.24, ovf, 0.89, 2.56, 15294.95, 0.07, 0.77, 3.00, 3434642.75, ovf, nan, ovf, 0.79, ovf, 16263.59, 3.62, ovf, ovf, 0.0273, 19.7475, ovf, nan, ovf, ovf, -3905619968.0000, ovf, 0.9417, ovf, 15.1551, ovf, ovf, ovf, 14.8278, 11.7261, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.0446, ovf, ovf, 1.5960, 0
102.2780, 0.01, 0.70, 0.78, ovf, ovf, ovf, 0.51, 3.90, ovf, ovf, ovf, 2.95, 0.95, ovf, 0.81, 2.56, ovf, 2.55, ovf, ovf, ovf, ovf, ovf, 3.34, -62679936.00, ovf, ovf, ovf, ovf, 2.59, ovf, ovf, ovf, ovf, ovf, ovf, 0.61, -317.32, -33688972.00, 1.96, ovf, ovf, 0.55, ovf, -151.38, 3.27, ovf, ovf, -297.02, ovf, 0.89, 2.51, 2550.08, 0.09, 0.76, 3.00, 572441.18, ovf, nan, ovf, 0.79, ovf, 2710.65, 3.60, ovf, ovf, 0.0273, 19.5497, ovf, nan, ovf, ovf, -650936704.0000, ovf, 0.7944, -2617602304.0000, 15.0145, ovf, -2187948544.0000, ovf, 12.0678, 11.5534, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.1991, ovf, ovf, 1.5715, 0
106.8780, 0.01, 0.70, 0.78, ovf, ovf, ovf, 0.72, 3.92, ovf, ovf, ovf, 2.89, 0.96, ovf, 0.81, 2.53, ovf, 2.57, ovf, ovf, ovf, ovf, ovf, 3.36, -10446656.00, ovf, ovf, ovf, ovf, 2.63, ovf, ovf, ovf, ovf, ovf, ovf, 0.60, -50.99, -5614828.50, 1.86, ovf, ovf, 0.55, ovf, -24.54, 3.31, ovf, ovf, -48.82, ovf, 0.89, 2.54, 425.95, 0.05, 0.74, 3.00, 95407.62, ovf, nan, ovf, 0.79, ovf, 451.83, 3.60, ovf, ovf, 0.0294, 19.3619, ovf, nan, ovf, ovf, -108489440.0000, ovf, 0.8662, -436267040.0000, 14.8295, ovf, -364658112.0000, ovf, 11.5484, 11.4262, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.5191, ovf, ovf, 1.5830, 0
111.4780, 0.01, 0.70, 0.78, ovf, ovf, ovf, 0.74, 3.94, ovf, ovf, ovf, 2.93, 0.98, ovf, 0.81, 2.52, ovf, 2.58, ovf, ovf, ovf, ovf, ovf, 3.38, -1741108.37, ovf, ovf, ovf, ovf, 2.67, ovf, ovf, -2308919040.00, ovf, ovf, ovf, 0.60, -6.58, -935804.25, 1.76, ovf, ovf, 0.55, ovf, -3.42, 3.30, ovf, ovf, -7.47, ovf, 0.89, 2.51, 71.93, 0.04, 0.73, 3.02, 15902.03, ovf, nan, ovf, 0.79, ovf, 75.36, 3.58, ovf, ovf, 0.0267, 19.1394, ovf, nan, ovf, ovf, -18081566.0000, ovf, 0.8699, -72711184.0000, 14.5268, ovf, -60776352.0000, -977027712.0000, 11.1987, 11.2908, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.2834, ovf, ovf, 1.5621, 0
116.0780, 0.01, 0.68, 0.78, ovf, ovf, ovf, 0.73, 3.96, ovf, ovf, ovf, 2.94, 0.99, ovf, 0.81, 2.50, ovf, 2.56, ovf, ovf, ovf, ovf, ovf, 3.38, -290184.09, ovf, ovf, ovf, ovf, 2.70, ovf, ovf, -384819840.00, ovf, ovf, ovf, 0.61, 0.82, -155966.68, 1.69, ovf, ovf, 0.55, ovf, 0.10, 3.35, ovf, ovf, -0.58, ovf, 0.89, 2.50, 12.94, 0.07, 0.72, 3.04, 2651.10, ovf, nan, ovf, 0.79, ovf, 12.62, 3.56, ovf, ovf, 0.0252, 18.9595, ovf, nan, ovf, ovf, -3013583.7500, ovf, 0.8601, -12118514.0000, 14.3857, ovf, -10129388.0000, -162837952.0000, 11.1877, 11.1270, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.1472, ovf, ovf, 1.5514, 0
120.6770, 0.01, 0.70, 0.78, ovf, ovf, ovf, 0.72, 3.96, ovf, ovf, ovf, 2.96, 1.00, ovf, 0.81, 2.50, ovf, 2.54, ovf, ovf, ovf, ovf, ovf, 3.38, -48363.45, ovf, ovf, ovf, ovf, 2.73, ovf, ovf, -64136640.00, ovf, ovf, ovf, 0.61, 2.04, -25993.76, 1.58, ovf, ovf, 0.55, -753086016.00, 0.67, 3.36, ovf, ovf, 0.55, ovf, 0.89, 2.52, 3.12, 0.06, 0.71, 3.04, 442.63, ovf, nan, ovf, 0.79, ovf, 2.16, 3.58, ovf, ovf, 0.0280, 18.6373, ovf, nan, ovf, ovf, -502253.3750, ovf, 0.7496, -2019740.3750, 14.1199, ovf, -1688225.6250, -27139640.0000, 11.0733, 11.1168, ovf, ovf, ovf, ovf, -1851721984.0000, ovf, ovf, ovf, ovf, ovf, 0.1256, ovf, ovf, 1.5569, 0
125.2790, 0.01, 0.68, 0.78, ovf, ovf, ovf, 0.71, 3.96, ovf, ovf, ovf, 2.98, 1.01, ovf, 0.81, 2.48, -2590788352.00, 2.52, ovf, ovf, -2469811456.00, ovf, ovf, 3.46, -8060.03, ovf, ovf, ovf, ovf, 2.76, ovf, ovf, -10689440.00, ovf, ovf, ovf, 0.60, 2.29, -4331.60, 1.46, ovf, ovf, 0.55, -125514336.00, 0.76, 3.36, ovf, 2803107584.00, 0.73, ovf, 0.89, 2.52, 1.49, 0.08, 0.70, 3.06, 74.56, ovf, nan, ovf, 0.79, ovf, 0.42, 3.55, ovf, ovf, 0.0295, 18.3602, ovf, nan, -1691574144.0000, ovf, -83698.3203, ovf, 0.9213, -336611.3437, 14.0635, ovf, -281365.6875, -4523263.5000, 10.9740, 10.8791, ovf, ovf, ovf, ovf, -308620320.0000, ovf, ovf, ovf, 2346034432.0000, ovf, 0.2261, ovf, ovf, 1.5433, 0
