Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Time
0.45,0.4763,-2.7000,0.4723,-2.6000,0.4773,-3.0000,0.4683,-2.7250,0.4723,-2.8750,0.4723,-2.6750,0.4670,0.0250,0.4690,0.1000,15.4430
0.42,0.4443,-2.6500,0.4413,-2.6000,0.4483,-2.9500,0.4373,-2.7500,0.4423,-2.8250,0.4443,-2.6750,0.4360,0.0750,0.4400,0.0000,16.0370
0.39,0.4163,-2.6250,0.4123,-2.5750,0.4173,-2.9250,0.4093,-2.7000,0.4133,-2.8500,0.4133,-2.7000,0.4080,0.0750,0.4120,0.0500,16.6310
0.36,0.3853,-2.7000,0.3833,-2.5500,0.3873,-2.9000,0.3803,-2.7000,0.3843,-2.8000,0.3833,-2.7000,0.3760,0.0500,0.3800,0.1000,17.2250
0.33,0.3563,-2.6500,0.3523,-2.5750,0.3569,-2.9500,0.3483,-2.7250,0.3523,-2.8000,0.3523,-2.6750,0.3440,0.0000,0.3490,0.0750,17.8190
0.30,0.3273,-2.6000,0.3253,-2.5750,0.3279,-2.9000,0.3203,-2.7000,0.3233,-2.8250,0.3243,-2.6500,0.3160,0.0750,0.3210,0.0250,18.4130
0.27,0.2963,-2.6000,0.2963,-2.5000,0.2963,-2.8750,0.2923,-2.6750,0.2923,-2.7750,0.2943,-2.6750,0.2880,0.0250,0.2920,0.0500,19.0070
0.24,0.2683,-2.6000,0.2643,-2.5000,0.2663,-2.8750,0.2603,-2.7000,0.2643,-2.7750,0.2643,-2.6250,0.2580,0.1000,0.2640,0.0250,19.6010
0.21,0.2383,-2.5750,0.2362,-2.5000,0.2363,-2.8750,0.2323,-2.6250,0.2343,-2.7250,0.2363,-2.6500,0.2280,0.0500,0.2330,0.0500,20.1950
0.18,0.2113,-2.6250,0.2083,-2.5000,0.2083,-2.8250,0.2023,-2.6000,0.2053,-2.7750,0.2053,-2.6000,0.2000,0.0250,0.2040,0.0750,20.7890
0.15,0.1813,-2.5250,0.1762,-2.5000,0.1763,-2.8250,0.1723,-2.6250,0.1763,-2.7250,0.1773,-2.6000,0.1690,0.0500,0.1760,0.0750,21.3830
0.12,0.1513,-2.5250,0.1482,-2.5000,0.1483,-2.8250,0.1433,-2.6000,0.1453,-2.7250,0.1483,-2.6000,0.1400,0.0750,0.1450,0.0500,21.9770
0.09,0.1203,-2.5500,0.1202,-2.4750,0.1163,-2.8250,0.1133,-2.6250,0.1163,-2.7250,0.1203,-2.5750,0.1120,0.0500,0.1160,0.0750,22.5710
0.06,0.0923,-2.5000,0.0902,-2.4250,0.0883,-2.8250,0.0843,-2.6000,0.0883,-2.7000,0.0903,-2.6000,0.0810,0.0750,0.0880,0.0500,23.1650
0.03,0.0633,-2.5000,0.0592,-2.4250,0.0603,-2.8000,0.0563,-2.6000,0.0573,-2.7000,0.0603,-2.5500,0.0520,0.0500,0.0560,0.0500,23.7590
0.00,0.0312,-2.5000,0.0272,-2.4500,0.0283,-2.7750,0.0243,-2.6000,0.0273,-2.6750,0.0283,-2.5500,0.0220,0.0750,0.0280,0.0750,24.3530
-0.03,0.0002,-2.5000,0.0002,-2.4000,0.0003,-2.8000,0.0003,-2.5500,0.0003,-2.7000,0.0003,-2.5500,-0.0000,0.1000,-0.0000,0.0250,24.9470
0.03,0.0003,-2.4750,0.0003,-2.4000,0.0003,-2.8000,0.0003,-2.6000,0.0003,-2.7000,0.0003,-2.5500,-0.0000,0.1000,-0.0000,0.1000,0.5930
0.06,0.0323,-2.5750,0.0283,-2.4750,0.0283,-2.8750,0.0243,-2.6500,0.0263,-2.7250,0.0283,-2.6250,0.0220,0.1000,0.0280,0.0500,1.1870
0.09,0.0623,-2.6250,0.0593,-2.5000,0.0603,-2.9000,0.0563,-2.6750,0.0573,-2.7500,0.0603,-2.6500,0.0520,0.1000,0.0560,0.0500,1.7810
0.12,0.0923,-2.6250,0.0893,-2.5500,0.0883,-2.9000,0.0843,-2.7000,0.0853,-2.8500,0.0893,-2.6750,0.0830,0.1000,0.0870,0.0250,2.3750
0.15,0.1203,-2.7000,0.1193,-2.6000,0.1169,-2.9750,0.1123,-2.7500,0.1163,-2.8500,0.1173,-2.7000,0.1110,0.0750,0.1160,0.0250,2.9690
0.18,0.1523,-2.7500,0.1483,-2.6000,0.1463,-3.0000,0.1443,-2.7750,0.1453,-2.9000,0.1483,-2.7000,0.1410,0.1000,0.1450,0.0500,3.5630
0.21,0.1803,-2.7250,0.1793,-2.6250,0.1763,-3.0000,0.1723,-2.8000,0.1763,-2.9000,0.1763,-2.7500,0.1680,0.0750,0.1740,0.0250,4.1570
0.24,0.2093,-2.7750,0.2073,-2.6750,0.2073,-3.0750,0.2013,-2.8250,0.2043,-2.9250,0.2053,-2.8250,0.1990,0.0750,0.2040,0.0500,4.7510
0.27,0.2393,-2.8000,0.2363,-2.6750,0.2363,-3.0750,0.2323,-2.9000,0.2333,-2.9500,0.2363,-2.8000,0.2290,0.0750,0.2330,0.0750,5.3450
0.30,0.2683,-2.8250,0.2643,-2.7000,0.2663,-3.1000,0.2603,-2.9000,0.2643,-2.9750,0.2643,-2.8250,0.2590,0.1000,0.2620,0.0250,5.9390
0.33,0.2963,-2.8250,0.2963,-2.7000,0.2963,-3.1250,0.2903,-2.9000,0.2923,-3.0000,0.2953,-2.8250,0.2870,0.1000,0.2920,0.0500,6.5330
0.36,0.3263,-2.9000,0.3243,-2.7250,0.3263,-3.1250,0.3203,-2.9000,0.3233,-3.0000,0.3243,-2.8250,0.3160,0.1000,0.3200,0.0000,7.1270
0.39,0.3553,-2.9000,0.3523,-2.7750,0.3543,-3.1750,0.3483,-2.9250,0.3523,-3.0000,0.3523,-2.8750,0.3440,0.1000,0.3500,0.0500,7.7210
0.42,0.3843,-2.8750,0.3833,-2.8000,0.3873,-3.2000,0.3793,-2.9250,0.3813,-3.0000,0.3813,-2.8500,0.3760,0.1000,0.3800,0.0250,8.3150
0.45,0.4163,-2.9250,0.4123,-2.8000,0.4163,-3.2250,0.4093,-2.9500,0.4133,-3.0250,0.4123,-2.9000,0.4070,0.0750,0.4120,0.0000,8.9090
0.48,0.4463,-2.9000,0.4413,-2.8000,0.4453,-3.2000,0.4373,-2.9750,0.4413,-3.0500,0.4433,-2.9000,0.4360,0.0750,0.4400,0.0500,9.5030
0.51,0.4763,-2.9250,0.4723,-2.7750,0.4763,-3.2250,0.4683,-3.0000,0.4723,-3.0750,0.4723,-2.9250,0.4660,0.0750,0.4680,0.0750,10.0970
0.54,0.5043,-2.9750,0.5003,-2.8000,0.5053,-3.2000,0.4973,-2.9750,0.5003,-3.1000,0.5003,-2.9250,0.4960,0.0500,0.4990,0.0250,10.6910
0.57,0.5343,-2.9750,0.5293,-2.8000,0.5353,-3.2250,0.5283,-3.0000,0.5303,-3.0750,0.5303,-2.9250,0.5250,0.1000,0.5280,0.0250,11.2850
0.60,0.5643,-3.0000,0.5603,-2.8250,0.5633,-2.8625,0.5563,-3.0000,0.5603,-3.1000,0.5603,-2.9250,0.5560,0.0250,0.5560,0.0750,11.9070
