Voltage Range: ,0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
2.9220, 0.09, 1.40, 0.09, 2.72, ovf, 3.40, 0.09, 2.77, 0.10, ovf, ovf, 3.08, 0.09, 3.20, ovf, 0.00, 1.0047, ovf, ovf, ovf, ovf, ovf, ovf, -0.0000, 1
5.8520, 0.09, 1.67, 0.08, 3.20, ovf, 3.93, 0.09, 3.23, 0.09, ovf, ovf, 3.60, 0.11, 3.63, ovf, 0.02, 0.9721, ovf, ovf, ovf, ovf, ovf, ovf, 0.0083, 1
8.7810, 0.07, 1.71, 0.07, 3.27, ovf, 4.06, 0.07, 3.27, 0.07, ovf, ovf, 3.67, 0.11, 3.72, ovf, 0.04, 0.7506, ovf, ovf, ovf, ovf, ovf, ovf, 0.0139, 1
11.7100, 0.04, 1.72, 0.06, 3.28, ovf, 4.06, 0.06, 3.28, 0.07, ovf, ovf, 3.68, 0.11, 3.74, ovf, 0.02, 0.4371, ovf, ovf, ovf, ovf, ovf, ovf, 0.0054, 1
14.6400, 0.03, 1.72, 0.06, 3.30, ovf, 4.03, 0.06, 3.25, 0.07, ovf, ovf, 3.65, 0.11, 3.71, ovf, 0.02, 0.3030, ovf, ovf, ovf, ovf, ovf, ovf, 0.0014, 1
