Voltage Range: 0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
64.424,0.7,2,1.26,0.1,1.28,0.1,0.76,2.2,0.73,2.1,1.25,0.1,0.92,0.1,0.86,1.7,10.9344,0.9812,0.9969,13.1273,12.0058,0.975,0.7187,11.4727,1
66.9,0.72,2,1.28,0.1,1.3,0.1,0.78,2.2,0.76,2.1,1.25,0.1,0.92,0.1,0.86,1.7,11.2469,1,1.0125,13.4712,12.3997,0.975,0.7187,11.4727,1
69.376,0.72,1.9,1.3,0,1.32,0.1,0.8,2.1,0.77,2,1.27,0,0.92,0.1,0.86,1.7,10.6253,0,1.0281,13.1872,12.0594,0,0.7187,11.4727,1
71.852,0.74,1.9,1.32,0.1,1.34,0.1,0.78,2.2,0.79,2,1.29,0.1,0.92,0.1,0.86,1.7,10.9816,1.0312,1.0437,13.4026,12.372,1.0063,0.7187,11.4727,1
74.328,0.72,1.9,1.34,0.1,1.36,0,0.78,2.2,0.77,2,1.31,0.1,0.92,0.1,0.86,1.7,10.6847,1.0437,0,13.4025,12.0594,1.0219,0.7187,11.4727,1
76.804,0.7,2,1.36,0.1,1.38,0.1,0.76,2.2,0.77,2,1.33,0,0.92,0.1,0.86,1.7,10.9344,1.0625,1.075,13.1275,12.0594,0,0.7187,11.4727,1
79.28,0.68,2.1,1.38,0.1,1.4,0.1,0.74,2.3,0.77,2,1.33,0,0.92,0.1,0.86,1.7,11.1528,1.0781,1.0906,13.2927,12.0594,0,0.7187,11.4196,1
81.756,0.68,2.1,1.4,0.1,1.42,0.1,0.74,2.2,0.8,2,1.32,0.1,0.92,0.1,0.86,1.7,11.0873,1.0938,1.1062,12.7837,12.4345,1.0344,0.7187,11.4198,1
84.232,0.7,2,1.42,0.1,1.44,0.1,0.76,2.2,0.77,2,1.34,0,0.9,0.1,0.88,1.6,10.9344,1.1094,1.1219,13.1275,12.0594,0,0.7031,11.048,1
86.708,0.68,2.1,1.44,0.1,1.43,0.1,0.78,2.1,0.75,2.1,1.36,0.1,0.92,0.1,0.88,1.6,11.1528,1.125,1.1187,12.7934,12.3341,1.0656,0.7187,10.998,1
89.184,0.68,2.1,1.46,0.1,1.43,0,0.8,2.1,0.78,2.1,1.39,0.1,0.9,0.1,0.88,1.5,11.153,1.1406,0,13.1872,12.728,1.0844,0.7031,10.3575,1
91.66,0.68,2.1,1.48,0.1,1.45,0.1,0.78,2.2,0.77,2,1.41,0.1,0.88,0.1,0.88,1.5,11.1528,1.1562,1.1344,13.4714,12.0594,1.1,0.6906,10.3575,1
94.136,0.68,2,1.5,0,1.47,0.1,0.78,2.1,0.75,2.1,1.42,0.1,0.86,0.1,0.88,1.6,10.6219,0,1.15,12.7933,12.3341,1.1125,0.6719,11.0481,1
96.612,0.66,2.1,1.52,0.1,1.49,0.1,0.76,2.2,0.75,2,1.44,0,0.86,0.1,0.88,1.6,10.8247,1.1875,1.1656,13.1275,11.7469,0,0.6719,11.048,1
99.088,0.68,2,1.52,0.1,1.51,0.1,0.76,2.2,0.77,2,1.47,0.1,0.86,0.1,0.88,1.6,10.6219,1.1875,1.1812,13.0587,12.0595,1.1469,0.6719,11.0481,1
101.564,0.7,1.9,1.54,0.1,1.53,0.1,0.78,2.1,0.75,2,1.48,0.1,0.86,0.1,0.88,1.6,10.3877,1.2,1.1969,12.7934,11.7469,1.1594,0.6719,11.048,1
104.04,0.68,2.1,1.56,0.1,1.55,0.1,0.76,2.2,0.77,2,1.48,0.1,0.86,0.1,0.88,1.6,11.0872,1.2187,1.2125,13.1276,12.0594,1.1594,0.6719,11.048,1
106.516,0.68,2,1.58,0.1,1.57,0.1,0.78,2.1,0.76,2.1,1.48,0,0.88,0.1,0.86,1.7,10.6219,1.2313,1.2281,12.7934,12.3997,0,0.6875,11.4196,1
108.992,0.7,2,1.6,0.1,1.59,0.1,0.8,2.1,0.75,2.1,1.5,0.1,0.86,0.1,0.88,1.5,10.8719,1.25,1.2406,13.1872,12.3341,1.175,0.6719,10.3575,1
111.468,0.7,2,1.6,0.1,1.61,0.1,0.82,2,0.75,2,1.52,0.1,0.84,0.1,0.88,1.6,10.9344,1.2469,1.2594,12.8717,11.7467,1.1906,0.6594,10.998,1
113.944,0.68,2,1.62,0,1.63,0,0.8,2.1,0.73,2.1,1.54,0.1,0.82,0,0.88,1.5,10.6219,0,0,13.1872,12.0061,1.2063,0,10.3575,1
116.42,0.66,2.1,1.64,0.1,1.65,0.1,0.78,2.1,0.73,2.1,1.56,0.1,0.84,0.1,0.9,1.4,10.8247,1.2812,1.2906,12.8591,12.0059,1.2219,0.6594,9.8422,1
118.896,0.66,2.1,1.64,0.1,1.65,0.1,0.8,2.1,0.76,2.1,1.58,0.1,0.82,0.1,0.9,1.5,10.8247,1.2812,1.2875,13.1872,12.3998,1.2375,0.6437,10.5921,1
121.372,0.66,2,1.66,0,1.67,0.1,0.78,2.1,0.75,2,1.6,0.1,0.82,0.1,0.9,1.5,10.2467,0,1.3062,12.8589,11.7469,1.2531,0.6437,10.5451,1
