photo__80p__p1__0.8Sun__Rv__scan0	photo__80p__p1__0.8Sun__Rv__scan0	photo__80p__p1__0.8Sun__Fw__scan0	photo__80p__p1__0.8Sun__Fw__scan0	photo__80p__p2__0.8Sun__Rv__scan0	photo__80p__p2__0.8Sun__Rv__scan0	photo__80p__p2__0.8Sun__Fw__scan0	photo__80p__p2__0.8Sun__Fw__scan0	photo__80p__p3__0.8Sun__Rv__scan0	photo__80p__p3__0.8Sun__Rv__scan0	photo__80p__p3__0.8Sun__Fw__scan0	photo__80p__p3__0.8Sun__Fw__scan0	photo__80p__p4__0.8Sun__Rv__scan0	photo__80p__p4__0.8Sun__Rv__scan0	photo__80p__p4__0.8Sun__Fw__scan0	photo__80p__p4__0.8Sun__Fw__scan0	photo__80p__p5__0.8Sun__Rv__scan0	photo__80p__p5__0.8Sun__Rv__scan0	photo__80p__p5__0.8Sun__Fw__scan0	photo__80p__p5__0.8Sun__Fw__scan0	photo__80p__p6__0.8Sun__Rv__scan0	photo__80p__p6__0.8Sun__Rv__scan0	photo__80p__p6__0.8Sun__Fw__scan0	photo__80p__p6__0.8Sun__Fw__scan0	photo__80p__p7__0.8Sun__Rv__scan0	photo__80p__p7__0.8Sun__Rv__scan0	photo__80p__p7__0.8Sun__Fw__scan0	photo__80p__p7__0.8Sun__Fw__scan0	photo__80p__p8__0.8Sun__Rv__scan0	photo__80p__p8__0.8Sun__Rv__scan0	photo__80p__p8__0.8Sun__Fw__scan0	photo__80p__p8__0.8Sun__Fw__scan0
1.271346	0.003375	-0.072061	-0.0008671875	1.273327	-0.032390625	-0.071053	-0.00559375	1.272572	-0.101328125	-0.070521	0.016578125000000003	1.269896	-0.99525	-0.073878	0.0548515625	1.270645	-17.71015625	-0.072141	1.011078125	1.281945	-99.89896875	-0.082469	6.4808984375000005	0.256008	-390.8320234375	-0.122123	188.189109375	0.862431	-390.4810546875	-0.069967	14.0476796875
1.256338	-0.0256484375	-0.056952	0.0122421875	1.259343	0.0018281249999999999	-0.060961	0.005015625	1.257713	-0.10682031249999999	-0.055431	0.013789062500000001	1.2601	-0.9814687499999999	-0.059558	0.051765624999999996	1.262703	-17.598320312499997	-0.059428	0.8222265625	1.269002	-98.907671875	-0.073017	5.729820312499999	0.256018	-390.7970078125	-0.114317	176.1484453125	0.862321	-390.48233593749995	-0.059888	14.041796875
1.246606	0.002796875	-0.047019	-0.015421875	1.24452	-0.018703124999999998	-0.045516	0.004046875	1.247938	-0.0983359375	-0.050599	0.0145546875	1.24513	-0.9616015625	-0.044387	0.024484375	1.250279	-17.4534140625	-0.050918	0.7291953125	1.25899	-98.11815625	-0.058763	4.645671875	0.2558	-390.4596640625	-0.106011	163.462859375	0.862194	-390.4778828125	-0.045582	14.0416015625
1.237132	0.0007734374999999999	-0.037022	-0.00684375	1.234762	-0.0094453125	-0.035541	0.013398437499999999	1.233109	-0.0959296875	-0.030783	0.00790625	1.234859	-0.9646875	-0.033966	0.0417421875	1.238036	-17.2523984375	-0.038041	0.545640625	1.246194	-97.1310078125	-0.049422	3.9155078125	0.256012	-390.8207265625	-0.098195	151.5099140625	0.862109	-390.49447656250004	-0.036045	14.0351484375
1.227286	0.0029921874999999996	-0.021894	0.0252578125	1.225316	-0.0081953125	-0.020506	-0.008	1.223648	-0.09053125	-0.025669	0.0070390625	1.224529	-0.9676796875	-0.024123	0.0031796875000000002	1.225578	-17.0843515625	-0.021394	0.2875703125	1.236004	-96.3389921875	-0.035419	2.8044609375	0.255796	-390.4654609375	-0.090025	138.998234375	0.86202	-390.494390625	-0.026152	14.006703125
1.20811	-0.002796875	-0.012069	-0.011085937499999999	1.210821	-0.0041484375	-0.010538	0.0098359375	1.213791	-0.10257812499999999	-0.010719	-0.0006718750000000001	1.209601	-0.9514843749999999	-0.008471	0.0127265625	1.213498	-16.89596875	-0.012637	0.1854765625	1.221142	-95.16151562499999	-0.023321	1.8613515625	0.256003	-390.808390625	-0.081328	125.6811953125	0.861896	-390.47846875	-0.01156	14.022132812499999
1.203069	0.00559375	0.003115	0.013398437499999999	1.20094	-0.002796875	-0.000353	0.0088671875	1.198998	-0.10315625	-0.000687	0.0124375	1.199285	-0.925453125	-0.003701	-0.009546875	1.200977	-16.734570312499997	-0.004388	0.0560078125	1.210911	-94.39022656249999	-0.011174	0.92421875	0.255787	-390.451375	-0.072729	112.46982031249999	0.861788	-390.53082812499997	0.00279	14.009890625
1.188501	-0.0021171874999999997	0.012965	-0.021984375	1.186457	-0.014265624999999999	0.009649	0.017640625	1.189587	-0.077609375	0.014338	-0.0018281249999999999	1.188977	-0.9383671874999999	0.011634	-0.007421875	1.192742	-16.62446875	0.012556	-0.17160937499999998	1.201084	-93.606015625	-0.00144	0.16349999999999998	0.256007	-390.7720390625	-0.064375	99.623421875	0.86169	-390.5298671875	0.012538	13.991734375
1.173686	-0.009734375	0.023227	-0.0081015625	1.176979	0.00896875	0.024438	0.00328125	1.174468	-0.0886953125	0.024373	0.0103125	1.178814	-0.934703125	0.026915	-0.026898437499999997	1.176068	-16.39790625	0.020918	-0.28856249999999994	1.186309	-92.4542890625	0.013407	-0.990046875	0.255975	-390.76886718749995	-0.055354	85.8498203125	0.861593	-390.52465624999996	0.022433	13.9968125
1.164284	0.0144609375	0.03315	-0.0065546875	1.167142	-0.0088671875	0.034672	0.0075234375	1.164879	-0.0805	0.034278	-0.0111875	1.163987	-0.901734375	0.037125	-0.017640625	1.168249	-16.258015625	0.033681	-0.453328125	1.176893	-91.73034375	0.023165	-1.7527578124999998	0.255989	-390.770703125	-0.046407	72.14553125	0.86151	-390.51953125	0.031948	13.9875234375
1.154313	-0.00453125	0.048424	0.0049140625	1.15257	-0.0240078125	0.049466	-0.006171875	1.155208	-0.0818515625	0.049204	-0.010890625000000001	1.150168	-0.90809375	0.047158	-0.03509375	1.155795	-16.092765625000002	0.046269	-0.6393984375	1.164966	-90.79321875	0.035515	-2.729109375	0.255982	-390.7803359375	-0.037576	58.65496875	0.861433	-390.5124921875	0.051125	13.95178125
1.139821	-0.0139765625	0.058304	0.0086796875	1.138113	0.002703125	0.059588	-0.0024140625	1.140408	-0.085609375	0.059215	-0.0078125	1.145684	-0.9002890625000001	0.062368	-0.0562109375	1.143322	-15.923078125	0.054794	-0.76753125	1.152721	-89.85639843749999	0.047819	-3.6794374999999997	0.255782	-390.4421171875	-0.028227	44.282601562500005	0.861316	-390.52340625	0.05626	13.961171875
1.129585	-0.00346875	0.073375	-0.0025078125	1.133125	-0.01821875	0.069599	0.003375	1.13018	-0.1038359375	0.06923	-0.0126328125	1.126997	-0.8908359375	0.067623	-0.043000000000000003	1.130631	-15.746359375	0.07209	-0.97365625	1.143196	-89.092140625	0.057654	-4.456703125	0.256003	-390.7726171875	-0.018721	29.7228359375	0.8612	-390.54354687499995	0.070469	13.9321484375
1.119953	-0.016390625	0.083166	-0.0133046875	1.119103	-0.00328125	0.084904	0.00453125	1.115689	-0.0891796875	0.084246	-0.0015390624999999998	1.122478	-0.8861171874999999	0.082733	-0.06334375	1.11879	-15.583234375	0.080355	-1.10940625	1.128667	-87.952375	0.072463	-5.6038984375	0.255967	-390.773375	-0.00959	15.686242187500001	0.861142	-390.543453125	0.084812	13.92009375
1.105382	-0.02371875	0.093459	0.0098359375	1.104377	-0.0019296874999999998	0.094721	-0.0070390625	1.106211	-0.091109375	0.094377	-0.0026015625	1.104049	-0.84571875	0.097966	-0.06421093750000001	1.110501	-15.4578046875	0.093117	-1.2813984375	1.118898	-87.199015625	0.082218	-6.370468750000001	0.255976	-390.7584453125	0.000134	0.785296875	0.861077	-390.54642187499996	0.094945	13.901171875
1.090519	-0.0072343749999999995	0.108409	0.0037578125	1.094582	-0.01475	0.10492	-0.014078125	1.096717	-0.079828125	0.109347	-0.030562499999999996	1.094843	-0.8708828125	0.103021	-0.06527343749999999	1.094133	-15.252640625	0.101431	-1.392078125	1.104564	-86.08199218749999	0.094557	-7.330820312499999	0.255977	-390.771453125	0.010269	-14.6671328125	0.860961	-390.55434375	0.104353	13.899203125
1.08572	0.008390625	0.118468	0.020437499999999997	1.080239	0.004046875	0.120015	-0.015234375	1.082197	-0.0818515625	0.119353	-0.0037578125	1.085585	-0.850734375	0.123028	-0.118296875	1.085865	-15.124218749999999	0.118312	-1.6349375000000002	1.094896	-85.31678125	0.106818	-8.2829765625	0.255966	-390.76357031249995	0.019823	-29.3488203125	0.86088	-390.573640625	0.118882	13.8766484375
