Voltage Range: ,0.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Aug-20-2023 23_45_43,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
0.5840,0.30,0.4680,-0.0333,0.4720,-0.1000,0.4707,-0.0667,0.4680,0.0000,0.4720,-0.0667,0.4707,0.0000,0.4720,-0.0667,0.4600,0.0333,0.4680,-0.1333,0.4800,0.0000,0.4760,-0.0667,0.4760,0.0000,0.4760,0.0000,0.4787,0.0000,0.4600,0.1000,0.4720,0.0333,0.4760,-0.0667,0.4707,-0.0333,0.4600,0.0000,0.4667,0.0000,0.4613,0.0000,0.4720,-0.0333,0.4680,0.0000,0.4653,0.0000,0.4760,0.0333,0.4760,-0.1000,0.4720,0.0667,0.4800,-0.1000,0.4787,0.0000,0.4720,-0.0667,0.4653,-0.0333,0.4693,-0.1000,0
1.2110,0.27,0.4240,0.0000,0.4280,-0.1333,0.4253,-0.0333,0.4240,0.0000,0.4280,-0.0333,0.4253,0.0000,0.4280,-0.0667,0.4160,0.0333,0.4267,-0.1000,0.4360,0.0000,0.4293,-0.1000,0.4320,0.0000,0.4320,0.0000,0.4320,-0.0333,0.4160,0.1000,0.4280,0.0667,0.4307,-0.1000,0.4267,-0.0333,0.4160,-0.0333,0.4213,0.0000,0.4173,0.0000,0.4280,-0.0667,0.4213,0.0333,0.4200,-0.0333,0.4320,0.0000,0.4320,-0.0667,0.4253,0.0333,0.4360,-0.0333,0.4320,0.0000,0.4280,0.0000,0.4227,0.0000,0.4253,-0.1000,0
1.8380,0.24,0.3800,0.0000,0.3840,-0.1000,0.3800,-0.1000,0.3800,0.0000,0.3840,-0.1000,0.3813,0.0333,0.3840,-0.1000,0.3720,0.1000,0.3813,-0.1333,0.3907,0.0000,0.3867,-0.0667,0.3853,0.0000,0.3880,-0.0333,0.3880,0.0000,0.3720,0.1000,0.3840,0.1000,0.3840,-0.0667,0.3813,-0.0333,0.3720,0.0000,0.3773,-0.0333,0.3720,0.0000,0.3840,-0.0333,0.3760,0.0333,0.3760,0.0000,0.3880,0.0333,0.3880,-0.1000,0.3800,0.0000,0.3907,-0.0333,0.3880,-0.0333,0.3840,0.0000,0.3773,0.0000,0.3840,-0.1000,0
