photo__100p__p1__1.0Sun__Rv__scan0	photo__100p__p1__1.0Sun__Rv__scan0	photo__100p__p1__1.0Sun__Fw__scan0	photo__100p__p1__1.0Sun__Fw__scan0	photo__100p__p2__1.0Sun__Rv__scan0	photo__100p__p2__1.0Sun__Rv__scan0	photo__100p__p2__1.0Sun__Fw__scan0	photo__100p__p2__1.0Sun__Fw__scan0	photo__100p__p3__1.0Sun__Rv__scan0	photo__100p__p3__1.0Sun__Rv__scan0	photo__100p__p3__1.0Sun__Fw__scan0	photo__100p__p3__1.0Sun__Fw__scan0	photo__100p__p4__1.0Sun__Rv__scan0	photo__100p__p4__1.0Sun__Rv__scan0	photo__100p__p4__1.0Sun__Fw__scan0	photo__100p__p4__1.0Sun__Fw__scan0	photo__100p__p5__1.0Sun__Rv__scan0	photo__100p__p5__1.0Sun__Rv__scan0	photo__100p__p5__1.0Sun__Fw__scan0	photo__100p__p5__1.0Sun__Fw__scan0	photo__100p__p6__1.0Sun__Rv__scan0	photo__100p__p6__1.0Sun__Rv__scan0	photo__100p__p6__1.0Sun__Fw__scan0	photo__100p__p6__1.0Sun__Fw__scan0	photo__100p__p7__1.0Sun__Rv__scan0	photo__100p__p7__1.0Sun__Rv__scan0	photo__100p__p7__1.0Sun__Fw__scan0	photo__100p__p7__1.0Sun__Fw__scan0	photo__100p__p8__1.0Sun__Rv__scan0	photo__100p__p8__1.0Sun__Rv__scan0	photo__100p__p8__1.0Sun__Fw__scan0	photo__100p__p8__1.0Sun__Fw__scan0
1.403268	-0.018796875	-0.199576	0.0135	1.399358	-0.004046875	-0.197194	0.0172578125	1.399994	-0.12244531249999999	-0.20129	-0.0014453125	1.401321	-1.0720937499999998	-0.199733	0.1688984375	1.397227	-19.4668671875	-0.20258	2.8174765625	1.400487	-109.1836640625	-0.19612	15.345265625	0.256143	-390.83103125	-0.093823	144.7161015625	0.86419	-390.727015625	-0.204388	17.492453125
1.383757	-0.011375	-0.189905	0.00125	1.389805	-0.0106015625	-0.187815	0.004625	1.385591	-0.09554687499999999	-0.186747	-0.0019296874999999998	1.386114	-1.0823125	-0.190605	0.162828125	1.39318	-19.426468749999998	-0.190063	2.66390625	1.393475	-108.61357812499999	-0.191403	14.964281249999999	0.255893	-390.4842578125	-0.102975	158.697265625	0.863929	-390.3622890625	-0.185416	17.486375
1.378888	0.011953124999999998	-0.175295	0.004625	1.379863	-0.019765625000000002	-0.178248	-0.0053984375	1.380666	-0.10875	-0.177437	0.014265624999999999	1.375945	-1.0525234375	-0.176518	0.1290859375	1.381042	-19.220054687500003	-0.182251	2.5364609375	1.386232	-108.05728125	-0.186609	14.60546875	0.255896	-390.460453125	-0.111282	171.42372656249998	0.863838	-390.3698203125	-0.180695	17.4967890625
1.364377	0.016484375	-0.165578	0.0037578125	1.365599	-0.009546875	-0.16871	0.0018281249999999999	1.360924	-0.094578125	-0.167835	0.00578125	1.365553	-1.0808671875	-0.167282	0.1358359375	1.368678	-19.0763984375	-0.165766	2.34028125	1.376843	-107.30257812500001	-0.174724	13.662546875	0.255905	-390.4590859375	-0.118629	182.70261718749998	0.863665	-390.3709609375	-0.165531	17.481171875
1.354463	-0.02025	-0.156052	0.011859375	1.350859	-0.0086796875	-0.149417	-0.0099296875	1.355787	-0.11221874999999999	-0.153617	0.015421875	1.355839	-1.0610078125	-0.153525	0.10960937500000001	1.356745	-18.885992187499998	-0.15782	2.2231562499999997	1.364933	-106.3884140625	-0.165226	12.9376875	0.255882	-390.4694140625	-0.125065	192.5699609375	0.863508	-390.391421875	-0.151466	17.4643984375
1.339965	0.005015625	-0.141739	-0.0216875	1.341133	-0.01928125	-0.144455	0.031328125	1.341224	-0.10971874999999999	-0.144181	0.0018281249999999999	1.340209	-1.0577265625	-0.144041	0.1143359375	1.344195	-18.727203125	-0.145727	2.04490625	1.352514	-105.416	-0.153521	12.027070312500001	0.255901	-390.44328125	-0.130476	200.82525	0.863385	-390.412515625	-0.141766	17.478953124999997
1.330377	-0.002890625	-0.126802	0.0064609375000000005	1.331511	-0.00578125	-0.130108	-0.001640625	1.331153	-0.1033515625	-0.129796	0.0138828125	1.330466	-1.0401796875	-0.130213	0.0859921875	1.331818	-18.560117187499998	-0.129555	1.808140625	1.342412	-104.63835156249999	-0.141625	11.085398437499999	0.255887	-390.4707578125	-0.130022	200.1721171875	0.863236	-390.39700781249996	-0.131966	17.45909375
1.315818	0.00328125	-0.121633	0.023234375	1.316884	-0.0109921875	-0.120351	0.0001953125	1.316623	-0.09477343749999999	-0.120429	0.019375	1.315449	-1.0142421874999998	-0.120877	0.086375	1.319782	-18.372890625	-0.121524	1.6955390625	1.327368	-103.47196875	-0.129961	10.166875000000001	0.255892	-390.42622656249995	-0.129631	199.50703124999998	0.863118	-390.425734375	-0.117075	17.482328125
1.305963	-0.0001953125	-0.10644	-0.0014453125	1.307173	-0.00665625	-0.105881	0.008289062500000001	1.306765	-0.11896875	-0.105443	0.00125	1.305263	-1.0317890625	-0.107029	0.0900390625	1.307609	-18.2109140625	-0.109007	1.5386875	1.317295	-102.6719453125	-0.120404	9.420421874999999	0.255874	-390.44290624999996	-0.128497	197.832125	0.863008	-390.40721875	-0.107814	17.4502265625
1.296215	0.0054921875	-0.091478	0.020921875	1.292605	-0.0179296875	-0.091147	0.0054921875	1.292272	-0.09882031250000001	-0.090874	-0.008390625	1.295197	-1.0048906249999998	-0.092963	0.07375	1.299197	-18.0962890625	-0.097031	1.3442421875	1.30724	-101.8815703125	-0.106172	8.3282734375	0.255886	-390.44240625	-0.127005	195.53338281249998	0.862852	-390.429484375	-0.093326	17.4351875
