Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
3.7210,1.05,1.5760,-0.0333,1.5880,-0.1000,1.5853,-0.1000,1.5760,0.0000,1.5760,-0.1000,1.5787,-0.0333,1.5920,-0.1000,1.5680,0.0000,1.5774,-0.1333,1.5973,-0.0667,1.5867,-0.1000,1.5907,0.0000,1.5947,-0.0667,1.5973,-0.0333,1.5773,0.1000,1.5880,0.0667,1.5920,-0.0667,1.5853,-0.1000,1.5720,-0.1000,1.5693,-0.0667,1.5693,0.0000,1.5800,-0.1000,1.5880,-0.0333,1.5707,0.0000,1.5907,0.0333,1.5880,-0.1000,1.5840,0.0000,1.6000,-0.1000,1.5960,-0.0667,1.5840,-0.0667,1.5827,0.0000,1.5813,-0.1000,0
4.3480,1.02,1.5280,-0.0333,1.5400,-0.1667,1.5400,-0.0333,1.5320,-0.0333,1.5320,-0.1000,1.5360,-0.0333,1.5480,-0.0667,1.5213,0.0000,1.5320,-0.1000,1.5480,-0.0333,1.5413,-0.1000,1.5440,0.0000,1.5480,-0.0333,1.5520,-0.0333,1.5320,0.0667,1.5400,0.0667,1.5480,-0.1000,1.5400,-0.1000,1.5280,-0.0333,1.5240,0.0000,1.5240,-0.0333,1.5360,-0.0667,1.5427,0.0000,1.5240,-0.0333,1.5467,0.0000,1.5413,-0.0667,1.5360,0.0000,1.5520,-0.1000,1.5480,-0.0667,1.5373,-0.0333,1.5400,0.0000,1.5360,-0.1000,0
4.9740,0.99,1.4867,0.0000,1.4960,-0.1667,1.4960,-0.0667,1.4867,0.0000,1.4880,-0.0333,1.4920,0.0000,1.5040,-0.0667,1.4760,0.0000,1.4880,-0.2000,1.5040,0.0000,1.5000,-0.1333,1.5013,0.0000,1.5040,0.0000,1.5080,-0.0667,1.4880,0.1333,1.4960,0.0667,1.5040,-0.1000,1.4960,-0.1000,1.4840,-0.0667,1.4813,0.0000,1.4800,0.0000,1.4893,-0.0667,1.4987,0.0000,1.4827,0.0000,1.5013,0.0000,1.4973,-0.1000,1.4907,0.0333,1.5080,-0.1000,1.5040,-0.0667,1.4933,-0.0333,1.4960,-0.0333,1.4920,-0.1000,0
5.6010,0.96,1.4400,-0.0333,1.4520,-0.1000,1.4520,-0.1000,1.4413,0.0000,1.4440,-0.0667,1.4480,0.0000,1.4600,-0.1000,1.4320,0.0000,1.4440,-0.2000,1.4600,0.0000,1.4533,-0.1000,1.4560,-0.0333,1.4600,-0.0667,1.4640,-0.0333,1.4440,0.0000,1.4520,0.0667,1.4573,-0.1000,1.4520,-0.1000,1.4400,-0.0333,1.4360,-0.0333,1.4387,0.0000,1.4467,-0.1000,1.4520,0.0333,1.4360,0.0000,1.4587,0.0333,1.4520,-0.1000,1.4480,0.0333,1.4640,-0.1000,1.4600,-0.0333,1.4480,-0.0333,1.4507,-0.0667,1.4493,-0.1000,0
6.2280,0.93,1.3960,0.0000,1.4080,-0.1000,1.4080,-0.0667,1.4000,0.0000,1.4000,-0.0333,1.4040,0.0000,1.4160,-0.0667,1.3893,0.0000,1.4000,-0.2000,1.4160,-0.0333,1.4080,-0.1000,1.4120,-0.0333,1.4160,-0.0333,1.4200,-0.0333,1.4000,0.0333,1.4080,0.0333,1.4120,-0.1000,1.4080,-0.0667,1.3960,-0.0333,1.3933,0.0000,1.3933,0.0000,1.4040,-0.1000,1.4080,0.0000,1.3933,-0.0667,1.4147,0.0000,1.4080,-0.1000,1.4027,0.0333,1.4200,-0.1000,1.4160,-0.1000,1.4040,-0.0333,1.4080,-0.0333,1.4040,-0.1000,0
6.8550,0.90,1.3520,-0.0333,1.3627,-0.1333,1.3640,-0.0667,1.3547,0.0000,1.3560,-0.0667,1.3600,-0.0333,1.3693,-0.0667,1.3453,0.0000,1.3573,-0.1667,1.3720,-0.0333,1.3640,-0.1000,1.3680,-0.0333,1.3707,-0.0333,1.3733,-0.0667,1.3573,0.0667,1.3613,0.0000,1.3680,-0.0667,1.3627,-0.1000,1.3507,-0.0333,1.3480,-0.1000,1.3493,0.0000,1.3573,-0.0667,1.3653,0.0000,1.3493,0.0000,1.3707,0.0000,1.3640,-0.1000,1.3587,0.0667,1.3747,-0.1000,1.3720,-0.0667,1.3600,-0.0667,1.3640,-0.0333,1.3600,-0.1000,0
7.4820,0.87,1.3080,-0.0333,1.3200,-0.1333,1.3173,-0.0667,1.3093,-0.0333,1.3120,-0.0333,1.3133,-0.0333,1.3240,-0.0667,1.3000,-0.0333,1.3120,-0.1333,1.3280,0.0000,1.3200,-0.0667,1.3240,0.0000,1.3240,0.0000,1.3280,-0.0333,1.3120,0.1000,1.3160,0.0667,1.3213,-0.1000,1.3160,-0.1000,1.3080,-0.0667,1.3040,-0.0333,1.3040,0.0000,1.3133,-0.0333,1.3187,0.0000,1.3040,0.0000,1.3253,0.0000,1.3200,-0.1333,1.3120,0.0333,1.3293,-0.1000,1.3267,0.0000,1.3160,-0.0333,1.3160,0.0000,1.3133,-0.1000,0
8.1090,0.84,1.2640,0.0000,1.2747,-0.1333,1.2720,-0.0667,1.2640,0.0000,1.2667,-0.1000,1.2693,0.0000,1.2800,-0.1000,1.2560,0.0000,1.2667,-0.1667,1.2840,0.0000,1.2760,-0.1000,1.2787,0.0000,1.2813,0.0000,1.2827,0.0000,1.2653,0.0667,1.2733,0.0333,1.2773,-0.0667,1.2720,-0.1000,1.2640,-0.0333,1.2600,-0.0333,1.2600,-0.0333,1.2680,-0.0667,1.2733,-0.0333,1.2600,-0.0333,1.2800,0.0000,1.2760,-0.1000,1.2693,0.0000,1.2867,-0.1000,1.2827,-0.0667,1.2707,-0.0333,1.2720,-0.0333,1.2693,-0.1333,0
8.7360,0.81,1.2200,-0.0667,1.2294,-0.1667,1.2280,-0.1000,1.2200,0.0000,1.2213,-0.0333,1.2240,0.0000,1.2347,-0.1000,1.2120,0.0000,1.2213,-0.1667,1.2373,-0.0333,1.2320,-0.1000,1.2347,0.0000,1.2360,-0.0667,1.2400,0.0000,1.2200,0.0667,1.2280,0.0333,1.2333,-0.1000,1.2280,-0.0667,1.2200,-0.1000,1.2160,-0.0667,1.2160,0.0000,1.2240,-0.0333,1.2293,0.0000,1.2160,-0.0667,1.2360,0.0000,1.2320,-0.1000,1.2240,0.0333,1.2400,-0.0667,1.2360,-0.0333,1.2280,-0.0333,1.2280,-0.0333,1.2253,-0.1000,0
9.3620,0.78,1.1760,0.0000,1.1853,-0.1333,1.1840,-0.1000,1.1760,0.0000,1.1760,-0.1000,1.1800,0.0000,1.1907,-0.0667,1.1680,0.0000,1.1773,-0.1333,1.1920,0.0000,1.1853,-0.0667,1.1920,0.0000,1.1907,-0.0333,1.1947,0.0000,1.1760,0.1000,1.1853,0.0333,1.1880,-0.1000,1.1840,-0.0333,1.1733,-0.0667,1.1720,-0.0333,1.1720,0.0000,1.1813,-0.0667,1.1840,0.0333,1.1720,0.0000,1.1907,0.0000,1.1880,-0.1000,1.1800,0.0333,1.1960,-0.1000,1.1920,-0.0667,1.1800,0.0000,1.1813,0.0000,1.1800,-0.1000,0
9.9890,0.75,1.1293,-0.0667,1.1400,-0.1000,1.1360,-0.1000,1.1320,0.0000,1.1320,-0.0667,1.1320,-0.0667,1.1440,-0.0667,1.1200,0.0000,1.1320,-0.1333,1.1453,-0.0667,1.1387,-0.1000,1.1440,-0.0333,1.1440,-0.0333,1.1453,-0.0333,1.1280,0.1000,1.1387,0.0667,1.1440,-0.1000,1.1360,-0.0333,1.1240,-0.0333,1.1280,-0.0667,1.1240,0.0000,1.1360,-0.0667,1.1360,0.0000,1.1240,0.0000,1.1440,0.0000,1.1400,-0.0667,1.1347,0.0333,1.1480,-0.1000,1.1467,-0.0333,1.1360,0.0000,1.1347,-0.0333,1.1333,-0.1000,0
10.6160,0.72,1.0840,0.0000,1.0947,-0.1000,1.0920,-0.0667,1.0880,0.0000,1.0880,-0.0667,1.0893,0.0000,1.0987,-0.0667,1.0760,0.0000,1.0880,-0.1333,1.1013,0.0000,1.0947,-0.1000,1.1000,0.0000,1.1000,0.0000,1.1013,0.0000,1.0853,0.1000,1.0947,0.0667,1.1000,-0.0667,1.0920,-0.1000,1.0813,-0.0333,1.0813,-0.0667,1.0800,0.0000,1.0920,-0.1000,1.0920,0.0000,1.0813,0.0000,1.0987,0.0000,1.0960,-0.1000,1.0907,0.0667,1.1040,-0.0667,1.1013,-0.0333,1.0920,-0.0333,1.0907,-0.0667,1.0920,-0.0667,0
11.2420,0.69,1.0413,0.0000,1.0480,-0.1667,1.0467,-0.0667,1.0440,0.0000,1.0440,-0.1000,1.0480,-0.0333,1.0533,-0.1000,1.0320,0.0333,1.0440,-0.1000,1.0560,-0.0333,1.0480,-0.1000,1.0560,0.0000,1.0547,0.0000,1.0560,-0.0333,1.0413,0.1000,1.0480,0.0000,1.0560,-0.1000,1.0467,-0.0667,1.0400,0.0000,1.0400,0.0000,1.0360,0.0000,1.0480,-0.1000,1.0520,0.0000,1.0360,0.0000,1.0547,0.0000,1.0533,-0.1000,1.0453,0.0333,1.0600,-0.0333,1.0560,-0.0333,1.0467,0.0000,1.0480,0.0000,1.0480,-0.1000,0
