Device	Pixel	Sweep Direction	Scan number	Variable	Pin[mW/cm2]	Voc[V]	Jsc[mA/cm2]	FF[%]	PCE[%]	Sweep Speed	Measurement Start Date
photo	p1	Rv	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p1	Fw	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p2	Rv	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p2	Fw	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p3	Rv	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p3	Fw	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p4	Rv	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p4	Fw	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p5	Rv	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p5	Fw	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p6	Rv	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p6	Fw	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p7	Rv	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p7	Fw	0	80p	80.00	nan	nan	nan	nan	50.0	2023-11-08 04:00:00
photo	p8	Rv	0	80p	80.00	0.55	14.01	56.37	5.43	50.0	2023-11-08 04:00:00
photo	p8	Fw	0	80p	80.00	0.54	14.01	57.73	5.46	50.0	2023-11-08 04:00:00
