Voltage Range: 1.2, , 
Voltage Step Size: 0.01, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
1.07,1.0641,-1.1182
1.08,1.0743,-1.2818
1.09,1.0845,-1.4818
1.1,1.0936,-1.6182
1.11,1.1042,-1.8091
1.12,1.1137,-2.0182
1.13,1.1242,-2.2545
1.14,1.1344,-2.4818
1.15,1.1439,-2.7
1.16,1.1534,-2.9818
1.17,1.164,-3.2455
1.18,1.1727,-3.5
1.19,1.1844,-3.8
1.2,1.1935,-4.0545
