Voltage Range: 1.2, , , 
Voltage Step Size: 0.01, , , 
Voltage Read Count: 10, , , 
Voltage Delay Time: 5, , , 
Volts_output,Volts Pixel 1,Current Pixel 1,Powa
Val1: 1.20, Val2: 0.01, Val3: 10, Val4: 5
0.51,0.5037,2.5727,18.013
0.52,0.5125,2.5727,18.117
0.53,0.5237,2.5364,18.221
0.54,0.5321,2.5364,18.325
0.55,0.5437,2.5364,18.429
0.56,0.5521,2.5273,18.533
0.57,0.5634,2.5182,18.637
0.58,0.5717,2.5,18.742
0.59,0.5834,2.5091,18.845
0.6,0.5921,2.5,18.95
0.61,0.6023,2.5182,19.054
0.62,0.6118,2.5,19.158
0.63,0.6234,2.4727,19.262
0.64,0.6318,2.5,19.366
0.65,0.6438,2.4909,19.47
0.66,0.6521,2.4727,19.574
0.67,0.6623,2.4545,19.679
0.68,0.6718,2.4273,19.782
0.69,0.6819,2.4455,19.887
0.7,0.6921,2.4182,19.991
0.71,0.7034,2.4,20.096
0.72,0.7125,2.3909,20.199
0.73,0.723,2.3636,20.303
0.74,0.7318,2.3182,20.408
0.75,0.7434,2.3,20.511
0.76,0.7518,2.2727,20.616
0.77,0.7634,2.2455,20.72
0.78,0.7718,2.2,20.824
0.79,0.782,2.1545,20.928
0.8,0.7925,2.1364,21.032
0.81,0.8031,2.1,21.136
0.82,0.8147,2.0636,21.24
0.83,0.8238,2.0182,21.345
0.84,0.834,1.9727,21.449
0.85,0.8438,1.9091,21.553
0.86,0.854,1.8273,21.657
0.87,0.8638,1.7818,21.762
0.88,0.8747,1.7364,21.865
0.89,0.8842,1.6545,21.969
0.9,0.8958,1.6,22.074
0.91,0.9038,1.5091,22.177
0.92,0.9148,1.4182,22.282
0.93,0.9239,1.3273,22.386
0.94,0.9348,1.2364,22.491
0.95,0.9439,1.1545,22.594
0.96,0.9544,1.0545,22.699
0.97,0.9639,0.9545,22.803
0.98,0.9752,0.8455,22.906
0.99,0.9843,0.7,23.011
1,0.9952,0.6,23.115
1.01,1.004,0.4909,23.219
1.02,1.016,0.3455,23.323
1.03,1.0243,0.2182,23.427
1.04,1.0349,0.0909,23.531
1.05,1.044,-0.0455,23.634
1.06,1.0531,-0.1909,23.739
1.07,1.064,-0.3364,23.843
1.08,1.0742,-0.5091,23.947
1.09,1.0844,-0.6727,24.051
1.1,1.0928,-0.8182,24.156
1.11,1.1034,-0.9909,24.259
1.12,1.1143,-1.1636,24.364
1.13,1.1241,-1.3,24.468
1.14,1.134,-1.5,24.572
1.15,1.1442,-1.6818,24.676
1.16,1.1536,-1.8727,24.78
1.17,1.1638,-2.0273,24.885
1.18,1.1733,-2.2182,24.988
1.19,1.1839,-2.4182,25.093
1.2,1.193,-2.6182,25.197
