88.5080, 0.86, ovf, ovf, ovf, 0.57, 2.32, ovf, ovf, ovf, 2.62, 0.81, ovf, 0.36, 2.34, ovf, 2.94, ovf, ovf, 1.25, 0.10, ovf, 2.99, ovf, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, 0.71, ovf, ovf, ovf, 0.77, -17240.59, ovf, 3.58, 0.97, ovf, 0.90, ovf, -0.00, 0.02, ovf, ovf, -62176.44, ovf, 0.63, 0.18, 8.95, ovf, 0.68, 0.32, 245093552.00, ovf, ovf, ovf, 0.36, ovf, 142055.42, 0.16, 1.19, 0.10, ovf, 15.7889, 8.6460, ovf, ovf, ovf, ovf, ovf, ovf, 0.7807, -115.1404, 17.5524, ovf, ovf, 1.0933, 18.5436, 24.1657, ovf, ovf, ovf, -7424997.0000, -1.8416, ovf, ovf, ovf, ovf, 1.3911, -2.3408, ovf, ovf, 0.9234, ovf, 0
93.1070, 0.86, ovf, ovf, ovf, 0.56, 2.49, ovf, ovf, ovf, 2.35, 0.81, ovf, 0.37, 2.16, ovf, 2.91, ovf, ovf, 1.25, 0.03, ovf, 3.17, -2256017408.00, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, 0.70, ovf, ovf, ovf, 0.77, -2871.18, -1224586368.00, 3.66, 0.97, ovf, 0.92, ovf, -0.00, 0.04, ovf, ovf, -10362.14, ovf, 0.63, 0.15, 2.02, ovf, 0.68, 0.29, 40848924.00, ovf, ovf, ovf, 0.35, ovf, 23676.63, 0.14, 1.18, 0.10, ovf, 14.6316, 9.1060, ovf, ovf, ovf, ovf, ovf, ovf, 0.2655, -5.1381, 17.6175, ovf, ovf, 0.9786, 17.5300, 25.2404, ovf, ovf, ovf, -1237483.7500, -0.3069, ovf, ovf, ovf, ovf, 1.2573, -2.2302, ovf, ovf, 0.8153, ovf, 0
97.7080, 0.86, ovf, ovf, ovf, 0.55, 2.58, ovf, ovf, ovf, 2.39, 0.81, ovf, 0.38, 1.93, ovf, 3.13, ovf, ovf, 1.25, 0.06, ovf, 3.16, -376002912.00, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, 0.69, ovf, ovf, ovf, 0.77, -476.33, -204097728.00, 3.61, 0.97, ovf, 0.93, ovf, -0.00, 0.04, ovf, ovf, -1726.41, ovf, 0.63, 0.14, 0.87, ovf, 0.68, 0.31, 6808154.00, ovf, ovf, ovf, 0.34, ovf, 3946.84, 0.17, 1.17, 0.08, ovf, 14.2240, 9.2326, ovf, ovf, ovf, ovf, -3775206912.0000, ovf, 0.4505, 13.2100, 17.1698, ovf, ovf, 0.9589, 17.5061, 24.9665, ovf, ovf, ovf, -206231.7656, -0.0512, ovf, ovf, ovf, 1662518656.0000, 1.3829, -2.2842, ovf, ovf, 0.9984, ovf, 0
102.3110, 0.86, ovf, ovf, ovf, 0.54, 2.43, ovf, ovf, ovf, 2.33, 0.81, ovf, 0.39, 1.94, ovf, 3.09, ovf, ovf, 1.25, 0.06, ovf, 2.99, -62667152.00, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, 0.68, ovf, ovf, ovf, 0.77, -77.06, -34016288.00, 3.44, 0.97, ovf, 0.94, ovf, -0.00, 0.04, ovf, ovf, -287.12, ovf, 0.63, 0.14, 0.69, ovf, 0.68, 0.27, 1134692.37, ovf, ovf, ovf, 0.32, ovf, 658.55, 0.18, 1.16, 0.06, ovf, 14.4825, 8.5237, ovf, ovf, ovf, ovf, -629201152.0000, ovf, 0.4813, 15.5461, 17.1332, ovf, 2187948544.0000, 1.1848, 16.6425, 24.5927, ovf, ovf, ovf, -34356.5507, -0.0085, ovf, ovf, ovf, 277086432.0000, 1.1851, -2.1040, ovf, ovf, 1.0409, ovf, 0
106.9130, 0.86, ovf, ovf, ovf, 0.53, 2.39, ovf, ovf, ovf, 2.61, 0.81, ovf, 0.41, 1.97, ovf, 3.21, ovf, ovf, 1.25, 0.06, ovf, 2.97, -10444525.00, ovf, ovf, ovf, ovf, 0.10, ovf, ovf, 0.67, ovf, ovf, ovf, 0.77, -10.28, -5669381.50, 3.22, 0.97, ovf, 0.95, ovf, -0.00, 0.04, ovf, ovf, -47.22, ovf, 0.63, 0.12, 0.67, ovf, 0.67, 0.24, 189115.39, ovf, ovf, ovf, 0.31, ovf, 110.51, 0.16, 1.14, 0.09, ovf, 15.1573, 8.1842, ovf, ovf, ovf, ovf, -104866864.0000, ovf, 0.4865, 15.7675, 16.6715, ovf, 364658112.0000, 1.2204, 16.7195, 23.3383, ovf, ovf, ovf, -5710.2397, -0.0014, ovf, ovf, ovf, 46181076.0000, 1.0756, -2.1618, ovf, ovf, 0.9516, ovf, 0
111.5160, 0.86, ovf, ovf, ovf, 0.52, 2.38, ovf, ovf, ovf, 2.80, 0.81, ovf, 0.42, 1.86, ovf, 3.40, ovf, ovf, 1.25, 0.08, ovf, 3.04, -1740753.12, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, 0.66, ovf, ovf, ovf, 0.77, 0.87, -944895.93, 3.19, 0.97, ovf, 0.96, ovf, -0.00, 0.01, ovf, ovf, -7.23, ovf, 0.63, 0.12, 0.68, ovf, 0.67, 0.27, 31519.25, ovf, -2319926528.00, ovf, 0.30, ovf, 19.16, 0.13, 1.13, 0.08, ovf, 15.2803, 7.9927, ovf, ovf, ovf, ovf, -17477802.0000, ovf, 0.6217, 16.0646, 16.2399, ovf, 60776352.0000, 0.8852, 17.0867, 22.7191, ovf, ovf, ovf, -935.7576, -0.0002, ovf, ovf, ovf, 7696847.0000, 1.2032, -2.2658, ovf, ovf, 0.7414, ovf, 0
116.1180, 0.86, ovf, ovf, ovf, 0.50, 2.46, ovf, ovf, ovf, 2.82, 0.81, 1361997440.00, 0.43, 1.64, ovf, 3.50, ovf, ovf, 1.25, 0.10, ovf, 3.12, -290125.03, ovf, ovf, ovf, ovf, 0.10, ovf, ovf, 0.64, ovf, ovf, ovf, 0.77, 2.61, -157481.90, 3.13, 0.97, ovf, 0.98, ovf, -0.00, 0.03, ovf, ovf, -0.56, ovf, 0.63, 0.12, 0.69, ovf, 0.68, 0.26, 5253.22, ovf, -386654432.00, ovf, 0.29, ovf, 3.95, 0.15, 1.12, 0.10, ovf, 14.9558, 8.0668, ovf, ovf, ovf, ovf, -2912958.0000, ovf, 0.7797, 16.2462, 15.4017, ovf, 10129392.0000, 0.8308, 17.1834, 22.2802, ovf, ovf, ovf, -140.0001, -0.0000, ovf, ovf, ovf, 1282809.8750, 1.1531, -2.0943, ovf, ovf, 0.9111, ovf, 0
120.7210, 0.86, ovf, ovf, ovf, 0.49, 2.59, ovf, ovf, ovf, 2.85, 0.81, 226999568.00, 0.44, 1.39, ovf, 3.65, ovf, ovf, 1.25, 0.05, ovf, 3.29, -48353.64, ovf, ovf, ovf, ovf, 0.07, ovf, ovf, 0.63, ovf, ovf, ovf, 0.77, 2.80, -26246.20, 3.22, 0.97, ovf, 0.99, -732137024.00, -0.00, 0.06, ovf, ovf, 0.57, ovf, 0.63, 0.14, 0.70, ovf, 0.68, 0.33, 875.55, ovf, -64442404.00, ovf, 0.28, ovf, 1.42, 0.14, 1.11, 0.12, ovf, 14.5607, 8.2800, ovf, ovf, ovf, ovf, -485484.1875, ovf, 0.4003, 16.8094, 14.9890, ovf, 1688232.3750, 0.7140, 17.3379, 22.1698, ovf, ovf, ovf, -7.9326, -0.0000, ovf, ovf, ovf, 213803.3125, 1.4390, -2.0675, ovf, ovf, 0.8497, ovf, 0
125.3240, 0.86, ovf, ovf, ovf, 0.48, 2.87, ovf, ovf, ovf, 2.66, 0.81, 37833260.00, 0.45, 1.20, -2502853376.00, 3.61, ovf, ovf, 1.25, 0.06, ovf, 3.41, -8058.43, ovf, ovf, ovf, ovf, 0.06, ovf, ovf, 0.62, ovf, ovf, ovf, 0.77, 2.67, -4373.57, 3.24, 0.97, ovf, 1.00, -122022840.00, -0.00, 0.06, ovf, 2715528704.00, 0.76, ovf, 0.63, 0.16, 0.71, ovf, 0.68, 0.27, 145.94, ovf, -10740401.00, ovf, 0.27, ovf, 1.01, 0.14, 1.10, 0.09, ovf, 13.8375, 8.9159, ovf, ovf, 1687533440.0000, ovf, -80905.7031, ovf, 0.4724, 17.4257, 14.4483, ovf, 281372.5000, 0.8164, 16.9362, 23.0209, ovf, ovf, ovf, 12.7163, -0.0000, ovf, ovf, ovf, 35635.4296, 1.1924, -1.9710, ovf, ovf, 0.8489, ovf, 0
129.9300, 0.86, ovf, ovf, ovf, 0.46, 2.66, ovf, ovf, ovf, 2.49, 0.81, 6305547.50, 0.46, 1.35, -417142240.00, 3.40, ovf, ovf, 1.25, 0.03, ovf, 3.14, -1342.58, ovf, ovf, ovf, ovf, 0.11, ovf, ovf, 0.61, ovf, ovf, ovf, 0.77, 2.84, -728.12, 2.84, 0.97, ovf, 1.01, -20337140.00, -0.00, 0.04, ovf, 452588128.00, 0.81, ovf, 0.63, 0.14, 0.72, 2513499392.00, 0.67, 0.23, 24.33, ovf, -1790066.87, ovf, 0.25, ovf, 0.95, 0.16, 1.10, 0.10, ovf, 13.9726, 8.0320, ovf, ovf, 281255584.0000, ovf, -13476.7060, ovf, 0.2142, 15.9727, 15.5919, ovf, 46896.2421, 0.9512, 15.4969, 23.3144, ovf, ovf, ovf, 15.1264, -0.0000, ovf, ovf, ovf, 5940.9677, 1.0034, -1.9514, ovf, ovf, 0.9592, ovf, 0
134.5350, 0.86, ovf, ovf, ovf, 0.45, 2.74, ovf, ovf, ovf, 2.77, 0.81, 1050927.37, 0.48, 1.04, -69523704.00, 3.77, ovf, ovf, 1.25, 0.09, ovf, 3.32, -223.27, ovf, ovf, ovf, ovf, 0.09, ovf, ovf, 0.60, ovf, ovf, ovf, 0.77, 2.84, -120.54, 2.87, 0.97, 2135042048.00, 1.02, -3389521.25, -0.00, 0.02, ovf, 75431352.00, 0.82, ovf, 0.63, 0.12, 0.73, 418916576.00, 0.68, 0.29, 4.07, ovf, -298344.21, ovf, 0.24, ovf, 0.94, 0.16, 1.10, 0.08, ovf, 14.4161, 8.0911, ovf, ovf, 46875936.0000, ovf, -2237.7421, ovf, 0.7123, 16.7439, 14.0921, ovf, 7816.5976, 0.8570, 16.3767, 21.9214, ovf, ovf, ovf, 17.0695, -0.0000, ovf, ovf, ovf, 991.7583, 1.2667, -2.1355, ovf, ovf, 0.9770, ovf, 0
139.1400, 0.86, ovf, ovf, ovf, 0.44, 2.81, ovf, ovf, ovf, 2.43, 0.81, 175157.50, 0.49, 0.82, -11587284.00, 3.63, ovf, ovf, 1.25, 0.10, ovf, 3.42, -36.74, ovf, ovf, ovf, ovf, 0.11, ovf, -1621398528.00, 0.58, ovf, ovf, ovf, 0.77, 2.62, -19.26, 2.76, 0.97, 355840352.00, 1.02, -564918.18, -0.00, 0.07, ovf, 12571892.00, 0.84, ovf, 0.63, 0.14, 0.75, 69819432.00, 0.67, 0.28, 0.69, ovf, -49723.78, ovf, 0.23, ovf, 0.95, 0.13, 1.10, 0.11, ovf, 13.5065, 8.0268, ovf, ovf, 7812671.0000, ovf, -365.3569, -885868096.0000, 0.7958, 16.9670, 14.7704, ovf, 1303.6000, 0.8413, 15.4504, 23.3807, ovf, ovf, ovf, 15.9813, -0.0000, ovf, ovf, ovf, 166.6742, 1.2345, -1.8950, ovf, ovf, 0.7847, ovf, 0
143.7460, 0.86, ovf, ovf, ovf, 0.43, 2.58, ovf, ovf, ovf, 2.70, 0.81, 29195.60, 0.50, 0.97, -1931214.00, 3.69, ovf, ovf, 1.25, 0.08, ovf, 3.15, -5.65, ovf, ovf, ovf, ovf, 0.10, ovf, -270233088.00, 0.57, ovf, ovf, ovf, 0.77, 2.99, -2.37, 2.54, 0.97, 59306724.00, 1.02, -94150.84, -0.00, 0.01, ovf, 2095317.37, 0.85, ovf, 0.63, 0.12, 0.76, 11636572.00, 0.67, 0.26, 0.13, ovf, -8287.02, ovf, 0.22, ovf, 0.97, 0.14, 1.12, 0.10, ovf, 14.2218, 7.1998, ovf, ovf, 1302126.0000, ovf, -53.3035, -147644688.0000, 0.6743, 15.8200, 13.9097, ovf, 217.9615, 0.7215, 15.1321, 21.8766, ovf, ovf, ovf, 17.2245, -0.0000, ovf, ovf, ovf, 29.6779, 1.1583, -2.1313, ovf, ovf, 0.8657, ovf, 0
148.3510, 0.86, ovf, ovf, ovf, 0.42, 2.90, ovf, ovf, ovf, 2.68, 0.81, 4868.83, 0.51, 0.56, -321868.75, 3.86, ovf, ovf, 1.25, 0.05, ovf, 3.41, -0.49, ovf, ovf, ovf, ovf, 0.10, ovf, -45038848.00, 0.56, ovf, ovf, ovf, 0.77, 2.81, 0.45, 2.59, 0.97, 9884454.00, 1.02, -15689.71, -0.00, 0.05, ovf, 349221.50, 0.86, ovf, 0.63, 0.14, 0.77, 1939428.62, 0.68, 0.28, 0.03, ovf, -1380.89, ovf, 0.21, ovf, 0.97, 0.12, 1.13, 0.08, ovf, 13.4331, 7.8246, ovf, ovf, 217036.2968, ovf, -1.1734, -24607434.0000, 0.3822, 16.9122, 13.1500, ovf, 37.0217, 0.4734, 15.4413, 22.1631, ovf, ovf, ovf, 16.7588, -0.0000, ovf, ovf, ovf, 6.2041, 1.2190, -2.0800, ovf, ovf, 0.7734, ovf, 0
152.9550, 0.86, ovf, ovf, ovf, 0.40, 2.93, ovf, ovf, ovf, 2.41, 0.81, 814.39, 0.52, 0.46, -53644.48, 3.71, ovf, ovf, 1.25, 0.06, ovf, 3.38, 0.37, ovf, ovf, ovf, ovf, 0.13, ovf, -7506474.50, 0.55, ovf, ovf, ovf, 0.77, 2.62, 0.93, 2.38, 0.97, 1647409.00, 1.03, -2613.07, -0.00, 0.06, ovf, 58205.50, 0.87, ovf, 0.63, 0.12, 0.78, 323238.34, 0.67, 0.28, 0.02, ovf, -229.85, ovf, 0.19, ovf, 0.97, 0.12, 1.12, 0.08, ovf, 12.8340, 7.7040, ovf, ovf, 36188.0351, ovf, 7.0961, -4101224.5000, 0.4694, 16.7639, 13.4422, ovf, 7.1427, 0.5539, 14.5386, 23.1069, ovf, ovf, ovf, 15.3850, -0.0000, ovf, ovf, ovf, 2.3090, 1.2281, -1.9793, ovf, ovf, 0.7586, ovf, 0
157.5570, 0.86, ovf, ovf, ovf, 0.39, 2.96, ovf, ovf, ovf, 2.35, 0.81, 138.75, 0.54, 0.41, -8940.44, 3.59, ovf, ovf, 1.25, 0.08, ovf, 3.31, 0.50, ovf, ovf, ovf, ovf, 0.11, ovf, -1251079.12, 0.54, ovf, ovf, ovf, 0.77, 2.72, 1.02, 2.18, 0.97, 274568.31, 1.03, -433.64, -0.00, 0.08, ovf, 9703.07, 0.88, ovf, 0.63, 0.14, 0.79, 53873.26, 0.68, 0.28, 0.02, ovf, -38.00, ovf, 0.18, ovf, 0.98, 0.12, 1.11, 0.10, ovf, 12.7356, 7.5369, ovf, ovf, 6047.2329, ovf, 8.2376, -683523.1250, 0.6194, 16.6238, 13.5825, ovf, 1.8847, 0.5673, 13.9518, 23.5435, ovf, ovf, ovf, 15.0446, -0.0000, ovf, ovf, ovf, 1.5087, 1.2302, -2.1479, ovf, ovf, 0.7639, ovf, 0
162.1590, 0.86, ovf, ovf, ovf, 0.38, 3.11, ovf, ovf, ovf, 2.38, 0.81, 26.06, 0.55, 0.05, -1489.77, 3.66, ovf, ovf, 1.25, 0.05, ovf, 3.32, 0.51, ovf, ovf, ovf, ovf, 0.10, ovf, -208513.12, 0.52, ovf, ovf, ovf, 0.77, 2.70, 1.05, 2.06, 0.97, 45761.48, 1.03, -70.41, -0.00, 0.05, ovf, 1619.36, 0.89, ovf, 0.63, 0.16, 0.81, 8979.09, 0.68, 0.26, 0.02, ovf, -6.02, ovf, 0.17, ovf, 0.99, 0.12, 1.10, 0.12, ovf, 12.5831, 7.6974, ovf, ovf, 1023.3271, ovf, 8.6798, -113906.4296, 0.3741, 16.9141, 13.1789, ovf, 1.0084, 0.4508, 13.9734, 23.0640, ovf, ovf, ovf, 14.9877, -0.0000, ovf, ovf, ovf, 1.3915, 1.1576, -2.0891, ovf, ovf, 0.7716, ovf, 0
166.7600, 0.86, ovf, ovf, ovf, 0.37, 3.13, ovf, ovf, ovf, 2.56, 0.81, 7.21, 0.56, -0.06, -247.99, 3.89, -1684629120.00, ovf, 1.25, 0.07, ovf, 3.32, 0.50, ovf, -2056737920.00, ovf, ovf, 0.08, ovf, -34752.17, 0.51, ovf, ovf, ovf, 0.77, 2.78, 1.06, 1.98, 0.97, 7627.03, 1.04, -9.90, -0.00, 0.04, ovf, 272.24, 0.91, ovf, 0.63, 0.14, 0.82, 1496.72, 0.68, 0.26, 0.02, ovf, -0.68, ovf, 0.16, ovf, 1.00, 0.10, 1.09, 0.09, ovf, 12.7681, 7.5051, ovf, ovf, 185.6262, ovf, 9.2362, -18971.3281, 0.6035, 17.1654, 12.2361, ovf, 0.7233, 0.1944, 14.2063, 22.0473, ovf, ovf, ovf, 14.8910, -0.0000, ovf, ovf, ovf, 1.3006, 1.1465, -2.1735, ovf, ovf, 0.6729, ovf, 0
171.3630, 0.86, ovf, ovf, ovf, 0.36, 3.16, ovf, ovf, ovf, 2.58, 0.81, 4.05, 0.57, -0.14, -41.03, 3.92, -280771520.00, ovf, 1.25, 0.06, ovf, 3.30, 0.49, ovf, -342789664.00, -3572505600.00, ovf, 0.11, ovf, -5791.98, 0.50, ovf, ovf, ovf, 0.77, 2.68, 1.07, 1.83, 0.97, 1271.31, 1.05, 0.05, -0.00, 0.02, ovf, 47.84, 0.92, ovf, 0.63, 0.12, 0.83, 249.64, 0.67, 0.24, 0.02, ovf, 0.22, ovf, 0.15, ovf, 1.00, 0.12, 1.07, 0.10, ovf, 12.7989, 7.3355, ovf, ovf, 45.9103, -3061573888.0000, 9.2894, -3148.5363, 0.5068, 17.1209, 11.5946, ovf, 0.9539, 0.3892, 14.0726, 21.5173, ovf, ovf, ovf, 14.1138, -0.0000, ovf, ovf, 751534656.0000, 1.2089, 1.0671, -2.1894, ovf, ovf, 0.7642, ovf, 0
175.9680, 0.86, ovf, ovf, ovf, 0.34, 2.98, ovf, ovf, ovf, 2.31, 0.81, 3.64, 0.58, -0.21, -6.53, 3.62, -46795252.00, ovf, 1.25, 0.04, ovf, 3.18, 0.48, ovf, -57131612.00, -595417600.00, ovf, 0.09, ovf, -965.25, 0.49, ovf, ovf, ovf, 0.77, 2.70, 1.08, 1.45, 0.97, 212.00, 1.06, 1.41, -0.00, 0.07, ovf, 10.69, 0.93, -2828933376.00, 0.63, 0.14, 0.84, 41.77, 0.67, 0.27, 0.02, ovf, 0.38, ovf, 0.13, ovf, 1.00, 0.15, 1.06, 0.10, ovf, 12.4012, 6.6533, ovf, ovf, 23.2501, -510262336.0000, 8.5865, -510.2143, 0.3553, 16.5082, 12.4809, ovf, 0.7142, 0.6586, 12.7518, 22.6977, ovf, ovf, ovf, 12.0413, -0.0000, ovf, ovf, 125255776.0000, 1.1166, 1.2023, -2.1913, ovf, ovf, 0.9977, ovf, 0
