Voltage Range: ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,Pixel 1_0 PCE,Pixel 1_1 PCE,Pixel 1_2 PCE,Pixel 1_3 PCE,Pixel 1_4 PCE,Pixel 1_5 PCE,Pixel 1_6 PCE,Pixel 1_7 PCE,Pixel 2_0 PCE,Pixel 2_1 PCE,Pixel 2_2 PCE,Pixel 2_3 PCE,Pixel 2_4 PCE,Pixel 2_5 PCE,Pixel 2_6 PCE,Pixel 2_7 PCE,Pixel 3_0 PCE,Pixel 3_1 PCE,Pixel 3_2 PCE,Pixel 3_3 PCE,Pixel 3_4 PCE,Pixel 3_5 PCE,Pixel 3_6 PCE,Pixel 3_7 PCE,ARDUINOID
70.1100, 0.72, ovf, ovf, ovf, 0.52, 2.02, ovf, ovf, ovf, 2.12, 0.68, ovf, 0.26, 2.18, ovf, 1.77, ovf, ovf, 1.04, 0.05, ovf, 2.63, ovf, ovf, ovf, ovf, ovf, 0.07, ovf, ovf, 0.64, ovf, ovf, ovf, 0.63, -22347750.00, ovf, 3.61, 0.81, ovf, 0.42, ovf, -0.00, 0.03, ovf, ovf, -80581584.00, ovf, 0.53, 3.07, 10802.65, ovf, 0.55, 2.68, ovf, ovf, ovf, ovf, 0.05, ovf, 184102832.00, -0.16, 1.04, -0.04, ovf, 13.9029, 8.1892, ovf, ovf, ovf, ovf, ovf, ovf, 0.4078, -169927.9843, 17.6697, inf, ovf, 1.2146, 600.4437, 23.4927, ovf, ovf, ovf, ovf, -2386.7106, ovf, inf, ovf, ovf, 11.8909, -0.0000, ovf, ovf, 0.7406, ovf, 0
74.7090, 0.84, ovf, ovf, ovf, 0.59, 2.55, ovf, ovf, ovf, 2.44, 0.79, ovf, 0.32, 2.10, ovf, 2.63, ovf, ovf, 1.21, 0.06, ovf, 3.34, ovf, ovf, ovf, ovf, ovf, 0.09, ovf, ovf, 0.73, ovf, ovf, ovf, 0.75, -3724623.00, ovf, 4.20, 0.95, ovf, 0.80, ovf, -0.00, 0.02, ovf, ovf, -13430264.00, ovf, 0.62, 0.94, 1800.93, ovf, 0.66, 1.11, ovf, ovf, ovf, ovf, 0.34, ovf, 30683806.00, 0.12, 1.20, 0.06, ovf, 14.8120, 10.1486, ovf, ovf, ovf, ovf, ovf, ovf, 0.4742, -28306.0234, 18.4030, ovf, ovf, 1.0847, 116.4150, 26.1063, ovf, ovf, ovf, -1603804160.0000, -397.7851, ovf, ovf, ovf, ovf, 4.9190, -0.1006, ovf, ovf, 0.9557, ovf, 0
79.3090, 0.86, ovf, ovf, ovf, 0.59, 2.59, ovf, ovf, ovf, 2.76, 0.81, ovf, 0.33, 2.07, ovf, 3.17, ovf, ovf, 1.24, 0.06, ovf, 3.36, ovf, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, 0.73, ovf, ovf, ovf, 0.76, -620768.18, ovf, 4.25, 0.97, ovf, 0.87, ovf, -0.00, 0.00, ovf, ovf, -2238376.25, ovf, 0.63, 0.36, 300.65, ovf, 0.67, 0.59, ovf, ovf, ovf, ovf, 0.37, ovf, 5113967.50, 0.14, 1.21, 0.11, ovf, 15.3010, 10.0839, ovf, ovf, ovf, ovf, ovf, ovf, 0.4853, -4702.7285, 17.1206, ovf, ovf, 0.9506, 36.6233, 24.5501, ovf, ovf, ovf, -267300704.0000, -66.2975, ovf, ovf, ovf, ovf, 2.5801, -1.5642, ovf, ovf, 0.8041, ovf, 0
83.9080, 0.86, ovf, ovf, ovf, 0.58, 2.30, ovf, ovf, ovf, 2.89, 0.81, ovf, 0.35, 2.21, ovf, 3.13, ovf, ovf, 1.25, 0.08, ovf, 3.04, ovf, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, 0.73, ovf, ovf, ovf, 0.77, -103458.76, ovf, 3.89, 0.97, ovf, 0.89, ovf, -0.00, 0.02, ovf, ovf, -373062.21, ovf, 0.63, 0.18, 50.61, ovf, 0.67, 0.40, 1470561280.00, ovf, ovf, ovf, 0.37, ovf, 852328.43, 0.19, 1.20, 0.12, ovf, 15.9171, 8.7566, ovf, ovf, ovf, ovf, ovf, ovf, 0.6220, -770.3532, 16.8144, ovf, ovf, 1.1600, 22.2963, 23.0697, ovf, ovf, ovf, -44550088.0000, -11.0496, ovf, ovf, ovf, ovf, 1.7471, -2.1856, ovf, ovf, 1.0652, ovf, 0
