Voltage Range: ,0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
2.9220, 0.13, 1.30, 0.14, 2.30, 0.11, 2.60, 0.19, 2.60, 0.18, 3.13, 0.18, 3.07, 0.11, 3.04, -3581.54, 0.03, 1.3088, 2.4480, 42747.8320, -1320207.7500, -159986.8750, 3.3877, 10.5619, 0.0929, 1
5.8580, 0.13, 1.52, 0.11, 2.67, 0.11, 3.10, 0.15, 2.93, 0.15, 3.22, 0.12, 3.06, 0.11, 3.07, -596.82, 0.06, 1.3543, 2.0336, 7126.5488, -220032.3437, -26662.0351, 2.3787, 3.5999, 0.0577, 1
8.7920, 0.15, 1.47, 0.13, 2.68, 0.11, 3.13, 0.16, 2.94, 0.16, 3.15, 0.13, 3.03, 0.11, 3.01, -99.34, 0.01, 1.4793, 2.2777, 1189.6475, -36669.4804, -4440.8979, 2.5806, 2.3919, 0.0096, 1
11.7270, 0.18, 1.49, 0.15, 2.68, 0.11, 3.14, 0.18, 2.89, 0.18, 3.13, 0.15, 2.99, 0.13, 3.00, -16.41, 0.00, 1.7297, 2.6554, 200.1635, -6108.6962, -736.9861, 2.9476, 2.5682, 0.0016, 1
