Voltage Range: ,0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,120,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,Pixel 1_0 PCE,Pixel 1_1 PCE,Pixel 1_2 PCE,Pixel 1_3 PCE,Pixel 1_4 PCE,Pixel 1_5 PCE,Pixel 1_6 PCE,Pixel 1_7 PCE,Pixel 2_0 PCE,Pixel 2_1 PCE,Pixel 2_2 PCE,Pixel 2_3 PCE,Pixel 2_4 PCE,Pixel 2_5 PCE,Pixel 2_6 PCE,Pixel 2_7 PCE,Pixel 3_0 PCE,Pixel 3_1 PCE,Pixel 3_2 PCE,Pixel 3_3 PCE,Pixel 3_4 PCE,Pixel 3_5 PCE,Pixel 3_6 PCE,Pixel 3_7 PCE,ARDUINOID
12.7970, 0.09, 0.03, ovf, ovf, 7037.68, 0.07, ovf, 0.07, 0.10, ovf, ovf, 0.02, 0.09, 0.07, 0.09, 0.02, 0.08, nan, 0.09, ovf, 1334691200.00, ovf, -5590748.50, 0.05, -21805.53, ovf, ovf, 0.10, 0.09, 0.05, 0.08, 0.07, ovf, ovf, ovf, ovf, ovf, ovf, 0.08, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, ovf, 0.07, ovf, 0.05, ovf, -17.73, 0.09, 0.00, ovf, ovf, ovf, 0.02, ovf, ovf, ovf, ovf, -666707200.0000, nan, ovf, 0.0115, -4017811968.0000, 0.0114, ovf, ovf, ovf, 0.0359, ovf, ovf, inf, ovf, inf, ovf, ovf, ovf, nan, ovf, ovf, ovf, ovf, ovf, ovf, -1.2622, ovf, -0.0000, 0.0109, ovf, 1
25.6350, 0.11, 0.07, ovf, ovf, 1173.06, 0.04, ovf, 0.03, 0.13, ovf, ovf, 0.00, 0.12, 0.06, 0.08, 0.04, 0.12, nan, 0.11, ovf, 222448528.00, ovf, -931791.43, 0.07, -3634.19, ovf, ovf, 0.12, 0.11, 0.07, 0.08, 0.03, ovf, ovf, ovf, ovf, ovf, ovf, 0.10, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, ovf, 0.04, ovf, 0.04, ovf, -20.74, 0.12, 0.03, ovf, ovf, -1787702272.00, 0.02, ovf, ovf, ovf, ovf, -111117864.0000, nan, ovf, 0.0019, -669635328.0000, 0.0196, ovf, ovf, ovf, 0.0435, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, ovf, ovf, ovf, ovf, ovf, -1.4760, ovf, 0.0109, 0.0128, ovf, 1
38.4740, 0.11, 0.03, ovf, ovf, 195.64, 0.02, ovf, 0.07, 0.12, ovf, ovf, 0.00, 0.11, 0.04, 0.06, 0.09, 0.11, nan, 0.11, ovf, 37074756.00, ovf, -155298.51, 0.05, -605.66, ovf, ovf, 0.10, 0.11, 0.05, 0.10, 0.05, -4267184384.00, ovf, ovf, ovf, ovf, ovf, 0.10, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, ovf, 0.04, ovf, 0.04, ovf, -21.21, 0.15, 0.01, ovf, ovf, -297950368.00, 0.02, ovf, ovf, ovf, ovf, -18519642.0000, nan, ovf, 0.0003, -111605888.0000, 0.0350, ovf, ovf, ovf, 0.0213, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, ovf, ovf, ovf, ovf, ovf, -1.6022, ovf, 0.0237, 0.0105, ovf, 1
51.3130, 0.11, 0.07, ovf, ovf, 32.76, 0.05, ovf, 0.03, 0.13, ovf, ovf, 0.00, 0.12, 0.04, 0.06, 0.05, 0.12, nan, 0.11, ovf, 6179126.00, ovf, -25883.06, 0.11, -100.88, ovf, ovf, 0.10, 0.11, 0.07, 0.08, 0.06, -711197376.00, ovf, ovf, ovf, ovf, ovf, 0.10, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, ovf, 0.07, ovf, 0.04, ovf, -21.32, 0.17, 0.02, ovf, ovf, -49658396.00, 0.02, ovf, ovf, ovf, ovf, -3086607.2500, nan, ovf, 0.0001, -18600982.0000, 0.0189, ovf, ovf, ovf, 0.0285, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, nan, ovf, ovf, ovf, ovf, ovf, ovf, -1.6253, ovf, 0.0149, 0.0101, ovf, 1
