Voltage Range: ,0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,120,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,Pixel 1_0 PCE,Pixel 1_1 PCE,Pixel 1_2 PCE,Pixel 1_3 PCE,Pixel 1_4 PCE,Pixel 1_5 PCE,Pixel 1_6 PCE,Pixel 1_7 PCE,Pixel 2_0 PCE,Pixel 2_1 PCE,Pixel 2_2 PCE,Pixel 2_3 PCE,Pixel 2_4 PCE,Pixel 2_5 PCE,Pixel 2_6 PCE,Pixel 2_7 PCE,Pixel 3_0 PCE,Pixel 3_1 PCE,Pixel 3_2 PCE,Pixel 3_3 PCE,Pixel 3_4 PCE,Pixel 3_5 PCE,Pixel 3_6 PCE,Pixel 3_7 PCE,ARDUINOID
12.7940, ovf, 0.0658, 0.0491, 0.0509, -0.0005, ovf, ovf, ovf, 0.0000, ovf, 0.0125, 0.0599, ovf, 0.0599, ovf, ovf, ovf, 0.0000, ovf, ovf, ovf, -1.3392, ovf, 0.0109, ovf, 0.0231, ovf, ovf, ovf, 0.0000, ovf, ovf, 0
25.5940, ovf, 0.0558, 0.0363, 0.0460, -0.0001, ovf, ovf, ovf, 0.0000, ovf, 0.0214, 0.0381, ovf, 0.0475, ovf, ovf, ovf, 0.0089, ovf, ovf, ovf, -1.5639, ovf, 0.0268, ovf, 0.0315, ovf, ovf, ovf, 0.0109, ovf, ovf, 0
38.3930, ovf, 0.0536, 0.0420, 0.0452, -0.0000, ovf, ovf, ovf, 0.0000, ovf, 0.0254, 0.0272, ovf, 0.0558, ovf, ovf, ovf, 0.0129, ovf, ovf, ovf, -1.5194, ovf, 0.0128, ovf, 0.0230, ovf, ovf, ovf, 0.0128, ovf, ovf, 0
