Voltage Range: 0.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Pixel 0 VSet,Pixel 0 V,Pixel 0 mA,Pixel 0 PCE,Pixel 1 VSet,Pixel 1 V,Pixel 1 mA,Pixel 1 PCE,Pixel 2 VSet,Pixel 2 V,Pixel  mA,Pixel 2 PCE,Pixel 3 VSet,Pixel 3 V,Pixel 3 mA,Pixel 3 PCE,Pixel 4 VSet,Pixel 4 V,Pixel 4 mA,Pixel 4 PCE,Pixel 5 VSet,Pixel 5 V,Pixel 5 mA,Pixel 5 PCE,Pixel 6 VSet,Pixel 6 V,Pixel 6 mA,Pixel 6 PCE,Pixel 7 VSet,Pixel 7 V,Pixel 7 mA,Pixel 7 PCE,Time
0.36, 0.4020, -0.1252, 0.0026, 0.36, 0.4002, -0.1250, 0.0026, 0.36, 0.4109, -0.1218, 0.0026, 0.30, 0.3780, -0.1001, 0.0019, 0.33, 0.3731, -0.0991, 0.0019, 0.30, ovf, ovf, 0.0017, 0.30, ovf, -0.1009, 0.0019, 0.30, ovf, 1.2001, 0.0019, 51.5810
0.39, 0.4404, -0.1250, 0.0028, 0.39, 0.4368, -0.1250, 0.0028, 0.39, 0.4486, -0.1244, 0.0029, 0.33, 0.3796, -0.1000, 0.0019, 0.30, 0.4042, -0.0398, 0.0005, 0.33, ovf, ovf, 0.0010, 0.33, ovf, -0.1002, 0.0019, 0.33, ovf, 0.2000, 0.0010, 55.8760
0.42, 0.4793, -0.1250, 0.0031, 0.42, 0.4754, -0.1250, 0.0030, 0.42, 0.4857, -0.1049, 0.0025, 0.36, 0.4103, -0.0600, 0.0010, 0.33, 0.3808, -0.0680, 0.0014, 0.36, ovf, ovf, 0.0021, 0.36, ovf, -0.1200, 0.0026, 0.36, ovf, 0.0000, 0.0011, 60.1720
0.42, 0.5166, -0.1450, 0.0039, 0.42, 0.5151, -0.1250, 0.0033, 0.45, 0.5243, -0.1010, 0.0027, 0.39, 0.4461, -0.1120, 0.0028, 0.36, 0.4050, -0.0736, 0.0015, 0.39, ovf, ovf, 0.0017, 0.39, ovf, -0.1040, 0.0023, 0.39, ovf, -0.0400, 0.0012, 64.4660
0.45, 0.5249, -0.0890, 0.0020, 0.45, 0.5230, -0.1050, 0.0026, 0.45, 0.5609, -0.1202, 0.0036, 0.42, 0.4828, -0.1024, 0.0025, 0.39, 0.4402, -0.0747, 0.0017, 0.42, ovf, ovf, 0.0018, 0.42, ovf, -0.0808, 0.0019, 0.42, ovf, -0.0680, 0.0019, 68.7610
0.48, 0.5570, -0.1178, 0.0035, 0.48, 0.5526, -0.1210, 0.0035, 0.48, 0.5690, -0.0840, 0.0021, 0.42, 0.5214, -0.1005, 0.0027, 0.42, 0.4776, -0.0749, 0.0018, 0.45, ovf, ovf, 0.0027, 0.42, ovf, -0.1162, 0.0033, 0.42, ovf, -0.0736, 0.0020, 73.0550
0.51, 0.5930, -0.1236, 0.0038, 0.48, 0.5897, -0.1242, 0.0037, 0.51, 0.6018, -0.0768, 0.0023, 0.45, 0.5291, -0.1001, 0.0027, 0.42, 0.5155, -0.0950, 0.0026, 0.42, ovf, ovf, 0.0021, 0.45, ovf, -0.1232, 0.0033, 0.45, ovf, -0.0547, 0.0014, 77.3490
0.54, 0.6298, -0.1247, 0.0040, 0.51, 0.5979, -0.1248, 0.0037, 0.51, 0.6363, -0.1154, 0.0040, 0.48, 0.5618, -0.1200, 0.0036, 0.45, 0.5231, -0.0990, 0.0026, 0.42, ovf, ovf, 0.0027, 0.48, ovf, -0.1246, 0.0036, 0.48, -1634425216.0000, -0.0309, 0.0007, 81.6460
0.57, 0.6659, -0.1249, 0.0042, 0.51, 0.6276, -0.1250, 0.0040, 0.54, 0.6433, -0.1031, 0.0032, 0.45, 0.5964, -0.0840, 0.0023, 0.48, 0.5542, -0.0998, 0.0028, 0.45, ovf, ovf, 0.0033, 0.51, ovf, -0.1249, 0.0038, 0.51, -326885056.0000, -0.0262, 0.0008, 85.9410
0.60, 0.7044, -0.1250, 0.0045, 0.54, 0.6335, -0.1050, 0.0032, 0.54, 0.6758, -0.1206, 0.0043, 0.48, 0.5729, -0.0568, 0.0014, 0.51, 0.5908, -0.0800, 0.0022, 0.45, ovf, ovf, 0.0036, 0.54, ovf, -0.1050, 0.0032, 0.51, -65377012.0000, -0.0652, 0.0024, 90.2370
0.63, 0.7409, -0.1250, 0.0047, 0.54, 0.6667, -0.1210, 0.0042, 0.57, 0.6816, -0.1041, 0.0034, 0.51, 0.5986, -0.0914, 0.0030, 0.54, 0.6262, -0.0560, 0.0016, 0.48, ovf, ovf, 0.0028, 0.57, ovf, -0.1010, 0.0032, 0.48, -13075402.0000, -0.0530, 0.0017, 94.5330
0.63, 0.7794, -0.1850, 0.0079, 0.57, 0.6733, -0.1242, 0.0042, 0.57, 0.7123, -0.1208, 0.0045, 0.54, 0.6333, -0.1183, 0.0040, 0.57, 0.6652, -0.0912, 0.0034, 0.48, ovf, ovf, 0.0030, 0.57, ovf, -0.1402, 0.0046, 0.45, -2615079.5000, -0.0506, 0.0018, 98.8290
0.66, 0.7879, -0.1770, 0.0069, 0.60, 0.7051, -0.1048, 0.0036, 0.60, 0.7185, -0.1042, 0.0036, 0.57, 0.6715, -0.1037, 0.0034, 0.60, 0.7026, -0.0982, 0.0036, 0.51, ovf, ovf, 0.0030, 0.60, ovf, -0.1280, 0.0036, 0.42, -523015.4062, -0.0301, 0.0009, 103.1240
0.66, 0.8176, -0.2354, 0.0103, 0.63, 0.7410, -0.1210, 0.0047, 0.63, 0.7477, -0.1208, 0.0047, 0.60, 0.7103, -0.0607, 0.0018, 0.63, 0.7397, -0.0796, 0.0028, 0.54, ovf, -1524625920.0000, 0.0024, 0.63, ovf, -0.1256, 0.0033, 0.45, -104602.4843, -0.0260, 0.0010, 107.4210
0.69, 0.8235, -0.2071, 0.0082, 0.66, 0.7762, -0.1242, 0.0049, 0.66, 0.7831, -0.1042, 0.0040, 0.63, 0.7460, -0.0721, 0.0028, 0.66, 0.7759, -0.1159, 0.0049, 0.57, ovf, -304925184.0000, 0.0025, 0.66, ovf, -0.1251, 0.0036, 0.48, -20919.8554, -0.0452, 0.0020, 111.7180
0.69, 0.8559, -0.2414, 0.0108, 0.69, 0.8152, -0.1248, 0.0052, 0.69, 0.8206, -0.1008, 0.0041, 0.63, 0.7836, -0.1144, 0.0050, 0.69, 0.8144, -0.1232, 0.0051, 0.60, ovf, -60985036.0000, 0.0027, 0.63, ovf, -0.1050, 0.0030, 0.51, -4183.3022, -0.0690, 0.0031, 116.0150
0.69, 0.8624, -0.2483, 0.0108, 0.72, 0.8542, -0.1050, 0.0043, 0.72, 0.8601, -0.1202, 0.0054, 0.63, 0.7895, -0.1229, 0.0049, 0.69, 0.8525, -0.1446, 0.0065, 0.63, ovf, -12197007.0000, 0.0047, 0.60, ovf, -0.0810, 0.0024, 0.54, -836.0203, -0.0338, 0.0010, 120.3110
