Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,ARDUINOID
14.9190,0.51,0.0160,-0.1500,0.0170,-0.1000,0.0170,-0.1000,0.0040,-0.1000,0.0060,-0.0500,0.0160,-0.1000,0.0170,-0.1000,0.0200,-0.2000,1
15.5410,0.48,0.1440,-0.1750,0.1480,-0.1500,0.1480,-0.1000,0.1630,-0.1500,0.1350,-0.1000,0.1440,-0.1000,0.1440,-0.1250,0.1520,-0.0500,1
16.1640,0.45,0.1420,-0.0500,0.1460,-0.1000,0.1480,-0.0500,0.1280,-0.1000,0.1380,-0.1500,0.1520,-0.1500,0.1440,-0.0500,0.1460,-0.1000,1
16.7850,0.42,0.1430,-0.1000,0.1510,-0.1000,0.1490,-0.0500,0.1630,-0.1500,0.1390,-0.1000,0.1520,-0.1000,0.1450,-0.0500,0.1540,-0.1500,1
17.4080,0.39,0.1340,-0.0500,0.1400,-0.1500,0.1340,0.0000,0.1460,-0.1000,0.1340,-0.1000,0.1460,-0.0750,0.1360,-0.0500,0.1490,-0.1000,1
18.0290,0.36,0.1280,-0.1000,0.1020,-0.1000,0.1280,-0.1000,0.1280,-0.0500,0.1280,-0.1000,0.1020,-0.0500,0.1280,0.0000,0.1280,-0.1000,1
18.6520,0.33,0.0000,-0.1500,0.0000,-0.1000,0.0000,-0.1500,0.0320,-0.1000,0.0000,-0.1250,0.0000,-0.1500,0.0000,-0.1500,0.0000,-0.1000,1
19.2740,0.30,0.0010,-0.2000,0.0000,-0.1250,0.0010,-0.1500,0.0030,-0.1500,0.0030,-0.1500,0.0000,-0.1000,0.0000,-0.0500,0.0040,-0.1000,1
19.8960,0.27,0.0010,-0.1500,0.0030,-0.1250,0.0030,-0.1000,0.0340,-0.1000,0.0030,-0.1500,0.0030,-0.1500,0.0000,-0.2000,0.0050,-0.1000,1
20.5180,0.24,0.0000,-0.2000,0.0040,-0.1500,0.0040,-0.1000,0.0000,0.0000,0.0060,-0.1000,0.0080,-0.1500,0.0000,-0.1500,0.0090,-0.1250,1
21.1400,0.21,0.1310,-0.1750,0.1340,-0.2000,0.1350,-0.1000,0.1630,-0.1500,0.1330,-0.1250,0.1360,-0.1250,0.1280,-0.1500,0.1440,-0.0250,1
21.7630,0.18,0.1400,-0.0500,0.1370,-0.1000,0.1390,-0.1500,0.1300,0.0000,0.1370,-0.0500,0.1400,-0.1500,0.1320,-0.1250,0.1410,-0.0250,1
22.3850,0.15,0.1440,-0.0750,0.1440,-0.2000,0.1440,-0.1500,0.1600,-0.0500,0.1360,0.0000,0.1440,-0.1250,0.1440,-0.1500,0.1440,-0.1000,1
23.0070,0.12,0.1440,-0.0250,0.1450,-0.2000,0.1450,-0.1500,0.1310,-0.1250,0.1340,-0.0500,0.1440,-0.1500,0.1440,-0.2000,0.1460,-0.0500,1
23.6300,0.09,0.0160,-0.0750,0.0170,-0.2000,0.0190,-0.2250,0.0360,-0.1000,0.0070,0.0000,0.0160,-0.1000,0.0160,-0.2250,0.0210,-0.0500,1
24.2510,0.06,0.0140,-0.0750,0.0240,-0.1000,0.0180,-0.2000,0.0000,-0.2000,0.0100,-0.0250,0.0240,-0.1500,0.0160,-0.2000,0.0240,-0.1500,1
24.8740,0.03,0.0150,-0.0750,0.0240,0.0000,0.0240,-0.2250,0.0340,-0.2000,0.0130,-0.0500,0.0240,-0.1000,0.0160,-0.1500,0.0240,-0.2000,1
25.4960,0.00,0.0150,-0.1250,0.0230,-0.1000,0.0240,-0.1000,0.0040,-0.2000,0.0130,-0.1500,0.0250,-0.0500,0.0160,-0.1000,0.0280,-0.1250,1
26.1180,-0.03,0.0000,-0.1500,0.0000,-0.1000,0.0000,-0.1250,0.0000,-0.2000,0.0000,-0.1000,0.0000,-0.0750,0.0000,-0.1000,0.0000,-0.2000,1
0.6110,0.03,0.0000,-0.0750,0.0000,-0.1000,0.0000,-0.2000,0.0000,-0.1250,0.0000,-0.0500,0.0000,-0.1250,0.0000,-0.2000,0.0000,-0.1500,1
1.2330,0.06,0.0150,-0.0750,0.0240,-0.1000,0.0210,-0.1500,0.0040,-0.2000,0.0130,-0.1500,0.0240,-0.0500,0.0160,-0.1500,0.0270,-0.2000,1
1.8550,0.09,0.0120,-0.1000,0.0200,-0.0500,0.0230,-0.1250,0.0330,-0.2000,0.0100,-0.1000,0.0240,-0.1750,0.0160,-0.1000,0.0260,-0.1500,1
2.4770,0.12,0.0160,-0.1250,0.0220,-0.0500,0.0200,-0.1500,0.0000,-0.1000,0.0100,-0.1000,0.0240,-0.1500,0.0160,-0.1000,0.0240,-0.1000,1
3.1000,0.15,0.0130,-0.1000,0.0180,-0.1000,0.0180,-0.1500,0.0360,-0.1500,0.0040,-0.1250,0.0170,-0.1000,0.0170,-0.1000,0.0200,-0.1500,1
3.7220,0.18,0.1440,-0.1500,0.1450,-0.1500,0.1440,-0.0500,0.1300,-0.1500,0.1380,-0.1000,0.1440,-0.1000,0.1450,-0.1500,0.1430,-0.1000,1
4.3440,0.21,0.1400,-0.1000,0.1440,-0.1500,0.1410,-0.1000,0.1600,-0.0750,0.1360,-0.1500,0.1440,-0.1000,0.1440,-0.1000,0.1520,-0.1500,1
4.9660,0.24,0.1280,-0.1750,0.1400,-0.1500,0.1350,-0.1000,0.1320,-0.1000,0.1380,-0.1000,0.1380,-0.1000,0.1330,-0.1000,0.1380,-0.1500,1
5.5890,0.27,0.1280,-0.1000,0.1360,-0.1500,0.1320,-0.1000,0.1640,-0.1500,0.1360,-0.1000,0.1340,-0.0500,0.1280,-0.1500,0.1390,-0.0750,1
6.2110,0.30,0.0000,-0.0500,0.0060,-0.2000,0.0080,-0.1000,0.0000,-0.1000,0.0060,-0.0750,0.0080,-0.1750,0.0000,-0.0500,0.0080,-0.1000,1
6.8330,0.33,0.0000,-0.1750,0.0020,-0.1500,0.0010,-0.1500,0.0340,-0.1000,0.0020,-0.1000,0.0040,-0.1500,0.0010,-0.1000,0.0050,-0.1000,1
7.4550,0.36,0.0020,-0.1000,0.0010,-0.1500,0.0030,-0.1000,0.0020,-0.1500,0.0040,-0.1000,0.0000,-0.1250,0.0000,-0.1250,0.0040,-0.1000,1
8.0770,0.39,0.0000,-0.0500,0.0000,-0.2000,0.0000,-0.1750,0.0320,-0.0500,0.0000,-0.0750,0.0000,-0.1500,0.0000,-0.1750,0.0080,-0.1000,1
8.6990,0.42,0.1000,-0.0750,0.1280,-0.2000,0.1280,-0.1750,0.1280,-0.1000,0.1280,-0.0500,0.1020,-0.1500,0.1280,-0.1000,0.1280,-0.1250,1
9.3210,0.45,0.1280,-0.1000,0.1340,-0.1500,0.1390,-0.1000,0.1450,-0.1000,0.1380,-0.0500,0.1400,-0.0500,0.1360,-0.1000,0.1420,-0.1000,1
9.9430,0.48,0.1440,-0.1000,0.1510,-0.1500,0.1500,-0.0500,0.1630,-0.0500,0.1400,-0.1000,0.1520,-0.2000,0.1440,-0.1000,0.1550,-0.0500,1
