Voltage Range: 1.2, , ,,,,,1.2,-5.8
Voltage Step Size: 0.01, , ,,,,,1.2,-5.8
Voltage Read Count: 10, , ,,,,,1.18,-3.2
Volts_output,Volts Pixel 1,Current Pixel 1,,averages,,,1.15,-3.3
1.14,1.1443,-2.9,,0.3816,2.5,,,
1.14,1.1443,-2.9,,0.3718,2.5091,,,
1.14,1.1403,-2.9,,0.3608,2.5,,,
1.14,1.1443,-2.9,,0.3517,2.5,,,
1.14,1.1443,-2.9,,0.3405,2.5,,,
1.13,1.1323,-2.6,,0.3317,2.5091,,,
1.13,1.1323,-2.7,,0.3227,2.5182,,,
1.13,1.1323,-2.6,,0.3117,2.5091,,,
1.13,1.1363,-2.6,,0.3027,2.5,,,
1.13,1.1363,-2.7,,0.2918,2.5,,,
1.13,1.1323,-2.7,,0.2827,2.5273,,,
1.13,1.1323,-2.7,,0.2717,2.5182,,,
1.13,1.1323,-2.7,,0.2608,2.5091,,,
1.13,1.1363,-2.6,,0.2517,2.5091,,,
1.13,1.1323,-2.7,,0.2416,2.5,,,
1.13,1.1323,-2.6,,0.2317,2.5364,,,
1.12,1.1242,-2.3,,0.2219,2.5091,,,
1.12,1.1242,-2.4,,0.2117,2.5273,,,
1.12,1.1242,-2.3,,0.2023,2.5182,,,
1.12,1.1242,-2.4,,0.1917,2.5364,,,
1.12,1.1202,-2.4,,0.1834,2.5364,,,
1.12,1.1242,-2.4,,0.1721,2.5364,,,
1.12,1.1242,-2.4,,0.1634,2.5091,,,
1.12,1.1242,-2.4,,0.1528,2.5273,,,
1.12,1.1242,-2.4,,0.1427,2.5545,,,
1.12,1.1242,-2.4,,0.1321,2.5545,,,
1.12,1.1242,-2.4,,0.1227,2.5545,,,
1.11,1.1162,-2.2,,0.1128,2.5273,,,
1.11,1.1162,-2.2,,0.1034,2.5273,,,
1.11,1.1162,-2.1,,0.0921,2.5545,,,
1.11,1.1162,-2.1,,0.0827,2.5455,,,
1.11,1.1162,-2.1,,0.0717,2.5545,,,
1.11,1.1162,-2.2,,0.0637,2.5545,,,
1.11,1.1162,-2.1,,0.055,2.5455,,,
1.11,1.1122,-2.2,,0.0554,2.5455,,,
1.11,1.1122,-2.2,,0.0557,2.5455,,,
1.11,1.1162,-2.1,,0.0557,2.5455,,,
1.11,1.1162,-2.2,,0.0557,2.5364,,,
1.1,1.1042,-1.9,,0.0579,2.5273,,,
1.1,1.1042,-1.9,,0.0579,2.5182,,,
1.1,1.1042,-1.9,,0.0568,2.5364,,,
1.1,1.1042,-1.9,,0.0557,2.5182,,,
1.1,1.1042,-1.9,,0.0557,2.5455,,,
1.1,1.1042,-1.9,,0.055,2.5545,,,
1.1,1.1042,-1.9,,0.0536,2.5364,,,
1.1,1.1042,-1.9,,0.0634,2.5545,,,
1.1,1.1042,-1.9,,0.0717,2.5,,,
1.1,1.1042,-1.9,,0.0837,2.5182,,,
1.1,1.1042,-1.9,,0.0921,2.5364,,,
1.09,1.0962,-1.7,,0.1037,2.5273,,,
1.09,1.0962,-1.6,,0.1121,2.5091,,,
1.09,1.0962,-1.7,,0.1223,2.5182,,,
1.09,1.0922,-1.6,,0.1321,2.5182,,,
1.09,1.0962,-1.7,,0.1427,2.5273,,,
1.09,1.0922,-1.7,,0.1521,2.5091,,,
1.09,1.0962,-1.7,,0.163,2.5091,,,
1.09,1.0922,-1.7,,0.1717,2.4909,,,
1.09,1.0962,-1.6,,0.183,2.4909,,,
1.09,1.0922,-1.6,,0.1917,2.5,,,
1.09,1.0922,-1.7,,0.203,2.5091,,,
1.08,1.0842,-1.4,,0.2118,2.5,,,
1.08,1.0841,-1.5,,0.2227,2.5,,,
1.08,1.0842,-1.5,,0.2321,2.4909,,,
1.08,1.0842,-1.4,,0.2416,2.4909,,,
1.08,1.0842,-1.5,,0.2518,2.5,,,
1.08,1.0842,-1.4,,0.2623,2.5,,,
1.08,1.0842,-1.5,,0.2718,2.5,,,
1.08,1.0842,-1.5,,0.283,2.4636,,,
1.08,1.0842,-1.5,,0.2918,2.4818,,,
1.08,1.0842,-1.5,,0.303,2.4818,,,
1.08,1.0842,-1.4,,0.3117,2.4818,,,
1.07,1.0721,-1.3,,0.3219,2.4545,,,
1.07,1.0721,-1.3,,0.3317,2.5,,,
1.07,1.0761,-1.3,,0.3416,2.4727,,,
1.07,1.0761,-1.2,,0.3518,2.4545,,,
1.07,1.0721,-1.2,,0.3601,2.4818,,,
1.07,1.0761,-1.3,,0.3718,2.4455,,,
1.07,1.0721,-1.2,,0.3819,2.4455,,,
1.07,1.0761,-1.2,,0.3918,2.4545,,,
1.07,1.0721,-1.2,,0.403,2.4273,,,
1.07,1.0761,-1.2,,0.4118,2.4091,,,
1.07,1.0721,-1.2,,0.4234,2.4273,,,
1.06,1.0641,-1,,0.4325,2.4455,,,
1.06,1.0641,-1.1,,0.4427,2.4182,,,
1.06,1.0641,-1,,0.4525,2.4182,,,
1.06,1.0641,-1.1,,0.4638,2.3909,,,
1.06,1.0641,-1,,0.4732,2.4,,,
1.06,1.0641,-1,,0.4834,2.3818,,,
1.06,1.0641,-1,,0.4929,2.4091,,,
1.06,1.0641,-1.1,,0.5034,2.4,,,
1.06,1.0641,-1.1,,0.5121,2.3727,,,
1.06,1.0641,-1.1,,0.5238,2.3909,,,
1.06,1.0641,-1,,0.5318,2.3818,,,
1.05,1.0521,-0.9,,0.5434,2.3636,,,
1.05,1.0561,-0.9,,0.5525,2.3727,,,
