Voltage Range: 1.2, , 
Voltage Step Size: 0.05, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
0.90,0.9039,1.0000
0.90,0.9039,0.9000
0.90,0.9039,1.0000
0.90,0.9039,1.0000
0.90,0.9039,1.0000
0.90,0.9039,0.9000
0.90,0.9039,0.9000
0.90,0.9039,1.0000
0.90,0.9039,1.0000
0.85,0.8559,1.4000
0.85,0.8519,1.4000
0.85,0.8559,1.4000
0.85,0.8559,1.4000
0.85,0.8559,1.4000
0.85,0.8559,1.4000
0.85,0.8559,1.4000
0.85,0.8559,1.4000
0.85,0.8559,1.4000
0.85,0.8559,1.4000
0.85,0.8519,1.4000
0.80,0.8038,1.8000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.75,0.7518,1.9000
0.75,0.7518,2.0000
0.75,0.7518,1.9000
0.75,0.7518,1.9000
0.75,0.7558,2.0000
0.75,0.7518,2.0000
0.75,0.7558,2.0000
0.75,0.7518,1.9000
0.75,0.7518,1.9000
0.75,0.7518,1.9000
0.75,0.7518,1.9000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.2000
0.70,0.6998,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.2000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.65,0.6518,2.3000
0.65,0.6518,2.3000
0.65,0.6518,2.3000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.3000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.60,0.6038,2.3000
0.60,0.6038,2.4000
0.60,0.5998,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.55,0.5518,2.5000
0.55,0.5518,2.4000
0.55,0.5518,2.4000
0.55,0.5518,2.4000
0.55,0.5518,2.4000
0.55,0.5518,2.4000
0.55,0.5518,2.4000
0.55,0.5558,2.4000
