Voltage Range: 1.2, , 
Voltage Step Size: 0.01, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
1.01,1.0121,-0.9
1.01,1.0161,-0.9
1.01,1.0121,-0.9
1.01,1.0121,-0.9
1.01,1.0161,-0.9
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
0.99,0.9961,-0.7
0.99,0.9961,-0.7
0.99,0.9961,-0.7
0.99,0.9921,-0.7
0.99,0.9961,-0.7
0.99,0.9961,-0.7
0.99,0.9961,-0.7
0.99,0.9921,-0.8
0.99,0.9921,-0.7
0.99,0.9961,-0.6
0.99,0.9921,-0.7
0.98,0.9841,-0.6
0.98,0.9841,-0.7
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.97,0.9761,-0.6
0.97,0.9761,-0.6
0.97,0.9721,-0.6
0.97,0.9761,-0.6
0.97,0.9721,-0.6
0.97,0.9721,-0.5
0.97,0.9761,-0.6
0.97,0.9761,-0.6
0.97,0.9761,-0.5
0.97,0.9761,-0.6
0.97,0.9761,-0.6
0.96,0.9641,-0.5
0.96,0.964,-0.5
0.96,0.9641,-0.6
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.956,-0.4
0.95,0.956,-0.5
0.95,0.956,-0.4
0.95,0.952,-0.4
0.95,0.956,-0.5
0.94,0.944,-0.4
0.94,0.944,-0.4
0.94,0.944,-0.3
0.94,0.944,-0.3
0.94,0.944,-0.3
0.94,0.944,-0.4
0.94,0.944,-0.3
0.94,0.944,-0.4
0.94,0.944,-0.3
0.94,0.944,-0.3
0.94,0.944,-0.3
0.93,0.936,-0.3
0.93,0.936,-0.3
0.93,0.932,-0.3
0.93,0.936,-0.4
0.93,0.932,-0.3
0.93,0.936,-0.3
0.93,0.936,-0.3
0.93,0.932,-0.3
0.93,0.932,-0.4
0.93,0.932,-0.3
0.93,0.936,-0.3
0.92,0.924,-0.3
0.92,0.924,-0.3
0.92,0.924,-0.3
0.92,0.924,-0.3
0.92,0.924,-0.2
0.92,0.924,-0.3
0.92,0.924,-0.3
0.92,0.924,-0.3
0.92,0.924,-0.2
0.92,0.924,-0.3
0.92,0.924,-0.3
0.91,0.912,-0.2
0.91,0.916,-0.3
0.91,0.912,-0.2
0.91,0.916,-0.2
0.91,0.916,-0.2
0.91,0.916,-0.2
0.91,0.916,-0.2
0.91,0.916,-0.2
0.91,0.916,-0.2
0.91,0.916,-0.2
0.91,0.916,-0.3
0.9,0.904,-0.2
0.9,0.904,-0.2
0.9,0.904,-0.2
0.9,0.904,-0.2
0.9,0.904,-0.2
0.9,0.904,-0.2
0.9,0.904,-0.2
0.9,0.904,-0.2
0.9,0.904,-0.2
0.9,0.904,-0.1
0.9,0.904,-0.2
0.89,0.892,-0.1
0.89,0.896,-0.1
0.89,0.892,-0.1
0.89,0.896,-0.1
0.89,0.896,-0.2
0.89,0.896,-0.1
0.89,0.892,-0.1
0.89,0.896,-0.2
0.89,0.896,-0.1
0.89,0.896,-0.2
0.89,0.896,-0.2
0.88,0.884,-0.1
0.88,0.884,-0.1
0.88,0.884,-0.1
0.88,0.884,-0.2
0.88,0.884,-0.2
0.88,0.888,-0.1
0.88,0.884,-0.1
0.88,0.884,-0.2
0.88,0.888,-0.1
0.88,0.888,-0.1
0.88,0.884,-0.1
0.87,0.872,-0.1
0.87,0.872,-0.1
0.87,0.876,-0.2
0.87,0.876,-0.1
0.87,0.872,-0.1
0.87,0.872,-0.1
0.87,0.872,-0.1
0.87,0.872,-0.1
0.87,0.872,-0.1
0.87,0.876,-0.1
0.87,0.876,-0.1
0.86,0.864,0
0.86,0.864,-0.1
0.86,0.864,-0.1
0.86,0.864,0
0.86,0.864,-0.1
0.86,0.864,-0.1
0.86,0.864,-0.1
0.86,0.864,-0.1
0.86,0.864,-0.1
0.86,0.864,-0.1
0.86,0.864,-0.1
0.85,0.852,0
0.85,0.852,-0.1
0.85,0.852,-0.1
0.85,0.852,0
0.85,0.852,0
0.85,0.856,0
0.85,0.852,-0.1
0.85,0.852,0
0.85,0.852,0
0.85,0.852,0
0.85,0.852,0
0.84,0.844,0
0.84,0.844,0
0.84,0.844,0
0.84,0.844,0
0.84,0.844,0
0.84,0.844,0
0.84,0.844,-0.1
0.84,0.844,0
0.84,0.844,0
0.84,0.844,0
0.84,0.844,0
0.83,0.832,0
0.83,0.836,0
0.83,0.832,0
0.83,0.832,0
0.83,0.832,0
0.83,0.832,0
0.83,0.832,0
0.83,0.832,0
0.83,0.832,0
0.83,0.832,0
0.83,0.832,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.82,0.824,0
0.81,0.816,0.1
0.81,0.812,0
0.81,0.812,0
0.81,0.816,0.1
0.81,0.812,0
0.81,0.812,0
0.81,0.812,0
0.81,0.816,0
0.81,0.812,0.1
0.81,0.816,0
0.81,0.812,0
0.8,0.804,0.1
0.8,0.8,0.1
0.8,0.804,0.1
0.8,0.8,0
0.8,0.804,0
0.8,0.8,0.1
0.8,0.8,0.1
0.8,0.8,0.1
0.8,0.804,0
0.8,0.804,0
0.8,0.804,0
0.79,0.792,0
0.79,0.792,0
0.79,0.792,0
0.79,0.792,0
0.79,0.792,0.1
0.79,0.792,0
0.79,0.792,0.1
0.79,0.792,0
0.79,0.792,0
0.79,0.792,0.1
0.79,0.792,0
0.78,0.784,0.1
0.78,0.78,0.1
0.78,0.78,0.1
0.78,0.784,0
0.78,0.78,0
0.78,0.78,0.1
0.78,0.78,0.1
0.78,0.784,0.1
0.78,0.784,0.1
0.78,0.78,0
0.78,0.78,0.1
0.77,0.772,0.1
0.77,0.772,0.1
0.77,0.772,0
0.77,0.772,0.1
0.77,0.772,0
0.77,0.772,0.1
0.77,0.772,0.1
0.77,0.772,0.1
0.77,0.772,0
0.77,0.772,0.1
0.77,0.772,0
0.76,0.764,0.1
0.76,0.764,0
0.76,0.76,0.2
0.76,0.764,0.1
0.76,0.764,0.1
0.76,0.764,0.1
0.76,0.764,0.1
0.76,0.764,0.1
0.76,0.764,0.1
0.76,0.764,0.1
0.76,0.764,0.1
0.75,0.752,0.1
0.75,0.752,0.1
0.75,0.752,0.1
0.75,0.752,0.1
0.75,0.752,0.1
0.75,0.752,0.1
0.75,0.752,0
0.75,0.752,0.1
0.75,0.752,0.1
0.75,0.752,0.1
0.75,0.752,0.1
0.74,0.74,0.1
0.74,0.744,0.1
0.74,0.74,0.1
0.74,0.744,0.1
0.74,0.74,0.1
0.74,0.74,0.1
0.74,0.744,0
0.74,0.744,0.1
0.74,0.744,0
0.74,0.74,0.1
0.74,0.744,0.1
0.73,0.732,0.1
0.73,0.732,0.1
0.73,0.732,0.1
0.73,0.732,0.1
0.73,0.728,0.1
0.73,0.732,0
0.73,0.732,0
0.73,0.732,0.1
0.73,0.732,0.1
0.73,0.732,0.1
0.73,0.732,0.1
0.72,0.72,0
0.72,0.724,0.1
0.72,0.724,0.1
0.72,0.724,0.1
0.72,0.724,0.1
0.72,0.724,0.1
0.72,0.724,0
0.72,0.72,0.1
0.72,0.724,0.1
0.72,0.72,0.1
0.72,0.724,0.1
0.71,0.712,0.1
0.71,0.712,0.1
0.71,0.712,0.1
0.71,0.712,0.1
0.71,0.712,0.1
0.71,0.712,0
0.71,0.712,0.1
0.71,0.712,0.1
0.71,0.712,0.1
0.71,0.716,0.1
0.71,0.712,0.1
0.7,0.704,0.1
0.7,0.7,0.2
0.7,0.704,0.1
0.7,0.7,0.1
0.7,0.704,0.1
0.7,0.7,0.2
0.7,0.704,0.1
0.7,0.704,0.1
0.7,0.704,0
0.7,0.704,0.1
0.7,0.704,0.1
0.69,0.692,0.1
0.69,0.696,0.1
0.69,0.692,0.1
0.69,0.692,0.1
0.69,0.692,0
0.69,0.692,0.1
0.69,0.692,0.1
0.69,0.692,0.1
0.69,0.692,0.1
0.69,0.692,0.1
0.69,0.692,0.1
0.68,0.68,0.1
0.68,0.68,0.2
0.68,0.684,0.1
0.68,0.68,0.1
0.68,0.68,0.1
0.68,0.68,0.1
0.68,0.684,0.1
0.68,0.684,0.1
0.68,0.684,0.1
0.68,0.68,0.1
0.68,0.684,0.1
0.67,0.672,0.1
0.67,0.672,0.1
0.67,0.672,0.1
0.67,0.676,0.1
0.67,0.672,0.1
0.67,0.672,0.1
0.67,0.672,0.1
0.67,0.672,0.1
0.67,0.672,0.1
0.67,0.672,0.1
0.67,0.672,0.1
0.66,0.664,0.1
0.66,0.664,0.1
0.66,0.664,0.1
0.66,0.664,0.1
0.66,0.66,0.1
0.66,0.664,0.1
0.66,0.664,0.1
0.66,0.664,0.1
0.66,0.66,0.1
0.66,0.664,0.1
0.66,0.664,0.1
0.65,0.652,0.1
0.65,0.652,0.1
0.65,0.652,0.1
0.65,0.652,0.1
0.65,0.652,0
0.65,0.652,0.1
0.65,0.652,0.1
0.65,0.652,0.2
0.65,0.652,0.1
0.65,0.652,0.1
0.65,0.652,0.1
0.64,0.644,0.1
0.64,0.644,0.1
0.64,0.64,0
0.64,0.644,0.1
0.64,0.64,0.1
0.64,0.64,0.1
0.64,0.644,0.1
0.64,0.64,0.1
0.64,0.64,0.1
0.64,0.644,0.1
0.64,0.644,0.1
0.63,0.632,0.1
0.63,0.632,0.1
0.63,0.632,0.1
0.63,0.632,0.1
0.63,0.632,0.1
0.63,0.632,0.1
0.63,0.632,0.1
0.63,0.632,0
