Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,Pixel 1_0 PCE,Pixel 1_1 PCE,Pixel 1_2 PCE,Pixel 1_3 PCE,Pixel 1_4 PCE,Pixel 1_5 PCE,Pixel 1_6 PCE,Pixel 1_7 PCE,Pixel 2_0 PCE,Pixel 2_1 PCE,Pixel 2_2 PCE,Pixel 2_3 PCE,Pixel 2_4 PCE,Pixel 2_5 PCE,Pixel 2_6 PCE,Pixel 2_7 PCE,Pixel 3_0 PCE,Pixel 3_1 PCE,Pixel 3_2 PCE,Pixel 3_3 PCE,Pixel 3_4 PCE,Pixel 3_5 PCE,Pixel 3_6 PCE,Pixel 3_7 PCE,ARDUINOID
64.2510, ovf, ovf, 0.06, ovf, 0.06, ovf, 0.11, ovf, 0.12, 0.00, 0.08, 6523091.50, 0.10, 1.29, 0.16, ovf, ovf, 1.88, 0.07, 1642481.87, ovf, 0.02, ovf, 2.48, 0.09, 0.11, 0.06, 1.44, 6559684.00, ovf, ovf, ovf, 0.11, ovf, ovf, 4.45, -409332.96, ovf, 0.05, 0.10, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.15, 3.59, ovf, ovf, 0.12, ovf, 0.11, ovf, 6543804.50, -21.28, ovf, ovf, ovf, ovf, 0.06, ovf, ovf, ovf, ovf, ovf, -515488.4375, nan, ovf, 1.0885, -3100163.7500, ovf, 1.3435, 0.0446, ovf, 1.7885, 0.0700, -2.0291, 0.0613, 0.8597, 2.6090, 2.4374, 2.9577, 0.0323, 2.2444, -1.7908, 2.3621, -34.8866, 4.1403, 4.8119, 4.0055, -1.6244, 0.0038, 4.5573, 0.0045, 0.0386, 0
77.1090, ovf, ovf, 0.08, ovf, 0.04, ovf, 0.11, ovf, 0.13, 0.00, 0.09, 1087183.62, 0.12, 1.26, 0.14, ovf, ovf, 1.93, 0.08, 273747.00, ovf, 0.05, ovf, 2.48, 0.08, 0.10, 0.04, 1.52, 1093280.62, ovf, ovf, ovf, 0.11, ovf, ovf, 4.34, -68222.09, ovf, 0.07, 0.10, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.13, 3.63, ovf, ovf, 0.12, ovf, 0.10, ovf, 1090634.12, -21.23, ovf, ovf, ovf, ovf, 0.04, ovf, ovf, ovf, ovf, ovf, -85914.3359, nan, ovf, 1.0887, -516693.0312, ovf, 1.0735, 0.0168, ovf, 1.7801, 0.0518, -0.0187, 0.0389, 0.8666, 2.6156, 2.8711, 2.9497, 0.0470, 2.2755, -1.8251, 2.3879, -3.3235, 4.1016, 4.6535, 3.9024, -1.6214, 0.0006, 4.5076, 0.0039, 0.0231, 0
89.9670, ovf, ovf, 0.10, ovf, 0.06, ovf, 0.11, ovf, 0.16, 0.00, 0.08, 181198.89, 0.11, 1.29, 0.15, ovf, ovf, 1.90, 0.07, 45624.55, ovf, 0.06, ovf, 2.56, 0.06, 0.07, 0.03, 1.59, 182213.56, ovf, ovf, ovf, 0.11, ovf, ovf, 4.44, -11370.27, ovf, 0.06, 0.10, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.11, 3.67, ovf, ovf, 0.11, ovf, 0.10, ovf, 181772.35, -21.29, ovf, ovf, ovf, ovf, 0.05, ovf, ovf, ovf, ovf, ovf, -14318.4218, nan, ovf, 1.0648, -86114.7734, ovf, 1.2504, 0.0231, ovf, 1.8488, 0.0258, 0.2252, 0.0539, 0.8595, 2.6044, 3.0628, 2.9120, 0.0370, 2.2816, -1.6473, 2.3970, 1.5147, 4.1839, 4.6332, 3.8984, -1.5331, 0.0001, 4.5125, 0.0064, 0.0231, 0
102.8240, ovf, ovf, 0.13, ovf, 0.04, ovf, 0.11, ovf, 0.18, -0.02, 0.09, 30201.43, 0.13, 1.22, 0.14, ovf, ovf, 1.95, 0.04, 7604.16, ovf, 0.04, ovf, 2.53, 0.07, 0.11, 0.03, 1.60, 30369.00, ovf, ovf, ovf, 0.11, ovf, ovf, 4.31, -1894.98, ovf, 0.04, 0.07, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.13, 3.70, ovf, ovf, 0.12, ovf, 0.12, ovf, 30295.41, -21.25, ovf, ovf, ovf, ovf, 0.07, ovf, ovf, ovf, ovf, ovf, -2385.9978, nan, ovf, 1.0764, -14351.6191, ovf, 1.0647, 0.0184, ovf, 1.8141, 0.0522, 0.2726, 0.0277, 0.8666, 2.6397, 2.9524, 2.7136, 0.0171, 2.2187, -1.6181, 2.3830, 2.8293, 4.2479, 4.6920, 4.4324, -1.6058, 0.0000, 4.5002, 0.0094, 0.0304, 0
115.6810, ovf, 1327955072.00, 0.11, 1328513792.00, 0.06, ovf, 0.11, ovf, 0.16, 0.01, 0.08, 5035.27, 0.11, 1.29, 0.11, ovf, ovf, 1.86, 0.01, 1267.44, ovf, 0.06, ovf, 2.52, 0.05, 0.10, 0.03, 1.62, 5061.59, ovf, ovf, ovf, 0.11, ovf, ovf, 4.40, -315.75, ovf, 0.05, 0.11, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.11, 3.73, ovf, ovf, 0.12, ovf, 0.11, ovf, 5049.24, -21.24, ovf, ovf, ovf, ovf, 0.10, ovf, ovf, ovf, ovf, ovf, -396.9976, nan, ovf, 1.1084, -2391.1982, ovf, 1.1990, 0.0057, ovf, 1.8083, 0.0368, 0.2846, 0.0640, 0.8761, 2.6953, 3.0136, 2.8985, 0.0377, 2.2562, -1.7944, 2.3916, 2.6066, 4.2694, 4.7776, 4.0533, -1.6189, 0.0000, 4.4304, 0.0125, 0.0051, 0
128.5400, ovf, 221325840.00, 0.13, 221418960.00, 0.08, ovf, 0.11, ovf, 0.14, 0.00, 0.08, 840.88, 0.13, 1.25, 0.13, ovf, ovf, 1.88, 0.00, 211.29, ovf, 0.08, ovf, 2.50, 0.03, 0.10, 0.03, 1.64, 843.71, ovf, ovf, ovf, 0.11, ovf, ovf, 4.43, -52.55, ovf, 0.04, 0.07, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.11, 3.77, ovf, ovf, 0.12, ovf, 0.12, ovf, 841.55, -21.31, ovf, ovf, ovf, ovf, 0.08, ovf, ovf, ovf, ovf, ovf, -65.2496, nan, ovf, 1.1028, -397.6620, ovf, 1.0146, 0.0009, ovf, 1.8173, 0.0218, 0.2882, 0.0398, 0.8776, 2.7544, 3.0352, 2.7591, 0.0172, 2.2373, -1.6445, 2.3386, 2.5926, 4.2706, 4.8868, 4.5746, -1.6280, 0.0000, 4.4185, 0.0188, 0.0566, 0
141.3970, ovf, 36887640.00, 0.15, 36903160.00, 0.11, ovf, 0.11, ovf, 0.12, 0.00, 0.08, 141.81, 0.11, 1.34, 0.11, ovf, ovf, 1.88, 0.01, 35.27, ovf, 0.10, ovf, 2.52, 0.05, 0.08, 0.03, 1.59, 140.75, ovf, ovf, ovf, 0.11, ovf, ovf, 4.46, -8.68, ovf, 0.01, 0.08, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.10, 3.66, ovf, ovf, 0.12, ovf, 0.14, ovf, 140.27, -21.33, ovf, ovf, ovf, ovf, 0.10, ovf, ovf, ovf, ovf, ovf, -9.7149, nan, ovf, 1.0936, -65.5040, ovf, 1.2369, 0.0028, ovf, 1.8212, 0.0255, 0.2680, 0.0910, 0.8530, 2.7269, 3.0712, 2.9795, 0.0070, 2.2597, -1.8224, 2.3296, 2.4785, 4.1547, 4.7801, 5.3080, -1.6296, 0.0000, 4.5245, 0.0250, 0.0928, 0
154.2530, ovf, 6147942.00, 0.17, 6150526.50, 0.13, ovf, 0.11, ovf, 0.13, 0.00, 0.09, 25.29, 0.13, 1.24, 0.13, ovf, ovf, 1.88, 0.03, 5.96, ovf, 0.05, ovf, 2.55, 0.03, 0.10, 0.03, 1.65, 23.57, ovf, ovf, ovf, 0.11, ovf, ovf, 4.49, -1.37, ovf, 0.00, 0.13, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.10, 3.69, ovf, ovf, 0.12, ovf, 0.13, ovf, 23.39, -21.29, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, ovf, ovf, ovf, -0.2211, nan, ovf, 1.0993, -10.0604, ovf, 1.5178, 0.0187, ovf, 1.8334, 0.0199, 0.2823, 0.0725, 0.8904, 2.7471, 3.0790, 3.0453, 0.0012, 2.2488, -1.9188, 2.3760, 2.4942, 4.2401, 4.7818, 4.7736, -1.6263, 0.0229, 4.5558, 0.0313, 0.1311, 0
167.1090, ovf, 1024658.81, 0.20, 1025089.50, 0.15, -4198759424.00, 0.11, ovf, 0.16, 0.02, 0.08, 5.93, 0.11, 1.27, 0.15, ovf, ovf, 1.86, 0.01, 1.01, ovf, 0.07, ovf, 2.53, 0.01, 0.08, 0.03, 1.61, 4.06, ovf, ovf, ovf, 0.11, ovf, ovf, 4.48, -0.15, ovf, 0.00, 0.10, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.10, 3.67, ovf, ovf, 0.12, ovf, 0.12, ovf, 3.91, -21.31, ovf, ovf, ovf, ovf, 0.14, ovf, ovf, ovf, ovf, ovf, 1.6455, nan, -2003898368.0000, 1.1101, -0.9443, ovf, 1.3093, 0.0036, ovf, 1.8220, 0.0054, 0.2764, 0.0454, 0.8800, 2.7680, 3.0894, 3.1044, 0.0002, 2.2767, -1.6826, 2.3794, 2.5049, 4.1908, 4.7060, 4.6371, -1.6276, 0.0038, 4.5074, 0.0214, 0.0552, 0
179.9660, ovf, 170778.43, 0.22, 170849.93, 0.18, -699793216.00, 0.11, ovf, 0.14, 0.00, 0.08, 2.69, 0.13, 1.25, 0.13, ovf, ovf, 1.88, 0.03, 0.25, ovf, 0.06, ovf, 2.50, 0.00, 0.08, 0.03, 1.58, 0.79, ovf, ovf, ovf, 0.11, ovf, ovf, 4.46, 0.06, ovf, 0.00, 0.10, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.11, 3.71, ovf, ovf, 0.12, ovf, 0.12, ovf, 0.66, -21.35, ovf, 3324999680.00, ovf, 3640124160.00, 0.13, ovf, ovf, 3640528640.00, ovf, ovf, 2.1525, nan, -333983072.0000, 1.1223, 0.7074, ovf, 1.5382, 0.0188, ovf, 1.8096, 0.0009, 0.2796, 0.0503, 0.9033, 2.7790, 3.0595, 3.1835, 0.0000, 2.3093, -1.8929, 2.3842, 2.5412, 4.1116, 4.7221, 4.5914, -1.6306, 0.0121, 4.4722, 0.0171, 0.0847, 0
