Voltage Range: 1.2, , 
Voltage Step Size: 0.05, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
1.2,1.2905,-5.95
1.15,1.3248,-4.37
1.1,1.2691,-2.75
1.05,1.2145,-1.39
1,1.16,-0.22
0.95,1.1043,0.64
0.9,1.0507,1.27
0.85,0.9946,1.74
0.8,0.9386,2.08
0.75,0.8834,2.31
0.7,0.8269,2.51
0.65,0.7741,2.65
0.6,0.7169,2.74
0.55,0.6633,2.78
0.5,0.6069,2.82
0.45,0.5541,2.88
0.4,0.4973,2.88
0.35,0.4433,2.92
0.3,0.3869,2.93
0.25,0.3333,2.94
0.2,0.2769,2.96
0.15,0.2225,2.96
0.1,0.1681,2.98
0.05,0.1141,2.96
0,0.0613,2.97
-0.05,0.0681,2.95
0.05,0.0669,2.96
0.1,0.0613,2.97
0.15,0.1137,2.95
0.2,0.1669,2.95
0.25,0.2233,2.93
0.3,0.2769,2.88
0.35,0.3329,2.88
0.4,0.3869,2.89
0.45,0.4429,2.85
0.5,0.4977,2.87
0.55,0.5541,2.83
0.6,0.6069,2.8
0.65,0.6633,2.77
0.7,0.7177,2.74
0.75,0.7737,2.65
0.8,0.8269,2.53
0.85,0.8842,2.31
0.9,0.9394,2.04
0.95,0.9942,1.66
1,1.0507,1.15
1.05,1.1044,0.43
1.1,1.1593,-0.55
1.15,1.215,-1.79
1.2,1.2679,-3.21
