Voltage Range: ,0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
87.4200, ovf, 0.13, 0.44, 0.12, 0.40, 0.10, 6727.30, nan, 0.29, 0.10, 0.26, 0.10, 0.15, 0.12, 0.33, 0.10, 0.2807, 0.3322, 0.2689, nan, 0.1956, 0.1727, 0.1109, 0.2095, 1
90.2550, ovf, 0.14, 0.44, 0.10, 0.42, 0.10, 1121.31, nan, 0.32, 0.08, 0.26, 0.10, 0.12, 0.12, 0.36, 0.12, 0.2942, 0.2944, 0.2750, nan, 0.1722, 0.1673, 0.0966, 0.2698, 1
93.0900, ovf, 0.14, 0.46, 0.12, 0.44, 0.12, 186.98, nan, 0.34, 0.10, 0.28, 0.10, 0.12, 0.12, 0.38, 0.09, 0.2959, 0.3522, 0.3375, nan, 0.2162, 0.1805, 0.0942, 0.2116, 1
95.9250, ovf, 0.16, 0.46, 0.10, 0.47, 0.12, 31.26, nan, 0.36, 0.08, 0.30, 0.07, 0.12, 0.12, 0.40, 0.06, 0.3321, 0.3103, 0.3635, nan, 0.1964, 0.1296, 0.0933, 0.1681, 1
98.7600, ovf, 0.09, 0.48, 0.12, 0.47, 0.09, 5.30, nan, 0.35, 0.06, 0.32, 0.09, 0.12, 0.12, 0.43, 0.08, 0.1970, 0.3699, 0.2663, nan, 0.1452, 0.1987, 0.0937, 0.2155, 1
101.5950, ovf, 0.12, 0.49, 0.10, 0.45, 0.11, 0.98, nan, 0.37, 0.09, 0.35, 0.10, 0.10, 0.09, 0.41, 0.08, 0.2287, 0.3273, 0.3381, nan, 0.2247, 0.2232, 0.0568, 0.2130, 1
104.4300, ovf, 0.12, 0.51, 0.10, 0.45, 0.10, 0.25, nan, 0.39, 0.10, 0.37, 0.08, 0.10, 0.10, 0.43, 0.05, 0.2490, 0.3332, 0.3006, nan, 0.2510, 0.1997, 0.0615, 0.1292, 1
107.2650, ovf, 0.09, 0.53, 0.13, 0.47, 0.12, 0.13, nan, 0.41, 0.10, 0.35, 0.08, 0.09, 0.12, 0.41, 0.04, 0.1925, 0.4639, 0.3590, nan, 0.2679, 0.1854, 0.0717, 0.1101, 1
110.1000, ovf, 0.11, 0.56, 0.12, 0.49, 0.10, 0.11, nan, 0.40, 0.12, 0.33, 0.10, 0.08, 0.12, 0.39, 0.06, 0.2732, 0.4429, 0.3307, nan, 0.3009, 0.2085, 0.0588, 0.1433, 1
112.9350, ovf, 0.12, 0.56, 0.12, 0.48, 0.08, 0.11, nan, 0.39, 0.07, 0.35, 0.08, 0.09, 0.12, 0.40, 0.06, 0.2710, 0.4384, 0.2608, nan, 0.1783, 0.1873, 0.0718, 0.1567, 1
115.7700, ovf, 0.12, 0.56, 0.09, 0.49, 0.11, 0.11, nan, 0.37, 0.11, 0.37, 0.10, 0.11, 0.10, 0.43, 0.06, 0.2868, 0.3168, 0.3664, nan, 0.2703, 0.2343, 0.0765, 0.1667, 1
118.6050, ovf, 0.12, 0.58, 0.08, 0.52, 0.09, 0.11, nan, 0.37, 0.09, 0.39, 0.12, 0.10, 0.10, 0.45, 0.06, 0.2900, 0.3070, 0.2876, nan, 0.2055, 0.2984, 0.0648, 0.1762, 1
