Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
1.2230,1.20,1.2280,0.0750,1.2170,0.0750,1.2280,0.0000,1.2200,0.0250,1.2120,0.0000,1.2130,0.0000,1.2120,0.0250,1.2200,0.0250,1.2160,0.0250,1.2170,0.0000,1.2240,0.0750,1.2200,0.0500,1.2140,0.1000,1.2200,0.1000,1.2160,0.0500,1.2120,0.0250,1.2160,0.0250,1.2120,0.0000,1.2160,0.0500,1.2120,0.0750,1.2080,0.0500,0.0098,-17.9250,1.2040,0.0500,1.2120,0.0000,1.2080,0.0000,1.2200,0.0250,1.2000,0.0500,0.0088,-17.9000,1.2120,0.0000,1.2070,0.0000,1.2000,0.0250,1.2030,0.0500,0
2.4890,1.17,1.1960,0.0250,1.1880,0.0500,1.1960,0.0500,1.1880,0.0500,1.1830,-0.0250,1.1840,0.0000,1.1820,0.0250,1.1890,0.0500,1.1870,0.0250,1.1860,0.1000,1.1930,0.0500,1.1920,0.0750,1.1840,0.0750,1.1910,0.0500,1.1850,0.0250,1.1800,0.0750,1.1840,0.0250,1.1800,0.0750,1.1860,0.0000,1.1840,0.0500,1.1760,0.0500,0.0097,-17.8250,1.1760,0.0500,1.1820,0.0000,1.1790,0.0000,1.1880,0.0000,1.1690,0.0500,0.0098,-17.8750,1.1830,0.0000,1.1760,0.0000,1.1690,0.0500,1.1720,0.0750,0
3.7560,1.14,1.1640,0.0250,1.1570,0.0500,1.1650,0.1000,1.1600,0.0250,1.1520,0.0000,1.1530,0.0250,1.1520,0.0250,1.1590,0.0500,1.1560,0.0000,1.1560,0.0250,1.1630,0.0000,1.1600,0.0500,1.1520,0.0000,1.1600,0.1000,1.1530,0.0500,1.1490,0.0000,1.1530,0.0250,1.1520,0.0000,1.1560,0.0750,1.1530,0.0750,1.1470,0.0000,0.0098,-17.8000,1.1440,0.0500,1.1510,0.0000,1.1480,0.0000,1.1580,0.0250,1.1400,0.0500,0.0098,-17.8750,1.1520,0.0250,1.1460,0.0000,1.1400,0.0500,1.1420,0.0750,0
5.0210,1.11,1.1360,0.0750,1.1280,0.0750,1.1360,0.0750,1.1280,0.0750,1.1240,0.0000,1.1240,0.0250,1.1210,0.0500,1.1290,0.0000,1.1260,0.0000,1.1280,0.0500,1.1320,0.0750,1.1280,0.0750,1.1220,0.1000,1.1300,0.0500,1.1240,0.0500,1.1200,0.0250,1.1240,0.0250,1.1210,0.0250,1.1280,0.0000,1.1240,0.0750,1.1190,0.0000,0.0097,-17.8500,1.1160,0.0250,1.1200,0.0000,1.1200,0.0000,1.1280,0.0000,1.1090,0.0250,0.0098,-17.8750,1.1240,0.0000,1.1160,0.0000,1.1090,0.0500,1.1130,0.0750,0
6.2870,1.08,1.1070,0.0500,1.0990,0.0500,1.1080,0.0500,1.1010,0.0750,1.0960,-0.0250,1.0930,0.0000,1.0930,0.1000,1.1000,0.0250,1.0980,0.0250,1.1000,0.0500,1.1040,0.1000,1.1000,0.0250,1.0920,0.0750,1.1000,0.0750,1.0940,0.0500,1.0920,0.0500,1.0960,0.0500,1.0920,0.0250,1.0970,0.0500,1.0960,0.0750,1.0880,0.0250,0.0098,-17.5000,1.0840,0.0750,1.0920,0.0000,1.0890,0.0250,1.1000,0.0250,1.0800,0.0500,0.0098,-17.8250,1.0920,0.0250,1.0880,0.0500,1.0800,0.0000,1.0840,0.0500,0
