Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
6.3110,1.08,1.0725,-4.5750,1.0643,-3.2750,1.0721,-1.2000,1.0646,-5.8000,1.0680,0.0000,1.0588,-7.4750,1.0583,-3.1000,1.0644,-4.1000,1.0603,-3.0250,1.0640,0.0750,1.0680,0.0750,1.0626,-15.9250,1.0570,0.0500,1.0646,-6.0750,1.0590,0.0500,1.0556,-6.0000,1.0495,-15.2500,1.0486,-6.3000,1.0547,-7.2500,1.0530,0.1000,1.0448,-8.3500,0.0138,-17.6250,1.0423,-2.9000,1.0478,-8.3750,1.0524,-4.3750,1.0633,-2.6500,1.0443,-3.3750,0.0098,-17.8250,1.0580,0.0000,1.0524,-3.8750,1.0440,0.1000,1.0480,0.0750,0
7.5810,1.05,1.0444,-4.0000,1.0363,-2.7500,1.0441,-1.1000,1.0395,-5.2250,1.0430,0.0250,1.0327,-6.9000,1.0333,-2.7500,1.0404,-3.6000,1.0363,-2.6750,1.0400,0.0750,1.0430,0.0750,1.0376,-15.6750,1.0330,0.0750,1.0406,-5.8750,1.0360,0.0750,1.0295,-5.3500,1.0254,-14.1750,1.0246,-5.6000,1.0306,-6.3000,1.0280,0.0750,1.0208,-7.6000,0.0138,-17.6250,1.0163,-2.7000,1.0248,-7.6000,1.0283,-3.3000,1.0402,-2.0000,1.0203,-2.9750,0.0098,-17.7250,1.0320,0.0000,1.0283,-2.9500,1.0200,0.0250,1.0240,0.1000,0
8.8520,1.02,1.0203,-3.4250,1.0122,-2.3500,1.0201,-0.9500,1.0125,-4.5250,1.0170,0.0500,1.0076,-6.1750,1.0082,-2.4500,1.0153,-3.1000,1.0112,-2.3000,1.0120,0.0500,1.0160,0.0500,1.0135,-14.9000,1.0070,0.0750,1.0145,-5.4250,1.0080,0.1000,1.0045,-4.6500,0.9993,-13.3750,1.0005,-4.8500,1.0045,-5.3750,1.0020,0.0750,0.9957,-7.1500,0.0138,-17.5750,0.9923,-2.5000,0.9997,-6.7750,1.0042,-2.4500,1.0121,-1.2000,0.9943,-2.5250,0.0098,-17.6750,1.0080,0.0000,1.0032,-2.2000,0.9960,0.0500,0.9990,0.0250,0
10.1230,0.99,0.9923,-2.9000,0.9852,-2.0000,0.9951,-0.8250,0.9884,-4.0250,0.9920,0.0250,0.9816,-5.6000,0.9832,-2.2000,0.9883,-2.5750,0.9842,-2.0000,0.9880,0.0500,0.9890,0.1000,0.9854,-14.2500,0.9800,0.1000,0.9885,-5.0750,0.9830,0.0500,0.9764,-4.0250,0.9762,-12.5000,0.9764,-4.0000,0.9795,-4.5750,0.9760,0.1000,0.9706,-6.5000,0.0138,-17.6500,0.9682,-2.3000,0.9726,-6.0500,0.9781,-1.5250,0.9881,-0.4000,0.9682,-2.0750,0.0118,-17.7250,0.9800,0.0000,0.9761,-1.5500,0.9720,0.0500,0.9730,0.0750,0
11.3940,0.96,0.9672,-2.4000,0.9602,-1.6000,0.9681,-0.7750,0.9624,-3.5750,0.9650,0.0000,0.9565,-5.0250,0.9562,-1.9000,0.9642,-2.1000,0.9602,-1.6750,0.9620,0.0500,0.9640,0.0750,0.9614,-13.6250,0.9560,0.1000,0.9605,-4.8000,0.9560,0.0750,0.9523,-3.4000,0.9502,-11.5250,0.9503,-3.4250,0.9554,-3.7250,0.9520,0.1000,0.9456,-5.9000,0.0128,-17.5750,0.9402,-2.0500,0.9485,-5.3500,0.9531,-0.6500,0.9640,0.1000,0.9442,-1.6750,0.0108,-17.7000,0.9560,0.0250,0.9521,-0.6750,0.9440,0.0500,0.9480,0.0750,0
12.6660,0.93,0.9402,-1.8750,0.9321,-1.3000,0.9401,-0.6500,0.9363,-3.1500,0.9400,0.0000,0.9284,-4.5250,0.9312,-1.6500,0.9362,-1.7000,0.9321,-1.3500,0.9360,0.0500,0.9360,0.1000,0.9353,-13.3000,0.9280,0.1000,0.9364,-4.4000,0.9290,0.1000,0.9253,-2.8000,0.9251,-10.8000,0.9243,-2.7750,0.9283,-2.8000,0.9240,0.1000,0.9206,-5.5250,0.0128,-17.5750,0.9152,-1.8750,0.9205,-4.6000,0.9280,0.0750,0.9359,0.6750,0.9181,-1.2000,0.0108,-17.7000,0.9280,0.0250,0.9240,0.0000,0.9200,0.1000,0.9240,0.0750,0
13.9370,0.90,0.9152,-1.4750,0.9081,-1.0000,0.9141,-0.5750,0.9093,-2.7500,0.9130,0.0250,0.9034,-4.0250,0.9041,-1.4250,0.9101,-1.2500,0.9061,-1.1000,0.9080,0.0750,0.9110,0.1000,0.9083,-12.6250,0.9020,0.1250,0.9084,-4.1000,0.9040,0.1000,0.9002,-2.2000,0.9010,-10.1250,0.9002,-2.0000,0.9022,-2.1000,0.8990,0.1250,0.8935,-5.1500,0.0128,-17.5750,0.8882,-1.6000,0.8954,-3.8750,0.8999,0.5750,0.9108,1.5500,0.8911,-0.8000,0.0098,-17.7250,0.9010,0.0000,0.8990,0.4750,0.8920,0.1000,0.8960,0.1000,0
15.2080,0.87,0.8871,-1.0000,0.8801,-0.7250,0.8850,-0.4750,0.8812,-2.4000,0.8840,0.0000,0.8764,-3.6000,0.8751,-1.2000,0.8821,-0.8750,0.8771,-0.7750,0.8800,0.1000,0.8840,0.1250,0.8812,-11.8500,0.8730,0.1000,0.8794,-3.7500,0.8760,0.0250,0.8712,-1.7000,0.8729,-9.0500,0.8721,-1.3500,0.8761,-1.4750,0.8720,0.1000,0.8665,-4.6500,0.0128,-17.5750,0.8621,-1.4000,0.8683,-3.3000,0.8758,1.4250,0.8828,2.1000,0.8641,-0.5000,0.0088,-17.5000,0.8720,0.0000,0.8719,1.0250,0.8640,0.1000,0.8690,0.1000,0
16.4790,0.84,0.8601,-0.6250,0.8521,-0.5000,0.8570,-0.3750,0.8522,-2.1000,0.8560,0.0250,0.8483,-3.2500,0.8481,-1.0000,0.8551,-0.5250,0.8511,-0.5500,0.8520,0.0500,0.8560,0.1000,0.8531,-11.2750,0.8460,0.1500,0.8524,-3.5500,0.8480,0.0500,0.8441,-1.2000,0.8478,-8.2000,0.8441,-0.9000,0.8481,-0.5750,0.8440,0.1000,0.8404,-4.2500,0.0118,-17.5750,0.8361,-1.2250,0.8403,-2.7000,0.8478,2.0750,0.8558,2.2000,0.8370,-0.0750,0.0098,-17.8250,0.8450,0.0000,0.8438,1.8250,0.8370,0.1000,0.8430,0.1000,0
17.7510,0.81,0.8320,-0.3250,0.8240,-0.2750,0.8310,-0.3000,0.8282,-1.8750,0.8280,0.0250,0.8203,-2.9750,0.8201,-0.8000,0.8250,-0.2000,0.8230,-0.3000,0.8260,0.0250,0.8280,0.1250,0.8251,-10.9250,0.8180,0.2000,0.8243,-3.2500,0.8210,0.0500,0.8161,-0.7000,0.8198,-7.8000,0.8160,-0.3000,0.8230,0.0500,0.8160,0.1000,0.8124,-3.9750,0.0118,-17.6000,0.8081,-1.1000,0.8142,-2.0500,0.8198,2.2750,0.8277,2.8000,0.8080,0.3000,0.0108,-17.7250,0.8190,0.0500,0.8158,2.1500,0.8100,0.1500,0.8160,0.1000,0
