209.8040, 401.73, 0.20, 1.42, nan, ovf, ovf, 1.01, 0.11, ovf, ovf, ovf, 0.02, 0.95, ovf, 0.79, 1.37, nan, 1.42, ovf, ovf, ovf, ovf, ovf, 1.51, ovf, ovf, ovf, ovf, ovf, 1.27, ovf, ovf, ovf, ovf, ovf, ovf, 0.92, -414251.78, ovf, 1.61, 0.67, ovf, 0.17, ovf, 0.93, 0.24, ovf, ovf, -373061.71, ovf, 1.44, 0.03, ovf, ovf, 1.06, 0.09, 1483772288.00, ovf, ovf, ovf, 0.90, ovf, ovf, nan, ovf, ovf, 0.5474, ovf, ovf, nan, ovf, ovf, ovf, ovf, 0.9664, ovf, ovf, ovf, ovf, ovf, 5.1970, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.1474, ovf, ovf, 0.3979, 0
213.1130, 67.68, 0.20, 1.43, nan, ovf, ovf, 1.00, 0.12, ovf, ovf, ovf, 0.00, 0.95, ovf, 0.79, 1.39, nan, 1.35, ovf, ovf, ovf, ovf, ovf, 1.52, ovf, ovf, ovf, ovf, ovf, 1.31, ovf, ovf, ovf, ovf, ovf, ovf, 0.92, -69041.87, ovf, 1.57, 0.66, ovf, 0.17, ovf, 0.93, 0.22, ovf, ovf, -62176.05, ovf, 1.44, 0.02, ovf, ovf, 1.05, 0.08, 247295376.00, ovf, ovf, ovf, 0.91, ovf, ovf, nan, ovf, ovf, 0.0912, ovf, ovf, nan, ovf, ovf, ovf, ovf, 0.8835, ovf, ovf, ovf, ovf, ovf, 7.5255, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.1527, ovf, ovf, 0.5116, 0
216.4200, 12.01, 0.20, 1.43, nan, ovf, ovf, 0.99, 0.12, ovf, ovf, ovf, 0.00, 0.96, ovf, 0.79, 1.37, nan, 1.34, ovf, ovf, ovf, ovf, ovf, 1.45, ovf, ovf, ovf, ovf, ovf, 1.30, ovf, ovf, ovf, ovf, ovf, ovf, 0.92, -11506.88, ovf, 1.53, 0.64, ovf, 0.17, ovf, 0.93, 0.22, ovf, ovf, -10361.78, ovf, 1.44, 0.04, ovf, ovf, 1.04, 0.05, 41215896.00, ovf, ovf, ovf, 0.92, ovf, ovf, nan, ovf, ovf, 0.7678, ovf, ovf, nan, ovf, ovf, ovf, ovf, 0.8696, ovf, ovf, ovf, ovf, ovf, 7.8599, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, -0.1037, ovf, ovf, 0.8285, 0
219.7290, 2.73, 0.20, 1.43, nan, ovf, ovf, 0.97, 0.10, ovf, ovf, ovf, 0.02, 0.95, ovf, 0.79, 1.41, nan, 1.32, ovf, ovf, ovf, ovf, ovf, 1.44, ovf, ovf, ovf, ovf, ovf, 1.33, ovf, ovf, ovf, ovf, ovf, ovf, 0.92, -1917.71, ovf, 1.50, 0.63, ovf, 0.17, ovf, 0.93, 0.22, ovf, ovf, -1726.08, ovf, 1.44, 0.04, ovf, ovf, 1.03, 0.07, 6869316.00, ovf, ovf, ovf, 0.94, ovf, ovf, nan, ovf, ovf, 0.7248, ovf, ovf, nan, ovf, ovf, ovf, ovf, 0.7465, ovf, ovf, ovf, ovf, ovf, 7.9645, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.3739, ovf, ovf, 0.8808, 0
223.0370, 1.18, 0.20, 1.43, nan, ovf, ovf, 0.96, 0.12, ovf, ovf, ovf, 0.02, 0.96, ovf, 0.79, 1.32, nan, 1.34, ovf, ovf, ovf, ovf, ovf, 1.44, ovf, ovf, ovf, ovf, ovf, 1.34, ovf, ovf, ovf, ovf, ovf, ovf, 0.92, -319.52, ovf, 1.47, 0.62, ovf, 0.17, ovf, 0.93, 0.24, ovf, ovf, -286.81, ovf, 1.44, 0.04, ovf, ovf, 1.02, 0.06, 1144887.00, ovf, ovf, ovf, 0.95, ovf, ovf, nan, ovf, ovf, 0.7125, ovf, ovf, nan, ovf, ovf, -2603767296.0000, ovf, 0.8468, ovf, ovf, ovf, -2188048384.0000, ovf, 7.5821, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.1941, ovf, ovf, 0.5932, 0
226.3470, 0.92, 0.18, 1.43, nan, ovf, ovf, 0.95, 0.10, ovf, ovf, ovf, 0.00, 0.96, ovf, 0.79, 1.35, nan, 1.32, ovf, ovf, ovf, ovf, ovf, 1.44, ovf, ovf, ovf, ovf, ovf, 1.32, ovf, ovf, ovf, ovf, ovf, ovf, 0.92, -53.15, ovf, 1.43, 0.61, ovf, 0.17, ovf, 0.93, 0.21, ovf, ovf, -46.94, ovf, 1.44, 0.01, ovf, ovf, 1.01, 0.09, 190815.50, ovf, ovf, ovf, 0.96, ovf, ovf, nan, ovf, ovf, 0.8531, ovf, ovf, nan, ovf, ovf, -433961216.0000, ovf, 1.1036, ovf, ovf, ovf, -364674720.0000, ovf, 7.4698, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.0323, ovf, ovf, 0.5447, 0
229.6560, 0.88, 0.16, 1.43, nan, ovf, ovf, 0.93, 0.10, ovf, ovf, ovf, 0.03, 0.96, ovf, 0.79, 1.33, nan, 1.32, ovf, ovf, ovf, ovf, ovf, 1.39, ovf, ovf, ovf, ovf, ovf, 1.34, ovf, ovf, -2304263680.00, ovf, ovf, ovf, 0.92, -8.76, ovf, 1.37, 0.60, ovf, 0.17, ovf, 0.93, 0.23, ovf, ovf, -6.97, ovf, 1.44, 0.02, ovf, ovf, 0.99, 0.07, 31803.62, ovf, ovf, ovf, 0.97, ovf, ovf, nan, ovf, ovf, 0.5781, ovf, ovf, nan, ovf, ovf, -72326864.0000, ovf, 0.9058, ovf, ovf, ovf, -60779124.0000, ovf, 7.5401, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.1398, ovf, ovf, 0.8345, 0
232.9650, 0.87, 0.16, 1.43, nan, ovf, ovf, 0.92, 0.10, ovf, ovf, ovf, 0.02, 0.95, ovf, 0.79, 1.35, nan, 1.30, ovf, ovf, ovf, ovf, ovf, 1.42, ovf, ovf, ovf, ovf, ovf, 1.34, ovf, ovf, -384043936.00, ovf, ovf, ovf, 0.92, -1.36, ovf, 1.33, 0.58, ovf, 0.17, ovf, 0.93, 0.22, ovf, ovf, -0.32, ovf, 1.44, 0.05, ovf, ovf, 0.98, 0.09, 5301.65, ovf, ovf, ovf, 0.99, ovf, ovf, nan, ovf, ovf, 0.5286, ovf, ovf, nan, ovf, ovf, -12054470.0000, ovf, 0.8728, ovf, ovf, ovf, -10129850.0000, ovf, 7.3737, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.4311, ovf, ovf, 0.7349, 0
236.2760, 0.87, 0.19, 1.43, nan, ovf, ovf, 0.91, 0.12, ovf, ovf, ovf, 0.02, 0.96, ovf, 0.79, 1.33, nan, 1.32, ovf, ovf, ovf, ovf, ovf, 1.40, ovf, ovf, ovf, ovf, ovf, 1.41, ovf, ovf, -64007324.00, ovf, ovf, ovf, 0.92, -0.13, ovf, 1.30, 0.57, ovf, 0.17, -785930304.00, 0.93, 0.20, ovf, ovf, 0.78, ovf, 1.44, 0.03, ovf, ovf, 0.97, 0.08, 884.66, ovf, ovf, ovf, 1.00, ovf, ovf, nan, ovf, ovf, 0.8016, ovf, ovf, nan, ovf, ovf, -2009072.2500, ovf, 1.1080, ovf, ovf, ovf, -1688305.5000, ovf, 7.2975, ovf, ovf, ovf, ovf, ovf, -1851721984.0000, ovf, ovf, ovf, ovf, ovf, 0.0719, ovf, ovf, 0.8662, 0
239.5860, 0.87, 0.18, 1.43, nan, ovf, ovf, 0.90, 0.14, ovf, ovf, ovf, 0.02, 0.96, ovf, 0.79, 1.32, nan, 1.32, ovf, ovf, -2469854464.00, ovf, ovf, 1.38, ovf, ovf, ovf, ovf, ovf, 1.40, ovf, ovf, -10667887.00, ovf, ovf, ovf, 0.92, 0.03, ovf, 1.25, 0.56, ovf, 0.17, -130988384.00, 0.93, 0.22, ovf, 2820353792.00, 0.95, ovf, 1.44, 0.02, ovf, ovf, 0.96, 0.06, 148.51, ovf, -2775072512.00, ovf, 1.01, ovf, ovf, nan, ovf, ovf, 0.6998, ovf, ovf, nan, -3383148288.0000, ovf, -334839.2500, ovf, 1.0268, ovf, ovf, ovf, -281381.5000, -1157911552.0000, 7.1676, ovf, ovf, ovf, ovf, ovf, -308620320.0000, ovf, ovf, ovf, ovf, ovf, 0.1505, ovf, ovf, 0.5907, 0
242.9030, 0.87, 0.18, 1.43, nan, ovf, ovf, 0.89, 0.11, ovf, ovf, ovf, 0.04, 0.96, ovf, 0.79, 1.34, nan, 1.29, ovf, ovf, -411642400.00, ovf, ovf, 1.33, ovf, ovf, ovf, ovf, ovf, 1.42, ovf, ovf, -1777981.12, ovf, ovf, ovf, 0.92, 0.09, ovf, 1.21, 0.55, ovf, 0.17, -21831398.00, 0.93, 0.22, ovf, 470058976.00, 0.97, ovf, 1.44, 0.04, ovf, ovf, 0.94, 0.11, 25.82, ovf, -462512096.00, ovf, 1.02, ovf, ovf, nan, ovf, ovf, 0.3968, ovf, ovf, nan, -563858176.0000, ovf, -55800.6289, ovf, 0.8930, ovf, ovf, ovf, -46894.2695, -192985248.0000, 6.9642, ovf, ovf, ovf, ovf, ovf, -51436720.0000, ovf, ovf, ovf, ovf, ovf, 0.1647, ovf, ovf, 0.3958, 0
246.2170, 0.87, 0.18, 1.43, nan, ovf, ovf, 0.88, 0.12, ovf, ovf, ovf, 0.01, 0.95, ovf, 0.79, 1.34, nan, 1.30, ovf, ovf, -68607064.00, ovf, ovf, 1.36, ovf, ovf, ovf, ovf, ovf, 1.44, ovf, ovf, -296329.68, ovf, ovf, ovf, 0.92, 0.10, ovf, 1.12, 0.54, ovf, 0.17, -3638565.25, 0.93, 0.22, ovf, 78343160.00, 0.96, ovf, 1.44, 0.04, ovf, ovf, 0.93, 0.09, 5.39, ovf, -77085352.00, ovf, 1.03, ovf, ovf, nan, ovf, ovf, 0.4833, ovf, ovf, nan, -93976344.0000, ovf, -9294.0966, ovf, 0.8707, ovf, ovf, ovf, -7813.1186, -32164210.0000, 6.8777, ovf, ovf, ovf, ovf, ovf, -8572787.0000, ovf, ovf, ovf, ovf, ovf, 0.0274, ovf, ovf, 0.5118, 0
249.5300, 0.87, 0.21, 1.42, nan, ovf, ovf, 0.87, 0.09, ovf, ovf, ovf, 0.02, 0.95, ovf, 0.79, 1.36, nan, 1.32, ovf, ovf, -11434511.00, -3215849728.00, ovf, 1.39, ovf, ovf, ovf, ovf, ovf, 1.44, ovf, 1673734784.00, -49387.81, ovf, ovf, ovf, 0.92, 0.12, ovf, 1.09, 0.53, ovf, 0.17, -606426.56, 0.93, 0.24, ovf, 13057193.00, 0.95, ovf, 1.44, 0.02, ovf, ovf, 0.92, 0.10, 1.99, ovf, -12847559.00, ovf, 1.04, ovf, ovf, nan, ovf, ovf, 0.7681, ovf, ovf, nan, -15662725.0000, ovf, -1542.9040, ovf, 0.8670, ovf, ovf, ovf, -1299.6750, -5360695.5000, 6.7695, ovf, ovf, ovf, ovf, ovf, -1428796.7500, ovf, ovf, ovf, ovf, ovf, 0.1468, ovf, ovf, 0.5311, 0
252.8460, 0.87, 0.22, 1.43, nan, ovf, ovf, 0.85, 0.11, ovf, ovf, ovf, 0.02, 0.95, ovf, 0.79, 1.34, nan, 1.30, ovf, ovf, -1905750.87, -535974944.00, ovf, 1.38, ovf, ovf, ovf, ovf, ovf, 1.42, ovf, 278955808.00, -8230.83, ovf, ovf, ovf, 0.92, 0.10, ovf, 1.01, 0.51, ovf, 0.17, -101070.06, 0.93, 0.21, ovf, 2176198.75, 0.94, ovf, 1.44, 0.02, ovf, ovf, 0.91, 0.12, 1.43, ovf, -2141258.75, ovf, 1.05, ovf, ovf, nan, ovf, ovf, 0.9530, ovf, ovf, nan, -2610453.2500, ovf, -251.1313, -2379343872.0000, 0.8664, ovf, ovf, ovf, -214.2407, -893443.0000, 6.6796, ovf, ovf, ovf, ovf, ovf, -238131.7812, ovf, ovf, ovf, ovf, ovf, 0.0245, ovf, ovf, 0.5349, 0
256.1620, 0.87, 0.17, 1.43, nan, ovf, ovf, 0.84, 0.10, ovf, ovf, ovf, 0.05, 0.96, ovf, 0.79, 1.34, nan, 1.25, ovf, ovf, -317624.28, -89329160.00, ovf, 1.38, ovf, ovf, ovf, ovf, ovf, 1.44, ovf, 46492636.00, -1371.35, ovf, ovf, ovf, 0.92, 0.12, ovf, 0.94, 0.50, -2530420224.00, 0.17, -16843.99, 0.93, 0.22, ovf, 362699.78, 0.93, ovf, 1.44, 0.02, ovf, ovf, 0.90, 0.14, 1.35, ovf, -356875.71, ovf, 1.07, ovf, ovf, nan, ovf, ovf, 0.9843, ovf, ovf, nan, -435074.6562, ovf, -36.1186, -396557312.0000, 0.8663, ovf, ovf, ovf, -33.3829, -148900.7031, 6.5620, ovf, ovf, ovf, ovf, ovf, -39687.5234, ovf, ovf, ovf, ovf, ovf, 0.4385, ovf, ovf, 0.3860, 0
259.4770, 0.87, 0.18, 1.43, nan, ovf, ovf, 0.83, 0.12, ovf, ovf, ovf, 0.06, 0.96, ovf, 0.79, 1.34, nan, 1.24, ovf, ovf, -52936.44, -14888193.00, ovf, 1.40, ovf, ovf, ovf, ovf, ovf, 1.47, ovf, 7748772.50, -228.11, ovf, ovf, ovf, 0.92, 0.12, ovf, 0.86, 0.49, -421736704.00, 0.17, -2806.30, 0.93, 0.20, ovf, 60449.96, 0.92, ovf, 1.44, 0.02, ovf, ovf, 0.88, 0.11, 1.35, ovf, -59478.47, ovf, 1.08, ovf, ovf, nan, ovf, ovf, 0.7141, ovf, ovf, nan, -72511.6171, ovf, -0.2837, -66092888.0000, 0.7459, ovf, ovf, ovf, -3.2848, -24810.3750, 6.4002, ovf, ovf, ovf, ovf, ovf, -6613.5766, ovf, ovf, ovf, ovf, ovf, 0.2189, ovf, ovf, 0.6591, 0
262.7910, 0.87, 0.20, 1.42, nan, ovf, ovf, 0.82, 0.12, ovf, ovf, ovf, 0.03, 0.95, ovf, 0.79, 1.34, nan, 1.27, ovf, ovf, -8821.81, -2481365.50, ovf, 1.37, ovf, ovf, ovf, ovf, ovf, 1.48, ovf, 1291463.25, -37.58, ovf, ovf, ovf, 0.92, 0.12, ovf, 0.76, 0.48, -70289448.00, 0.17, -466.68, 0.93, 0.22, ovf, 10074.99, 0.90, ovf, 1.44, 0.02, ovf, ovf, 0.87, 0.12, 1.36, ovf, -9912.26, ovf, 1.09, ovf, ovf, nan, ovf, ovf, 0.9372, ovf, ovf, nan, -12084.5410, ovf, 5.8685, -11015480.0000, 0.8462, ovf, ovf, ovf, 1.6483, -4128.8974, 6.2784, ovf, ovf, ovf, ovf, ovf, -1101.1512, ovf, ovf, ovf, ovf, ovf, 0.0365, ovf, ovf, 0.8536, 0
266.1050, 0.87, 0.18, 1.43, nan, ovf, ovf, 0.80, 0.12, ovf, ovf, ovf, 0.00, 0.95, ovf, 0.79, 1.36, nan, 1.26, ovf, ovf, -1469.38, -413560.90, ovf, 1.34, ovf, ovf, ovf, ovf, ovf, 1.45, ovf, 215245.12, -5.83, ovf, ovf, ovf, 0.92, 0.12, ovf, 0.71, 0.47, -11714908.00, 0.17, -76.73, 0.93, 0.22, ovf, 1679.18, 0.89, ovf, 1.44, 0.04, ovf, ovf, 0.86, 0.09, 1.37, ovf, -1651.22, ovf, 1.10, ovf, ovf, nan, ovf, ovf, 0.9744, ovf, ovf, nan, -2013.2622, ovf, 6.7960, -1835912.8750, 0.8629, ovf, ovf, ovf, 2.3298, -681.7340, 6.2435, ovf, ovf, ovf, ovf, ovf, -182.4138, ovf, ovf, ovf, ovf, ovf, -0.1429, ovf, ovf, 0.4397, 0
269.4180, 0.87, 0.21, 1.43, nan, ovf, ovf, 0.79, 0.12, ovf, ovf, ovf, 0.02, 0.96, ovf, 0.79, 1.33, nan, 1.24, -1685348224.00, ovf, -243.97, -68926.73, ovf, 1.36, ovf, ovf, ovf, ovf, ovf, 1.51, ovf, 35875.44, -0.55, ovf, ovf, ovf, 0.92, 0.12, ovf, 0.65, 0.45, -1952483.50, 0.17, -11.74, 0.93, 0.20, ovf, 279.86, 0.88, ovf, 1.44, 0.07, ovf, ovf, 0.85, 0.11, 1.38, ovf, -274.38, ovf, 1.12, ovf, ovf, nan, ovf, ovf, 0.7077, ovf, ovf, nan, -334.7146, ovf, 6.8636, -305985.4062, 0.8657, ovf, ovf, ovf, 2.4454, -107.3736, 6.1247, ovf, ovf, ovf, ovf, ovf, -29.3919, ovf, ovf, ovf, ovf, ovf, -0.0238, ovf, ovf, 0.6675, 0
272.7290, 0.87, 0.22, 1.43, nan, ovf, ovf, 0.78, 0.09, ovf, ovf, ovf, 0.02, 0.95, ovf, 0.79, 1.34, nan, 1.24, -280891360.00, ovf, -39.74, -11487.69, ovf, 1.31, ovf, ovf, ovf, ovf, ovf, 1.48, ovf, 5980.47, 0.32, ovf, ovf, ovf, 0.92, 0.12, ovf, 0.54, 0.44, -325412.43, 0.17, -0.89, 0.93, 0.23, ovf, 46.63, 0.87, ovf, 1.44, 0.06, ovf, ovf, 0.84, 0.14, 1.39, ovf, -44.91, ovf, 1.13, ovf, ovf, nan, ovf, ovf, 0.6638, ovf, ovf, nan, -54.9571, -3061597696.0000, 6.8806, -50997.1796, 0.8661, ovf, -2964407808.0000, ovf, 2.4105, -11.7301, 6.0376, ovf, ovf, ovf, ovf, ovf, -3.6862, ovf, ovf, 1503852288.0000, ovf, ovf, -0.0040, ovf, ovf, 0.5571, 0
276.0440, 0.87, 0.20, 1.43, nan, ovf, ovf, 0.77, 0.10, ovf, ovf, ovf, 0.02, 0.96, ovf, 0.79, 1.32, nan, 1.26, -46815228.00, ovf, -5.70, -1914.53, ovf, 1.23, ovf, ovf, ovf, -1190966912.00, ovf, 1.46, ovf, 998.01, 0.45, ovf, ovf, ovf, 0.92, 0.12, ovf, 0.47, 0.43, -54233.97, 0.17, 0.90, 0.93, 0.22, ovf, 7.77, 0.86, -2861591296.00, 1.44, 0.06, ovf, ovf, 0.82, 0.12, 1.41, ovf, -6.67, ovf, 1.14, ovf, ovf, nan, ovf, ovf, 0.9205, ovf, ovf, nan, -8.2267, -510266336.0000, 6.9865, -8499.4316, 0.7459, ovf, -494067936.0000, ovf, 2.3777, 4.3641, 5.7961, ovf, ovf, ovf, ovf, ovf, 0.4971, ovf, ovf, 250642048.0000, ovf, ovf, 0.1519, ovf, ovf, 0.8366, 0
279.3590, 0.87, 0.23, 1.43, nan, ovf, ovf, 0.76, 0.10, ovf, ovf, ovf, 0.00, 0.95, ovf, 0.79, 1.34, nan, 1.24, -7802538.00, ovf, -0.03, -318.99, ovf, 1.27, ovf, ovf, -2437641728.00, -198494480.00, ovf, 1.48, ovf, 167.62, 0.47, ovf, ovf, ovf, 0.92, 0.12, ovf, 0.36, 0.42, -9037.55, 0.17, 1.20, 0.93, 0.24, ovf, 1.28, 0.84, -476931872.00, 1.44, 0.06, 2783313152.00, ovf, 0.81, 0.10, 1.42, ovf, -0.29, ovf, 1.15, ovf, 2954012672.00, nan, ovf, ovf, 0.6940, ovf, ovf, nan, -0.6461, -85044384.0000, 6.9063, -1416.4761, 0.8462, ovf, -82344664.0000, ovf, 2.4055, 7.1428, 5.7381, ovf, ovf, ovf, ovf, ovf, 1.2953, ovf, ovf, 41773672.0000, ovf, ovf, 0.1790, ovf, -3993308672.0000, 0.7342, 0
