Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,600,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Nov-09-2023 13_54_20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 1_8 V,Pixel 1_8 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,ARUDUINOID
3.3440, ovf, 2.75, ovf, -1.79, ovf, -1.88, ovf, 0.02, -949802.81, ovf, -0.00, 0.05, 0.06, 2.80, 0.06, 2.70, ovf, ovf, -0.0028, -0.0042, nan, -0.0000, 1.3939, 1.2522, 0
6.6980, ovf, 2.93, ovf, -2.25, ovf, -2.24, ovf, 0.02, -86345.65, ovf, -0.00, 0.04, 0.07, 2.98, 0.06, 2.86, ovf, ovf, -0.0036, -0.0004, nan, -0.0000, 1.4306, 1.2540, 0
10.0500, ovf, 2.88, ovf, -2.37, ovf, -2.29, ovf, 0.02, -7849.55, ovf, -0.00, 0.03, 0.07, 2.93, 0.06, 2.77, ovf, ovf, -0.0037, -0.0000, nan, -0.0000, 1.3688, 1.1497, 0
13.4040, ovf, 2.79, ovf, -2.39, ovf, -2.36, ovf, 0.03, -713.54, ovf, -0.00, 0.03, 0.07, 2.87, 0.06, 2.70, ovf, ovf, -0.0039, -0.0000, nan, -0.0000, 1.3302, 1.0933, 0
16.7560, ovf, 2.72, ovf, -2.41, ovf, -2.32, ovf, 0.01, -64.82, ovf, -0.00, 0.03, 0.06, 2.85, 0.05, 2.64, ovf, ovf, -0.0039, -0.0000, nan, -0.0000, 1.2861, 1.0183, 0
20.1100, ovf, 2.67, ovf, -2.42, ovf, -2.35, ovf, 0.02, -5.84, ovf, -0.00, 0.01, 0.11, 2.74, 0.10, 2.49, ovf, ovf, -0.0039, -0.0000, nan, -0.0000, 2.0510, 1.7730, 0
23.4630, ovf, 2.63, ovf, -2.42, ovf, -2.33, ovf, 0.05, -0.48, ovf, -0.00, 0.02, 0.21, 2.57, 0.20, 2.29, ovf, ovf, -0.0039, -0.0000, nan, -0.0000, 3.8044, 3.2649, 0
26.8150, ovf, 2.58, ovf, -2.43, ovf, -2.38, ovf, 0.01, 0.01, ovf, 0.10, 0.03, 0.32, 2.40, 0.31, 2.10, ovf, ovf, -0.0040, -0.0000, nan, 0.0219, 5.4132, 4.6077, 0
