D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0
7.727047	-0.047101	0.0191328125	7.727047	-0.007148	-0.00959375	7.727047	0.718091	14.512101562499998	7.727047	0.087392	0.002265625	7.727047	0.079318	0.006703125	7.727047	0.706294	16.2049375	7.727047	0.706699	14.711671875	7.727047	-0.033953	-0.004242187499999999
8.009722	-0.014498	0.0018281249999999999	8.009722	-0.017234	-0.001640625	8.009722	0.714074	14.572554687499998	8.009722	0.087584	0.0037578125	8.009722	0.079329	-0.0044375000000000005	8.009722	0.710015	16.1096328125	8.009722	0.706408	14.6837109375	8.009722	-0.090861	-0.0196640625
8.538063	0.033011	0.0058828125	8.538063	-0.034815	-0.004671875	8.538063	0.717984	14.51446875	8.538063	0.044137	0.0084375	8.538063	0.046566	0.0064140625	8.538063	0.706152	16.194234375	8.538063	0.706245	14.668624999999999	8.538063	-0.129842	-0.0104609375
9.066992	0.085592	-0.0075234375	9.066992	-0.004533	0.008578125	9.066992	0.717992	14.508828124999999	9.066992	0.04141	0.0036640625000000002	9.066992	0.013642	0.0023125	9.066992	0.707814	16.1604921875	9.066992	0.708305	14.656578125	9.066992	-0.075844	-0.00125
9.59666	0.040415	0.007664062500000001	9.59666	0.020303	0.0009609375000000001	9.59666	0.719932	14.4757109375	9.59666	0.028828	0.014171875	9.59666	0.008741	0.007859375	9.59666	0.705971	16.202671875	9.59666	0.71624	14.530953124999998	9.59666	-0.031381	0.0064609375000000005
10.128252	0.03023	-0.0083359375	10.128252	0.000338	0.00684375	10.128252	0.71803	14.5115703125	10.128252	0.026203	-0.011085937499999999	10.128252	-0.001454	-0.0111328125	10.128252	0.707765	16.1604921875	10.128252	0.726166	14.347624999999999	10.128252	0.010774	0.0013046874999999999
10.655949	0.010333	0.0106484375	10.655949	-0.004721	-0.000625	10.655949	0.71627	14.554234375	10.655949	-0.024915	-0.0031328124999999997	10.655949	-0.026592	-0.00515625	10.655949	0.707807	16.156781249999998	10.655949	0.724479	14.4028203125	10.655949	0.045308	0.005203125
11.198983	-0.007358	-0.007375	11.198983	-0.007288	-0.009640625	11.198983	0.718101	14.5164921875	11.198983	-0.00449	0.0126328125	11.198983	-0.001424	0.004671875	11.198983	0.711448	16.067796875	11.198983	0.720684	14.47609375	11.198983	0.008319	-0.0032265625
11.727029	-0.06741	0.0077109375	11.727029	-0.037196	-0.0001484375	11.727029	0.717941	14.51803125	11.727029	0.026108	0.0018281249999999999	11.727029	-0.00389	0.0022187500000000002	11.727029	0.713363	16.026531249999998	11.727029	0.724727	14.409999999999998	11.727029	-0.016226	0.0031328124999999997
12.00594	-0.064931	0.009546875	12.00594	-0.002048	0.0	12.00594	0.722008	14.441046875	12.00594	-0.009438	-0.0023125	12.00594	0.003605	-0.015132812499999999	12.00594	0.713172	16.013226562499998	12.00594	0.73077	14.3219765625	12.00594	0.018284	-0.009546875
12.531043	-0.024825	-0.0053984375	12.531043	-0.024638	-0.007515625	12.531043	0.718129	14.519625	12.531043	-0.004683	0.00033593750000000003	12.531043	-0.036655	-0.0004375	12.531043	0.713247	16.014140625	12.531043	0.732766	14.2795625	12.531043	0.010876	-0.0075703125
13.053902	0.015226	-0.0095	13.053902	-0.03707	0.010125	13.053902	0.720018	14.491328124999999	13.053902	-0.007213	-0.0064140625	13.053902	-0.016579	-0.013015625	13.053902	0.71341	16.01978125	13.053902	0.729542	14.4192578125	13.053902	-0.00901	0.00409375
13.581317	-0.009766	0.00346875	13.581317	0.005339	-0.013062500000000001	13.581317	0.718142	14.531140624999999	13.581317	-0.040569	-0.00559375	13.581317	-0.024065	0.0099296875	13.581317	0.713238	16.016890625	13.581317	0.723634	14.53090625	13.581317	0.010714	-0.0029921874999999996
14.108873	-0.014759	-0.004484375	14.108873	-0.006935	-0.0038593749999999995	14.108873	0.720131	14.487953124999999	14.108873	-0.009719	-0.0058828125	14.108873	0.001111	0.0065078125	14.108873	0.711416	16.055257812500003	14.108873	0.723238	14.5093046875	14.108873	0.042849	0.001640625
14.635415	0.035604	0.0082421875	14.635415	-0.0548	-0.002703125	14.635415	0.721934	14.4492890625	14.635415	-0.007182	-0.01128125	14.635415	0.03372	-0.0099296875	14.635415	0.711386	16.049765625	14.635415	0.721098	14.5381796875	14.635415	-0.001723	-0.0007265625
15.163182	0.075387	0.0069453125	15.163182	-0.037157	-0.004046875	15.163182	0.72001	14.4850625	15.163182	-0.040477	0.0019765625	15.163182	-0.009093	-0.0016875	15.163182	0.713112	16.0127890625	15.163182	0.722974	14.499765624999998	15.163182	-0.004149	0.0062656249999999995
