D1__testMartin__p1__Dark__Rv__scan0	D1__testMartin__p1__Dark__Rv__scan0	D1__testMartin__p1__Dark__Fw__scan0	D1__testMartin__p1__Dark__Fw__scan0	D1__testMartin__p2__Dark__Rv__scan0	D1__testMartin__p2__Dark__Rv__scan0	D1__testMartin__p2__Dark__Fw__scan0	D1__testMartin__p2__Dark__Fw__scan0	D1__testMartin__p3__Dark__Rv__scan0	D1__testMartin__p3__Dark__Rv__scan0	D1__testMartin__p3__Dark__Fw__scan0	D1__testMartin__p3__Dark__Fw__scan0	D1__testMartin__p4__Dark__Rv__scan0	D1__testMartin__p4__Dark__Rv__scan0	D1__testMartin__p4__Dark__Fw__scan0	D1__testMartin__p4__Dark__Fw__scan0	D1__testMartin__p5__Dark__Rv__scan0	D1__testMartin__p5__Dark__Rv__scan0	D1__testMartin__p5__Dark__Fw__scan0	D1__testMartin__p5__Dark__Fw__scan0	D1__testMartin__p6__Dark__Rv__scan0	D1__testMartin__p6__Dark__Rv__scan0	D1__testMartin__p6__Dark__Fw__scan0	D1__testMartin__p6__Dark__Fw__scan0	D1__testMartin__p7__Dark__Rv__scan0	D1__testMartin__p7__Dark__Rv__scan0	D1__testMartin__p7__Dark__Fw__scan0	D1__testMartin__p7__Dark__Fw__scan0	D1__testMartin__p8__Dark__Rv__scan0	D1__testMartin__p8__Dark__Rv__scan0	D1__testMartin__p8__Dark__Fw__scan0	D1__testMartin__p8__Dark__Fw__scan0
1.26996	0.0035703124999999997	-0.069653	0.0133046875	1.269205	0.0075234375	-0.071748	0.018703124999999998	1.285396	-23.294195312499998	-0.072201	0.33904687499999997	1.274115	0.0021171874999999997	-0.069857	-0.000484375	1.272414	0.0019296874999999998	-0.071554	-0.00038281249999999996	1.282934	-16.812375	-0.070207	0.071046875	1.287148	-28.792820312499998	-0.072072	0.25344531249999996	1.272343	0.011375	-0.070659	0.0030859375
1.260107	-0.0078125	-0.059495	-0.00328125	1.259668	0.0019296874999999998	-0.056841	0.004625	1.273856	-22.3215078125	-0.05787	0.2857421875	1.259078	-0.0105078125	-0.059923	0.012046875	1.258007	-0.00328125	-0.061305	-0.00125	1.269886	-15.935906249999999	-0.060812	0.092546875	1.27528	-27.573023437499998	-0.057411	0.21334375	1.262598	-0.0077109375	-0.060762	-0.00038281249999999996
1.250341	-0.0240078125	-0.049797	-0.0150390625	1.249921	0.0030859375	-0.046814	-0.0145546875	1.260076	-21.1565703125	-0.048089	0.2625078125	1.248983	0.00790625	-0.045092	-0.0035703124999999997	1.248255	0.0196640625	-0.046148	0.0023125	1.259651	-15.248296875	-0.045968	0.0604453125	1.264675	-26.5940625	-0.047662	0.1988828125	1.243265	0.018125	-0.045766	-0.013109375
1.235859	0.018609375	-0.034852	-0.0073281250000000004	1.235549	0.00675	-0.036612	0.00125	1.248516	-20.137796875	-0.033855	0.2109296875	1.233629	0.0001953125	-0.034743	-0.004625	1.23322	-0.015234375	-0.036098	-0.000484375	1.24682	-14.3750078125	-0.035923	0.0871484375	1.253004	-25.357109374999997	-0.037695	0.1740078125	1.238452	-0.0058828125	-0.035581	0.012625
1.220985	-0.0038593749999999995	-0.024896	-9.375e-05	1.226138	-0.012531249999999999	-0.02685	-0.0121484375	1.239376	-19.3676640625	-0.024404	0.1881796875	1.223093	-0.015234375	-0.02419	0.010125	1.228358	-0.007132812499999999	-0.021133	-0.0069375	1.233755	-13.4919765625	-0.025758	0.11385156249999999	1.240893	-24.148882812500002	-0.022821	0.14084375	1.224093	-0.000578125	-0.025968	-0.002796875
1.216444	0.0184140625	-0.009872	-0.021789062499999998	1.211568	-0.00346875	-0.011487	-0.0127265625	1.225554	-18.2138125	-0.014649	0.175359375	1.212962	0.000578125	-0.013936	-0.004625	1.213595	-0.011570312499999999	-0.011118	-0.0270859375	1.223367	-12.817195312499999	-0.010913	0.094375	1.231338	-23.089328124999998	-0.01316	0.1160703125	1.214617	-0.0053046875	-0.010959	0.016578125000000003
1.201928	0.005015625	0.000264	-0.0006718750000000001	1.20202	-0.0099296875	0.003469	0.01928125	1.21356	-17.210171875	-0.000547	0.1093203125	1.197838	-0.008390625	0.001637	0.006171875	1.198639	-0.018507812499999998	-0.000642	0.00684375	1.210286	-11.968875	0.003676	0.09939843749999999	1.216217	-21.736484375	0.001568	0.07500781249999999	1.200233	0.02025	-0.001187	-0.0062656249999999995
1.187047	-0.0064609375000000005	0.010447	-0.0144609375	1.187646	-0.0021171874999999997	0.008386	-0.009734375	1.201859	-16.2685234375	0.01361	0.052257812499999994	1.187629	-0.0098359375	0.011541	0.0075234375	1.189197	0.0078125	0.009096	0.0009609375000000001	1.199669	-11.2713359375	0.008617	0.0886015625	1.205471	-20.7862578125	0.011534	0.0450234375	1.190212	0.007132812499999999	0.013665	0.01128125
1.177431	0.023234375	0.025455	-9.375e-05	1.178099	-0.0013515625	0.023075	0.00453125	1.190192	-15.315015625	0.023382	0.033359375000000004	1.177782	0.007132812499999999	0.02655	-0.010796875	1.174639	-0.00675	0.023946	0.008484374999999999	1.189332	-10.59578125	0.02327	0.0659453125	1.193552	-19.5739765625	0.021066	0.030562499999999996	1.176012	0.0020234375	0.023198	-0.0064609375000000005
1.162825	-0.013109375	0.035511	-0.0104140625	1.163352	0.00453125	0.038081	-0.00328125	1.178011	-14.352734375	0.033147	0.011859375	1.168556	0.025546875	0.03223	0.023140624999999998	1.16497	0.0229453125	0.03436	0.018609375	1.172827	-9.600046875	0.033343	0.08792968749999999	1.180526	-18.368742187499997	0.036272	0.00684375	1.166135	0.0009609375000000001	0.033685	-0.014265624999999999
