run with version 1.0
Val1: 0.80, Val2: 0.09, Val3: 5, Val4: 5
Perturb and Observe
0, 0.89, 0.32,     0.71, 0.58,     0.80, 0.22
1, 0.89, 2.00,     0.71, 0.27,     0.80, 0.90
2, 0.89, 2.13,     0.71, 1.82,     0.80, 1.98
3, 0.89, 0.00,     0.71, 1.07,     0.80, 0.76
4, 0.89, 1.60,     0.71, 0.03,     0.80, 0.64
5, 0.89, 0.05,     0.71, 0.06,     0.80, 0.08
6, 0.89, 1.44,     0.71, 1.68,     0.80, 1.65
7, 0.89, 2.07,     0.71, 1.75,     0.80, 1.94

0, 0.86, 0.29,     0.68, 0.44,     0.77, 0.06
1, 0.92, 2.34,     0.74, 0.38,     0.83, 1.15
2, 0.92, 1.67,     0.74, 1.86,     0.83, 1.89
3, 0.86, 0.33,     0.68, 1.16,     0.77, 0.56
4, 0.92, 1.91,     0.74, 0.15,     0.83, 0.83
5, 0.86, 0.07,     0.68, 0.05,     0.77, 0.08
6, 0.86, 1.26,     0.68, 1.73,     0.77, 1.65
7, 0.92, 1.90,     0.74, 1.67,     0.83, 1.82

0, 0.83, 0.31,     0.65, 0.68,     0.74, 0.36
1, 0.95, 2.85,     0.77, 0.57,     0.86, 1.50
2, 0.89, 1.65,     0.71, 1.80,     0.80, 1.85
3, 0.83, 0.13,     0.65, 1.04,     0.74, 0.77
4, 0.95, 2.33,     0.77, 0.31,     0.86, 1.10
5, 0.89, 0.09,     0.71, 0.06,     0.80, 0.08
6, 0.83, 1.07,     0.65, 1.78,     0.74, 1.60
7, 0.95, 1.86,     0.77, 1.58,     0.86, 1.75

0, 0.80, 0.08,     0.62, 0.73,     0.71, 0.40
1, 0.98, 3.41,     0.80, 0.80,     0.89, 1.87
2, 0.86, 1.63,     0.68, 1.73,     0.77, 1.80
3, 0.80, 0.42,     0.62, 1.06,     0.71, 0.92
4, 0.98, 2.82,     0.80, 0.51,     0.89, 1.44
5, 0.92, 0.07,     0.74, 0.06,     0.83, 0.07
6, 0.80, 0.79,     0.62, 1.76,     0.71, 1.49
7, 0.98, 1.84,     0.80, 1.51,     0.89, 1.71

0, 0.77, 0.22,     0.59, 0.76,     0.68, 0.60
1, 1.01, 4.05,     0.83, 1.10,     0.92, 2.30
2, 0.83, 1.69,     0.65, 1.65,     0.74, 1.76
3, 0.77, 0.67,     0.59, 1.06,     0.68, 1.00
4, 1.01, 3.39,     0.83, 0.86,     0.92, 1.91
5, 0.95, 0.09,     0.77, 0.08,     0.86, 0.09
6, 0.77, 0.47,     0.59, 1.78,     0.68, 1.34
7, 1.01, 1.78,     0.83, 1.45,     0.92, 1.63

0, 0.74, 0.31,     0.56, 0.74,     0.65, 0.63
1, 1.04, 4.71,     0.86, 1.38,     0.95, 2.77
2, 0.86, 1.46,     0.68, 1.71,     0.77, 1.73
3, 0.74, 0.71,     0.56, 1.03,     0.65, 0.97
4, 1.04, 3.92,     0.86, 1.05,     0.95, 2.18
5, 0.98, 0.10,     0.80, 0.06,     0.89, 0.09
6, 0.74, 0.10,     0.56, 1.72,     0.65, 1.15
7, 1.04, 1.70,     0.86, 1.38,     0.95, 1.57

0, 0.71, 0.46,     0.53, 0.78,     0.62, 0.72
1, 1.07, 5.45,     0.89, 1.75,     0.98, 3.27
2, 0.83, 1.53,     0.65, 1.65,     0.74, 1.73
3, 0.71, 0.80,     0.53, 1.01,     0.62, 1.00
4, 1.07, 4.56,     0.89, 1.35,     0.98, 2.72
5, 1.01, 0.06,     0.83, 0.10,     0.92, 0.09
6, 0.71, 0.49,     0.53, 1.64,     0.62, 0.91
7, 1.07, 1.67,     0.89, 1.31,     0.98, 1.51

0, 0.68, 0.56,     0.50, 0.80,     0.59, 0.73
1, 1.10, 6.14,     0.92, 2.21,     1.01, 3.87
2, 0.80, 1.61,     0.62, 1.57,     0.71, 1.69
3, 0.68, 0.90,     0.50, 0.98,     0.59, 1.02
4, 1.10, 5.30,     0.92, 1.78,     1.01, 3.25
5, 0.98, 0.08,     0.80, 0.08,     0.89, 0.09
6, 0.68, 1.17,     0.50, 1.52,     0.59, 0.55
7, 1.10, 1.62,     0.92, 1.24,     1.01, 1.44

0, 0.65, 0.65,     0.47, 0.79,     0.56, 0.76
1, 1.13, 6.95,     0.95, 2.62,     1.04, 4.43
2, 0.83, 1.43,     0.65, 1.64,     0.74, 1.67
3, 0.65, 0.98,     0.47, 0.95,     0.56, 1.02
4, 1.13, 6.12,     0.95, 2.18,     1.04, 3.83
5, 0.95, 0.09,     0.77, 0.05,     0.86, 0.09
6, 0.65, 2.02,     0.47, 1.34,     0.56, 0.19
7, 1.13, 1.54,     0.95, 1.19,     1.04, 1.36

0, 0.62, 0.73,     0.44, 0.81,     0.53, 0.84
1, 1.16, 7.85,     0.98, 3.14,     1.07, 5.12
2, 0.80, 1.50,     0.62, 1.57,     0.71, 1.64
3, 0.68, 0.91,     0.50, 1.01,     0.59, 1.05
4, 1.16, 7.04,     0.98, 2.62,     1.07, 4.39
5, 0.98, 0.10,     0.80, 0.05,     0.89, 0.07
6, 0.68, 3.07,     0.50, 1.09,     0.59, 0.39
7, 1.16, 1.58,     0.98, 1.25,     1.07, 1.43

0, 0.59, 0.78,     0.41, 0.80,     0.50, 0.83
1, 1.19, 8.81,     1.01, 3.71,     1.10, 5.90
2, 0.77, 1.56,     0.59, 1.50,     0.68, 1.60
3, 0.65, 0.98,     0.47, 0.97,     0.56, 1.05
4, 1.19, 8.17,     1.01, 3.19,     1.10, 5.24
5, 1.01, 0.02,     0.83, 0.07,     0.92, 0.07
6, 0.71, 4.24,     0.53, 0.75,     0.62, 1.06
7, 1.19, 1.62,     1.01, 1.31,     1.10, 1.49

0, 0.56, 0.82,     0.38, 0.78,     0.47, 0.84
1, 1.22, 9.86,     1.04, 4.28,     1.13, 6.70
2, 0.80, 1.41,     0.62, 1.56,     0.71, 1.57
3, 0.68, 0.93,     0.50, 1.01,     0.59, 1.03
4, 1.22, 9.27,     1.04, 3.71,     1.13, 6.01
5, 0.98, 0.04,     0.80, 0.08,     0.89, 0.09
6, 0.74, 5.59,     0.56, 0.29,     0.65, 1.97
7, 1.22, 1.64,     1.04, 1.37,     1.13, 1.55

0, 0.59, 0.77,     0.41, 0.79,     0.50, 0.84
1, 1.25, 11.05,     1.07, 5.02,     1.16, 7.61
2, 0.77, 1.51,     0.59, 1.49,     0.68, 1.58
3, 0.65, 1.00,     0.47, 0.99,     0.56, 1.03
4, 1.25, 10.65,     1.07, 4.40,     1.16, 7.03
5, 0.95, 0.02,     0.77, 0.08,     0.86, 0.09
6, 0.77, 7.22,     0.59, 0.24,     0.68, 2.97
7, 1.25, 1.64,     1.07, 1.46,     1.16, 1.61

0, 0.56, 0.83,     0.38, 0.77,     0.47, 0.83
1, 1.28, 12.36,     1.10, 5.77,     1.19, 8.59
2, 0.80, 1.38,     0.62, 1.56,     0.71, 1.57
3, 0.68, 0.91,     0.50, 1.02,     0.59, 1.04
4, 1.28, 12.15,     1.10, 5.22,     1.19, 8.06
5, 0.92, 0.04,     0.74, 0.06,     0.83, 0.08
6, 0.80, 8.95,     0.62, 0.95,     0.71, 4.19
7, 1.28, 1.61,     1.10, 1.49,     1.19, 1.63

0, 0.59, 0.78,     0.41, 0.80,     0.50, 0.82
1, 1.31, 13.67,     1.13, 6.68,     1.22, 9.71
2, 0.77, 1.48,     0.59, 1.48,     0.68, 1.57
3, 0.65, 0.94,     0.47, 0.96,     0.56, 1.01
4, 1.31, 13.62,     1.13, 6.03,     1.22, 9.17
5, 0.89, 0.07,     0.71, 0.06,     0.80, 0.05
6, 0.83, 10.80,     0.65, 1.88,     0.74, 5.66
7, 1.31, 1.62,     1.13, 1.57,     1.22, 1.67

0, 0.56, 0.78,     0.38, 0.77,     0.47, 0.84
1, 1.34, 15.09,     1.16, 7.56,     1.25, 10.94
2, 0.80, 1.36,     0.62, 1.55,     0.71, 1.57
3, 0.62, 0.99,     0.44, 0.91,     0.53, 1.01
4, 1.34, 15.43,     1.16, 6.98,     1.25, 10.60
5, 0.92, 0.07,     0.74, 0.04,     0.83, 0.07
6, 0.86, 12.78,     0.68, 2.91,     0.77, 7.27
7, 1.34, 1.52,     1.16, 1.62,     1.25, 1.68

0, 0.59, 0.80,     0.41, 0.78,     0.50, 0.83
1, 1.37, 16.75,     1.19, 8.56,     1.28, 12.16
2, 0.77, 1.48,     0.59, 1.49,     0.68, 1.54
3, 0.65, 0.95,     0.47, 0.98,     0.56, 1.02
4, 1.37, 17.40,     1.19, 8.13,     1.28, 12.19
5, 0.95, 0.08,     0.77, 0.08,     0.86, 0.05
6, 0.89, 10.70,     0.71, 1.83,     0.80, 5.61
7, 1.31, 1.43,     1.13, 1.66,     1.22, 1.69

0, 0.62, 0.79,     0.44, 0.83,     0.53, 0.83
1, 1.40, 18.41,     1.22, 9.70,     1.31, 13.67
2, 0.74, 1.51,     0.56, 1.42,     0.65, 1.51
3, 0.62, 0.98,     0.44, 0.93,     0.53, 0.99
4, 1.40, 19.62,     1.22, 9.39,     1.31, 13.85
5, 0.92, 0.04,     0.74, 0.06,     0.83, 0.08
6, 0.92, 8.89,     0.74, 0.84,     0.83, 4.09
7, 1.28, 1.26,     1.10, 1.70,     1.19, 1.68

0, 0.59, 0.82,     0.41, 0.81,     0.50, 0.85
1, 1.43, 20.24,     1.25, 10.94,     1.34, 15.08
2, 0.77, 1.40,     0.59, 1.49,     0.68, 1.51
3, 0.65, 0.93,     0.47, 0.95,     0.56, 1.01
4, 1.43, 21.82,     1.25, 10.91,     1.34, 15.69
5, 0.89, 0.07,     0.71, 0.07,     0.80, 0.08
6, 0.95, 7.07,     0.77, 0.09,     0.86, 2.85
7, 1.25, 1.07,     1.07, 1.76,     1.16, 1.61

0, 0.62, 0.79,     0.44, 0.83,     0.53, 0.83
1, 1.46, 22.18,     1.28, 12.34,     1.37, 16.73
2, 0.74, 1.44,     0.56, 1.40,     0.65, 1.50
3, 0.62, 0.99,     0.44, 0.92,     0.53, 1.01
4, 1.46, 22.11,     1.28, 12.19,     1.37, 17.60
5, 0.86, 0.10,     0.68, 0.05,     0.77, 0.08
6, 0.98, 5.45,     0.80, 0.54,     0.89, 1.81
7, 1.22, 0.79,     1.04, 1.76,     1.13, 1.49

0, 0.59, 0.78,     0.41, 0.78,     0.50, 0.82
1, 1.49, 23.83,     1.31, 13.74,     1.40, 18.57
2, 0.77, 1.38,     0.59, 1.47,     0.68, 1.52
3, 0.65, 0.94,     0.47, 0.96,     0.56, 1.03
4, 1.49, 22.11,     1.31, 13.93,     1.40, 19.70
5, 0.89, 0.05,     0.71, 0.04,     0.80, 0.08
6, 1.01, 4.01,     0.83, 0.99,     0.92, 0.88
7, 1.19, 0.47,     1.01, 1.74,     1.10, 1.37

0, 0.56, 0.79,     0.38, 0.76,     0.47, 0.82
1, 1.52, 23.81,     1.34, 15.32,     1.43, 20.50
2, 0.74, 1.44,     0.56, 1.41,     0.65, 1.50
3, 0.62, 1.00,     0.44, 0.94,     0.53, 1.02
4, 1.52, 22.14,     1.34, 15.53,     1.43, 22.06
5, 0.92, 0.09,     0.74, 0.06,     0.83, 0.07
6, 1.04, 2.84,     0.86, 1.30,     0.95, 0.19
7, 1.16, 0.13,     0.98, 1.70,     1.07, 1.12

0, 0.59, 0.73,     0.41, 0.78,     0.50, 0.82
1, 1.55, 23.80,     1.37, 17.05,     1.46, 22.50
2, 0.77, 1.35,     0.59, 1.47,     0.68, 1.50
3, 0.65, 0.95,     0.47, 0.97,     0.56, 1.05
4, 1.55, 22.14,     1.37, 17.80,     1.46, 22.11
5, 0.95, 0.08,     0.77, 0.06,     0.86, 0.09
6, 1.07, 1.83,     0.89, 1.56,     0.98, 0.35
7, 1.13, 0.49,     0.95, 1.67,     1.04, 0.91

0, 0.56, 0.76,     0.38, 0.75,     0.47, 0.80
1, 1.58, 23.84,     1.40, 18.63,     1.49, 23.79
2, 0.74, 1.44,     0.56, 1.42,     0.65, 1.48
3, 0.62, 1.02,     0.44, 0.93,     0.53, 1.01
4, 1.58, 22.10,     1.40, 19.76,     1.49, 22.17
5, 0.98, 0.10,     0.80, 0.06,     0.89, 0.07
6, 1.10, 0.97,     0.92, 1.77,     1.01, 0.77
7, 1.10, 1.06,     0.92, 1.50,     1.01, 0.59

0, 0.59, 0.74,     0.41, 0.78,     0.50, 0.80
1, 1.61, 23.87,     1.43, 20.44,     1.52, 23.87
2, 0.77, 1.35,     0.59, 1.47,     0.68, 1.50
3, 0.65, 0.94,     0.47, 0.94,     0.56, 1.02
4, 1.61, 22.08,     1.43, 22.11,     1.52, 22.11
5, 1.01, 0.06,     0.83, 0.07,     0.92, 0.07
6, 1.07, 0.30,     0.89, 1.86,     0.98, 1.12
7, 1.07, 0.43,     0.89, 1.70,     0.98, 0.92

0, 0.56, 0.79,     0.38, 0.75,     0.47, 0.80
1, 1.64, 23.74,     1.46, 22.51,     1.55, 23.78
2, 0.74, 1.44,     0.56, 1.39,     0.65, 1.47
3, 0.68, 0.90,     0.50, 1.00,     0.59, 1.03
4, 1.58, 22.07,     1.40, 19.92,     1.49, 22.13
5, 0.98, 0.10,     0.80, 0.08,     0.89, 0.09
6, 1.04, 0.27,     0.86, 1.92,     0.95, 1.37
7, 1.04, 0.15,     0.86, 1.74,     0.95, 1.20

0, 0.59, 0.72,     0.41, 0.78,     0.50, 0.82
1, 1.67, 23.77,     1.49, 23.75,     1.58, 23.87
2, 0.77, 1.34,     0.59, 1.47,     0.68, 1.48
3, 0.65, 0.96,     0.47, 0.96,     0.56, 1.01
4, 1.61, 21.99,     1.43, 22.09,     1.52, 22.13
