0, 0.89, 1.87,     0.71, 0.85,     0.80, 1.25
1, 0.89, 4.27,     0.71, 2.00,     0.80, 2.88
2, 0.89, 0.04,     0.71, 0.07,     0.80, 0.03
3, 0.89, 1.16,     0.71, 0.30,     0.80, 0.50
4, 0.89, 3.39,     0.71, 1.50,     0.80, 2.25
5, 0.89, 0.09,     0.71, 0.07,     0.80, 0.08
6, 0.89, 0.04,     0.71, 0.00,     0.80, 0.00
7, 0.89, 0.02,     0.71, 0.06,     0.80, 0.03

0, 0.92, 2.00,     0.74, 0.95,     0.83, 1.37
1, 0.92, 4.47,     0.74, 2.16,     0.83, 3.10
2, 0.86, 0.02,     0.68, 0.05,     0.77, 0.05
3, 0.92, 1.07,     0.74, 0.33,     0.83, 0.60
4, 0.92, 3.57,     0.74, 1.68,     0.83, 2.44
5, 0.92, 0.07,     0.74, 0.06,     0.83, 0.10
6, 0.92, 0.02,     0.74, 0.00,     0.83, 0.00
7, 0.86, 0.02,     0.68, 0.03,     0.77, 0.07

0, 0.95, 2.18,     0.77, 1.06,     0.86, 1.50
1, 0.95, 4.84,     0.77, 2.44,     0.86, 3.44
2, 0.83, 0.03,     0.65, 0.05,     0.74, 0.07
3, 0.95, 1.20,     0.77, 0.39,     0.86, 0.67
4, 0.95, 3.94,     0.77, 1.88,     0.86, 2.76
5, 0.95, 0.08,     0.77, 0.09,     0.86, 0.09
6, 0.95, 0.00,     0.77, 0.01,     0.86, 0.01
7, 0.83, 0.10,     0.65, 0.08,     0.74, 0.07

0, 0.98, 2.42,     0.80, 1.20,     0.89, 1.76
1, 0.98, 5.33,     0.80, 2.67,     0.89, 3.79
2, 0.80, 0.03,     0.62, 0.05,     0.71, 0.06
3, 0.98, 1.42,     0.80, 0.47,     0.89, 0.81
4, 0.98, 4.32,     0.80, 2.13,     0.89, 3.06
5, 0.92, 0.07,     0.74, 0.06,     0.83, 0.08
6, 0.92, 0.02,     0.74, 0.03,     0.83, 0.00
7, 0.86, 0.00,     0.68, 0.06,     0.77, 0.07

0, 1.01, 3.07,     0.83, 1.56,     0.92, 2.15
1, 1.01, 5.81,     0.83, 2.98,     0.92, 4.16
2, 0.77, 0.05,     0.59, 0.04,     0.68, 0.05
3, 1.01, 1.64,     0.83, 0.55,     0.92, 1.00
4, 1.01, 4.72,     0.83, 2.40,     0.92, 3.39
5, 0.95, 0.06,     0.77, 0.08,     0.86, 0.07
6, 0.89, 0.00,     0.71, 0.01,     0.80, 0.00
7, 0.83, 0.02,     0.65, 0.07,     0.74, 0.06

0, 1.04, 3.38,     0.86, 1.72,     0.95, 2.39
1, 1.04, 6.34,     0.86, 3.39,     0.95, 4.67
