Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
2.4670,1.11,1.1227,0.0667,1.1133,0.0667,1.1227,0.0667,1.1160,0.0667,1.1187,0.0000,1.1120,0.0000,1.1120,0.0333,1.1151,-4.1000,1.1083,-3.2333,1.1120,0.0000,1.1160,0.0667,1.1123,-3.2000,1.1045,-5.0000,1.1123,-3.4000,1.1059,-5.7000,1.1030,-3.3000,1.1043,-3.1667,1.1004,-4.4000,1.1080,-0.2000,1.1032,-5.1000,1.0964,-4.0667,1.0962,-15.3333,1.0947,0.0667,1.1000,0.0667,1.1093,0.0333,1.1200,0.0333,1.1000,0.0333,1.1107,0.0000,1.1147,0.0333,1.1080,0.0333,1.1000,0.0000,1.1040,0.1000,0
3.0940,1.08,1.0960,0.0000,1.0867,0.1000,1.0960,0.0667,1.0920,0.0000,1.0933,0.0000,1.0840,0.0000,1.0840,0.0333,1.0883,-3.4000,1.0843,-2.7000,1.0867,0.0333,1.0880,0.0000,1.0869,-2.7333,1.0764,-4.4333,1.0856,-3.1000,1.0805,-4.9667,1.0763,-2.7333,1.0789,-2.6667,1.0764,-3.7333,1.0814,-0.1667,1.0764,-4.2333,1.0723,-3.4000,1.0695,-14.6000,1.0680,0.1000,1.0760,0.0000,1.0840,0.0000,1.0947,0.0333,1.0747,0.0333,1.0840,0.0000,1.0867,0.0333,1.0800,0.0000,1.0760,0.0333,1.0773,0.0667,0
3.7220,1.05,1.0693,0.0333,1.0600,0.0667,1.0680,0.1000,1.0640,0.0000,1.0640,0.0000,1.0560,0.0333,1.0560,0.0333,1.0643,-2.7333,1.0562,-2.1000,1.0600,0.0667,1.0613,0.0667,1.0616,-2.3000,1.0511,-3.9000,1.0603,-2.8000,1.0524,-4.3000,1.0509,-2.2000,1.0522,-2.1667,1.0496,-3.1000,1.0560,-0.1000,1.0523,-3.4333,1.0443,-2.8000,1.0441,-13.9000,1.0427,0.0333,1.0493,0.0000,1.0560,0.0000,1.0680,0.0000,1.0480,0.0667,1.0573,0.0000,1.0600,0.0000,1.0560,0.0333,1.0480,0.0333,1.0520,0.0667,0
4.3500,1.02,1.0400,0.0333,1.0320,0.1000,1.0400,0.1000,1.0360,0.0333,1.0373,0.0000,1.0307,0.0667,1.0307,0.0333,1.0362,-2.1333,1.0295,-1.6333,1.0333,0.0000,1.0333,0.1000,1.0322,-1.8000,1.0243,-3.4000,1.0323,-2.5000,1.0244,-3.7000,1.0228,-1.7000,1.0242,-1.6333,1.0243,-2.5000,1.0280,-0.1000,1.0243,-2.6333,1.0202,-2.2667,1.0173,-13.1667,1.0147,0.0667,1.0227,0.0000,1.0280,0.0333,1.0387,0.0000,1.0200,0.1000,1.0280,0.0000,1.0320,0.0000,1.0280,0.0000,1.0200,0.0000,1.0240,0.1000,0
4.9770,0.99,1.0120,0.0667,1.0040,0.0667,1.0147,0.0667,1.0080,0.1000,1.0120,0.0000,1.0027,0.0000,1.0027,0.0667,1.0082,-1.5333,1.0028,-1.1667,1.0067,0.0333,1.0080,0.0333,1.0081,-1.3333,0.9963,-2.9000,1.0082,-2.2667,1.0003,-3.1333,0.9961,-1.2667,0.9988,-1.2000,0.9975,-2.0000,1.0000,-0.0667,0.9962,-2.0000,0.9922,-1.7333,0.9906,-12.5333,0.9880,0.0667,0.9960,0.0000,1.0000,0.0667,1.0120,0.0333,0.9920,0.0000,1.0013,0.0667,1.0040,0.0000,1.0000,0.0333,0.9920,0.0667,0.9960,0.0667,0
5.6050,0.96,0.9840,0.0667,0.9800,0.1000,0.9840,0.0667,0.9800,0.0667,0.9840,0.0000,0.9733,0.0000,0.9760,0.0333,0.9801,-1.1000,0.9761,-0.7333,0.9760,0.0667,0.9800,0.1000,0.9801,-0.9333,0.9709,-2.5000,0.9789,-1.9667,0.9723,-2.6333,0.9681,-0.8667,0.9721,-0.8333,0.9682,-1.4667,0.9760,0.0000,0.9695,-1.3667,0.9655,-1.2333,0.9652,-11.8000,0.9627,0.1000,0.9680,0.0000,0.9747,0.0000,0.9840,0.0667,0.9653,0.0667,0.9747,0.0667,0.9760,0.0333,0.9733,0.0333,0.9680,0.1000,0.9680,0.0667,0
6.2340,0.93,0.9560,0.0667,0.9507,0.0667,0.9573,0.1000,0.9520,0.1000,0.9560,0.0333,0.9480,0.0333,0.9467,0.1000,0.9534,-0.7000,0.9480,-0.3667,0.9520,0.0333,0.9520,0.1000,0.9521,-0.6000,0.9442,-2.1333,0.9482,-1.7333,0.9442,-2.2000,0.9401,-0.5000,0.9467,-0.5000,0.9441,-1.0333,0.9480,-0.0333,0.9441,-0.8333,0.9388,-0.8333,0.9371,-11.2000,0.9347,0.1000,0.9400,0.0000,0.9467,0.1000,0.9560,0.0000,0.9373,0.0333,0.9480,0.0667,0.9480,0.0667,0.9440,0.0333,0.9400,0.1000,0.9427,0.1000,0
6.8630,0.90,0.9307,0.0667,0.9227,0.1000,0.9307,0.1000,0.9240,0.1000,0.9280,0.0667,0.9187,0.0000,0.9187,0.1000,0.9254,-0.3000,0.9200,-0.0333,0.9227,0.0333,0.9240,0.1333,0.9240,-0.3000,0.9148,-1.7667,0.9201,-1.4667,0.9162,-1.7333,0.9134,-0.1667,0.9200,-0.2000,0.9161,-0.6000,0.9187,0.0333,0.9160,-0.4000,0.9120,-0.5000,0.9104,-10.6333,0.9080,0.1000,0.9120,0.0000,0.9187,0.0667,0.9280,0.0000,0.9080,0.0667,0.9200,0.1000,0.9187,0.0333,0.9160,0.0333,0.9107,0.0667,0.9147,0.0667,0
7.4900,0.87,0.9000,0.0667,0.8920,0.0667,0.9000,0.1000,0.8960,0.0667,0.8973,0.0667,0.8907,0.0667,0.8880,0.1000,0.8960,0.0000,0.8920,0.2667,0.8933,0.1000,0.8960,0.1333,0.8960,-0.0333,0.8868,-1.4000,0.8921,-1.2333,0.8881,-1.4000,0.8840,0.1667,0.8920,0.1333,0.8880,-0.2667,0.8920,0.1000,0.8880,-0.0333,0.8840,-0.1000,0.8810,-9.8667,0.8800,0.1000,0.8840,0.0000,0.8907,0.0333,0.8973,0.0000,0.8800,0.1000,0.8893,0.0000,0.8880,0.0000,0.8867,0.0000,0.8800,0.0667,0.8853,0.0667,0
8.1190,0.84,0.8720,0.1000,0.8640,0.0667,0.8680,0.1000,0.8680,0.1000,0.8680,0.0000,0.8613,0.0667,0.8600,0.1000,0.8680,0.3000,0.8626,0.5000,0.8640,0.0667,0.8680,0.1000,0.8653,0.2000,0.8561,-1.1000,0.8641,-1.0333,0.8601,-1.1000,0.8560,0.3667,0.8613,0.4000,0.8600,0.0667,0.8627,0.1000,0.8600,0.3333,0.8533,0.1667,0.8516,-9.2000,0.8480,0.1667,0.8560,0.0000,0.8600,0.1000,0.8680,0.0000,0.8520,0.0667,0.8613,0.0667,0.8600,0.0000,0.8560,0.0333,0.8520,0.1000,0.8573,0.0667,0
